Region;Alps
Country;Austria
#;4
Spring Name/Station Name;Dachserfall
Literature;Yes
Lat;47.545
Lon;13.332
Elev (m);710
Recharge Area (km2);
Start Date;1.01.2006 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_04_AT
Date;Discharge m^3/s
1.01.2006;0.5006
2.01.2006;0.4998
3.01.2006;0.499
4.01.2006;0.498
5.01.2006;0.4968
6.01.2006;0.4957
7.01.2006;0.4945
8.01.2006;0.4933
9.01.2006;0.4922
10.01.2006;0.491
11.01.2006;0.4902
12.01.2006;0.4894
13.01.2006;0.4885
14.01.2006;0.4877
15.01.2006;0.4869
16.01.2006;0.4861
17.01.2006;0.4835
18.01.2006;0.4799
19.01.2006;0.4763
20.01.2006;0.473
21.01.2006;0.4708
22.01.2006;0.4687
23.01.2006;0.4666
24.01.2006;0.4645
25.01.2006;0.4624
26.01.2006;0.4609
27.01.2006;0.4609
28.01.2006;0.4609
29.01.2006;0.4609
30.01.2006;0.4677
31.01.2006;0.4805
1.02.2006;0.4851
2.02.2006;0.4898
3.02.2006;0.4945
4.02.2006;0.4975
5.02.2006;0.493
6.02.2006;0.487
7.02.2006;0.4813
8.02.2006;0.4756
9.02.2006;0.47
10.02.2006;0.4643
11.02.2006;0.4587
12.02.2006;0.4531
13.02.2006;0.4516
14.02.2006;0.4521
15.02.2006;0.4527
16.02.2006;0.4533
17.02.2006;0.4567
18.02.2006;0.4627
19.02.2006;0.4646
20.02.2006;0.4656
21.02.2006;0.4647
22.02.2006;0.4633
23.02.2006;0.4618
24.02.2006;0.4601
25.02.2006;0.458
26.02.2006;0.4559
27.02.2006;0.4538
28.02.2006;0.4517
1.03.2006;0.4496
2.03.2006;0.4475
3.03.2006;0.4454
4.03.2006;0.4433
5.03.2006;0.4413
6.03.2006;0.4395
7.03.2006;0.4377
8.03.2006;0.436
9.03.2006;0.4358
10.03.2006;0.4417
11.03.2006;0.4472
12.03.2006;0.444
13.03.2006;0.4389
14.03.2006;0.4338
15.03.2006;0.429
16.03.2006;0.4332
17.03.2006;0.4372
18.03.2006;0.438
19.03.2006;0.4398
20.03.2006;0.4753
21.03.2006;0.5099
22.03.2006;0.521
23.03.2006;0.5167
24.03.2006;0.5189
25.03.2006;0.541
26.03.2006;0.6761
27.03.2006;1.295
28.03.2006;1.5432
29.03.2006;1.0493
30.03.2006;0.5787
31.03.2006;0.8339
1.04.2006;1.0136
2.04.2006;1.0033
3.04.2006;0.9201
4.04.2006;0.6216
5.04.2006;0.5102
6.04.2006;0.463
7.04.2006;0.4376
8.04.2006;0.4394
9.04.2006;0.4799
10.04.2006;0.5994
11.04.2006;0.689
12.04.2006;0.4984
13.04.2006;0.4476
14.04.2006;0.4474
15.04.2006;0.5449
16.04.2006;1.1921
17.04.2006;1.4765
18.04.2006;1.5201
19.04.2006;1.3777
20.04.2006;1.2608
21.04.2006;1.4206
22.04.2006;1.6077
23.04.2006;1.7724
24.04.2006;2.0326
25.04.2006;2.2878
26.04.2006;2.5148
27.04.2006;2.8221
28.04.2006;3.6397
29.04.2006;3.1357
30.04.2006;2.135
1.05.2006;1.5112
2.05.2006;1.2659
3.05.2006;1.4766
4.05.2006;1.9696
5.05.2006;2.2762
6.05.2006;2.1347
7.05.2006;1.8711
8.05.2006;1.7297
9.05.2006;1.7345
10.05.2006;1.6415
11.05.2006;1.5894
12.05.2006;1.7923
13.05.2006;1.9517
14.05.2006;2.1027
15.05.2006;2.0879
16.05.2006;2.2162
17.05.2006;3.7066
18.05.2006;3.6195
19.05.2006;4.3371
20.05.2006;3.5444
21.05.2006;3.2581
22.05.2006;2.7851
23.05.2006;2.6863
24.05.2006;1.6609
25.05.2006;1.2794
26.05.2006;1.3628
27.05.2006;3.9141
28.05.2006;4.0427
29.05.2006;3.3619
30.05.2006;2.214
31.05.2006;1.4119
1.06.2006;1.0722
2.06.2006;0.7544
3.06.2006;1.0435
4.06.2006;1.3666
5.06.2006;1.463
6.06.2006;1.1382
7.06.2006;0.9649
8.06.2006;0.8482
9.06.2006;0.853
10.06.2006;0.9366
11.06.2006;1.3126
12.06.2006;1.5228
13.06.2006;1.7223
14.06.2006;1.8276
15.06.2006;1.8191
16.06.2006;1.809
17.06.2006;1.8451
18.06.2006;1.8658
19.06.2006;1.7784
20.06.2006;1.8926
21.06.2006;1.6473
22.06.2006;1.4359
23.06.2006;1.871
24.06.2006;1.2097
25.06.2006;1.1198
26.06.2006;1.0787
27.06.2006;0.9279
28.06.2006;0.7999
29.06.2006;1.605
30.06.2006;1.9573
1.07.2006;1.5376
2.07.2006;1.1775
