Region;Alps
Country;Austria
#;5
Spring Name/Station Name;Doserfall
Literature;
Lat;47.316
Lon;10.498
Elev (m);993
Recharge Area (km2);
Start Date;15.05.2003 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_05_AT
Date;Discharge m^3/s
967.3;
917.6;
963;
1039.6;
1548.6;
1746.4;
1067.3;
1004.9;
1712.3;
1541.9;
1587.1;
1897.7;
1803.2;
1860.4;
1951.6;
2581.3;
1814.9;
2659.8;
1951.9;
1720.4;
1682.2;
1785.5;
2251;
1554.8;
1385;
1382.8;
1253.1;
1201.7;
1097.6;
1341.7;
1086.4;
1128;
1010.7;
937.4;
1103.6;
970.5;
901.9;
875.2;
833.2;
804.5;
799;
782.2;
762.8;
773.4;
718.2;
677.7;
647.7;
657.7;
804.6;
756;
835.5;
951.1;
873.5;
799.3;
730.5;
674.2;
643.5;
629.9;
616.4;
596.5;
577.6;
555.6;
544.1;
553.2;
546.3;
532.8;
510.4;
508;
503;
508.4;
536.8;
618.2;
557.5;
546.7;
742.9;
606.1;
558.9;
526.8;
500.9;
484.1;
470;
463.8;
454.4;
436.5;
432.7;
421.8;
411.9;
399.2;
386.3;
381.5;
368.8;
361.8;
357.7;
351.3;
336;
331;
359.8;
338.9;
315.4;
309.6;
299.6;
286.6;
278.8;
263;
258.8;
257.1;
469.9;
713.2;
819.7;
715.5;
597.8;
555.4;
528;
478.5;
470.8;
449.3;
441;
426.5;
440.3;
690.3;
1085.2;
942;
1076.1;
1011.1;
917.7;
836.7;
756.6;
666.7;
618.1;
595.1;
566.4;
542.5;
589.5;
547.9;
521.1;
;
;
479.4;
460.7;
446.5;
428.7;
417.1;
837.6;
969.7;
800.2;
769.8;
743.6;
1678.4;
1934.7;
1470.3;
1192.5;
1123.1;
1059.4;
991.8;
945.9;
906.5;
894.3;
872.2;
860.9;
850.4;
;
;
;
;
;
;
572.8;
566.5;
557.6;
537.6;
550.8;
536.4;
508;
493.6;
488.9;
497.7;
494;
470.2;
455.5;
444.9;
445.7;
442.1;
451.3;
435.9;
435.6;
427.6;
425.2;
425.5;
459.2;
461.8;
454;
432;
421.8;
386.8;
366.4;
358.5;
348.9;
343.7;
329.6;
315.3;
306.8;
311.9;
309.1;
282.6;
272.8;
271.3;
263.2;
246;
236.9;
230.1;
219.7;
219.6;
210.7;
210.7;
211.2;
212;
202.8;
195.6;
193.7;
190.2;
198.2;
204;
194.4;
185.1;
185.6;
176;
178.5;
181.1;
178.4;
176.1;
174.1;
162;
167.9;
173.2;
173.5;
167.1;
163.1;
158.9;
160.8;
157.1;
158.7;
157.7;
167.9;
214.1;
374.5;
308.4;
222.7;
206.1;
198.6;
179.7;
180.8;
176.7;
169.7;
174.8;
167.3;
165.8;
162.8;
162.4;
159.1;
147.2;
144.9;
145.9;
147.7;
147.2;
147;
154.6;
159.9;
184;
196.7;
183.4;
179.3;
173.3;
168.6;
165.6;
155.9;
148;
162;
162.1;
163.9;
165.7;
164.4;
164.5;
167.2;
167.1;
178;
170.3;
168.6;
168;
167.1;
160.3;
145.6;
149.5;
168.5;
162.7;
149.4;
148.5;
141.7;
143;
137.7;
138.9;
136;
139.1;
141.4;
137;
152.4;
182.4;
245.5;
362.3;
476.1;
514.8;
499.7;
558.8;
525.6;
447.2;
399.7;
364.4;
356.7;
325.3;
321.7;
337.4;
412.2;
461.5;
518.9;
559.9;
546.1;
495.5;
483.3;
448.7;
433.2;
377.6;
363.1;
352.8;
335.2;
324;
310.6;
290.7;
287.8;
323.6;
397;
417.2;
451.3;
405.3;
467.9;
604.9;
711.9;
789.6;
686;
642.6;
691.9;
834.9;
964.2;
974.6;
885.1;
938;
943.1;
903.9;
861.7;
798.6;
733.3;
645.4;
600.4;
589.6;
572.1;
625.3;
662.3;
646.2;
697;
803.4;
839.8;
1069.8;
1479.3;
1716;
1807.3;
1459.3;
1021.7;
892.4;
885.9;
1049.4;
1122.2;
1141.6;
1073.4;
1215.9;
1248.8;
1033;
1331.6;
1527.7;
1753.6;
1830.4;
1876.9;
1528.4;
1870.2;
2199.2;
2532.6;
2774.8;
2772.7;
2367;
1502.2;
1353.8;
1445.3;
1633.5;
1666.4;
1665.6;
1475.9;
1095.3;
1039.1;
1302.4;
1931.9;
1772.9;
1436.9;
1557;
2353.2;
2056.5;
1630.3;
1539.2;
1339.2;
1239.1;
1342.3;
1399;
1898.2;
1419.4;
1438.3;
1681.9;
1129.7;
974.3;
931.9;
1048.6;
973.6;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
601.8;
586.7;
558.3;
542.8;
530.3;
;
;
;
;
511.1;
510;
489.2;
478;
464.2;
452.9;
437.4;
423;
706.1;
2383.4;
980.4;
883.1;
904.5;
987;
1078.4;
1327.5;
1032.2;
906.8;
811.6;
745.8;
713.8;
671.7;
618.6;
578.5;
611.4;
637.8;
653.9;
591.7;
558.9;
546.9;
535.1;
516.5;
503.2;
501;
513.9;
695;
613.2;
604.9;
571.6;
549.4;
521.6;
512.1;
495.7;
473.2;
459.4;
446.6;
433.1;
426.8;
425.2;
413.8;
401.8;
397;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
177.3;
167.6;
199.4;
185.1;
174.7;
162;
166.5;
163.8;
175.6;
175.7;
178.3;
166.4;
164.9;
157.2;
157;
153;
159.8;
160.7;
158.6;
159.5;
159;
154.9;
153.1;
143.3;
138.2;
183.1;
161.8;
166.5;
164;
148.2;
156.3;
154.3;
149.1;
147.1;
154.6;
153.6;
152.6;
145.3;
142.6;
141.3;
134.9;
138.7;
140.4;
142.9;
139.7;
135.1;
121.9;
139.4;
;
;
;
;
;
112.6;
114.6;
136.9;
152.5;
205.3;
306.8;
453.6;
578.7;
649.3;
620.7;
662.1;
765.2;
757;
683.5;
667;
696.3;
614.3;
567.8;
549.7;
550.4;
580.6;
614.9;
641.8;
667.9;
718.4;
738;
697.8;
621.6;
559.7;
534.7;
566.9;
609.8;
630.7;
723.2;
770.5;
741.4;
670.1;
623.4;
598;
569.4;
559.7;
584.9;
620.1;
645.3;
651.1;
665.1;
691.7;
756.5;
1091.9;
1595.2;
2046.6;
2073.4;
2150.6;
1342.3;
1116.6;
1053.6;
1015.5;
908;
847.2;
785.2;
884.4;
972.3;
1013.1;
1090.2;
1084.5;
1156;
1271.5;
1093.3;
1132.4;
1580.8;
2246.5;
2190;
1559.7;
1530.2;
2142.6;
2724.5;
3026;
3373.5;
3811.6;
3197.2;
2171.1;
1863.9;
2084.2;
2411.6;
1907.9;
1428.6;
1378.4;
1122;
991.9;
927.4;
902.4;
956.5;
1222.2;
1320.9;
1965.2;
1618.1;
1578.8;
1730.9;
1821.5;
1680.6;
1642.6;
1652;
1647.2;
1661.9;
1623.7;
1685.7;
1461.5;
1389;
1307.2;
1190.2;
1843.1;
2498.6;
1406.3;
1204.3;
1514.3;
1175.4;
1331.4;
1115.8;
1014.7;
972.7;
2691.5;
3129.2;
1499.7;
1153.5;
1014.6;
992.1;
974.1;
931.7;
1234.7;
1033.1;
1261.3;
1021.8;
974;
905.8;
880.8;
1077.8;
937.7;
871.6;
845.6;
809;
775.2;
739.4;
721.7;
729.5;
855.4;
867.1;
924;
1167.7;
1101.9;
976.1;
888.1;
835.3;
797.8;
754;
705.3;
959.9;
1925.9;
1210.9;
953.1;
882.2;
1369.6;
1290.2;
1476.5;
Jahrhunderthochwasser;
;
;
;
;
;
;
;
;
;
;
;
862.3;
827.8;
784.5;
806.7;
724.2;
738.3;
724.3;
804.9;
841;
812;
;
;
653.1;
641.4;
650.9;
650.4;
637.3;
619.5;
604.1;
588.8;
573.4;
558.3;
544.3;
535.3;
520.9;
520.1;
650.5;
800.3;
781;
1017.3;
1094.3;
1049.9;
1013.4;
915.4;
843.9;
795;
748.3;
672.8;
635.1;
610.4;
593.9;
567.5;
550.2;
537.4;
525.3;
510.5;
502.3;
499.3;
489.8;
474.4;
464.8;
458;
445.3;
438.2;
422.6;
415.6;
400.9;
391.7;
379.4;
384.6;
395.8;
369.4;
346.8;
335.8;
332.1;
323.4;
307.7;
302.3;
285.8;
275.8;
265.2;
263.9;
255.3;
250.8;
246.3;
233.6;
224.9;
223;
213.6;
208.2;
207.4;
205.8;
202.7;
203.1;
198.2;
194.9;
