Region;Alps
Country;Austria
#;6
Spring Name/Station Name;Etzbachquelle
Literature;Yes
Lat;47.531
Lon;14.609
Elev (m);880
Recharge Area (km2);
Start Date;1.01.2014 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_06_AT
Date;Discharge m^3/s
1.01.2014;0.0915
2.01.2014;0.0889
3.01.2014;0.0882
4.01.2014;0.0902
5.01.2014;0.0988
6.01.2014;0.1055
7.01.2014;0.1022
8.01.2014;0.1081
9.01.2014;0.1181
10.01.2014;0.1289
11.01.2014;0.1235
12.01.2014;0.1162
13.01.2014;0.1113
14.01.2014;0.1075
15.01.2014;0.1042
16.01.2014;0.1004
17.01.2014;0.0974
18.01.2014;0.0942
19.01.2014;0.0939
20.01.2014;0.0948
21.01.2014;0.0986
22.01.2014;0.0958
23.01.2014;0.0938
24.01.2014;0.091
25.01.2014;0.0883
26.01.2014;0.0869
27.01.2014;0.0858
28.01.2014;0.0835
29.01.2014;0.0817
30.01.2014;0.0792
31.01.2014;0.0799
1.02.2014;0.1027
2.02.2014;0.1225
3.02.2014;0.1198
4.02.2014;0.1128
5.02.2014;0.1072
6.02.2014;0.1018
7.02.2014;0.0987
8.02.2014;0.0956
9.02.2014;0.0926
10.02.2014;0.0898
11.02.2014;0.0872
12.02.2014;0.0855
13.02.2014;0.0836
14.02.2014;0.0812
15.02.2014;0.0795
16.02.2014;0.0779
17.02.2014;0.0769
18.02.2014;0.0759
19.02.2014;0.0797
20.02.2014;0.083
21.02.2014;0.0826
22.02.2014;0.0806
23.02.2014;0.0782
24.02.2014;0.0768
25.02.2014;0.0759
26.02.2014;0.0746
27.02.2014;0.0731
28.02.2014;0.0728
1.03.2014;0.0722
2.03.2014;0.0716
3.03.2014;0.0716
4.03.2014;0.0712
5.03.2014;0.0708
6.03.2014;0.0712
7.03.2014;0.0694
8.03.2014;0.0686
9.03.2014;0.068
10.03.2014;0.068
11.03.2014;0.0672
12.03.2014;0.0671
13.03.2014;0.0677
14.03.2014;0.0699
15.03.2014;0.0778
16.03.2014;0.1258
17.03.2014;0.2101
18.03.2014;0.1938
19.03.2014;0.187
20.03.2014;0.1711
21.03.2014;0.1577
22.03.2014;0.1638
23.03.2014;0.1731
24.03.2014;0.1655
25.03.2014;0.1493
26.03.2014;0.1369
27.03.2014;0.1278
28.03.2014;0.1225
