Region;Alps
Country;Austria
#;13
Spring Name/Station Name;Heiterwandquelle
Literature;Yes
Lat;47.3
Lon;10.722
Elev (m);1561
Recharge Area (km2);
Start Date;1.01.2007 00:00
End Date;31.12.2020 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_13_AT
Date;Discharge m^3/s
1.01.2007;0.14401
2.01.2007;0.14365
3.01.2007;0.143
4.01.2007;0.14301
5.01.2007;0.14297
6.01.2007;0.14265
7.01.2007;0.14276
8.01.2007;0.14215
9.01.2007;0.1447
10.01.2007;0.15104
11.01.2007;0.15231
12.01.2007;0.15224
13.01.2007;0.1497
14.01.2007;0.14926
15.01.2007;0.14722
16.01.2007;0.14546
17.01.2007;0.14427
18.01.2007;0.14319
19.01.2007;0.17292
20.01.2007;0.16179
21.01.2007;0.15253
22.01.2007;0.14859
23.01.2007;0.14619
24.01.2007;0.14446
25.01.2007;0.14298
26.01.2007;0.14189
27.01.2007;0.14107
28.01.2007;0.14018
29.01.2007;0.13997
30.01.2007;0.13959
31.01.2007;0.13932
1.02.2007;0.13914
2.02.2007;0.13819
3.02.2007;0.1379
4.02.2007;0.13732
5.02.2007;0.13702
6.02.2007;0.13702
7.02.2007;0.1368
8.02.2007;0.13612
9.02.2007;0.13583
10.02.2007;0.13555
11.02.2007;0.13504
12.02.2007;0.13501
13.02.2007;0.13491
14.02.2007;0.13427
15.02.2007;0.134
16.02.2007;0.13584
17.02.2007;0.13894
18.02.2007;0.14018
19.02.2007;0.13988
20.02.2007;0.13959
21.02.2007;0.13907
22.02.2007;0.13857
23.02.2007;0.13773
24.02.2007;0.13606
25.02.2007;0.13516
26.02.2007;0.13403
27.02.2007;0.13327
28.02.2007;0.13826
1.03.2007;0.13793
2.03.2007;0.1366
3.03.2007;0.1351
4.03.2007;0.13668
5.03.2007;0.14032
6.03.2007;0.14392
7.03.2007;0.14283
8.03.2007;0.1395
9.03.2007;0.13566
10.03.2007;0.13456
11.03.2007;0.1336
12.03.2007;0.13675
13.03.2007;0.14195
14.03.2007;0.1446
15.03.2007;0.14542
16.03.2007;0.1446
17.03.2007;0.14205
18.03.2007;0.14054
19.03.2007;0.1404
20.03.2007;0.13612
21.03.2007;0.13358
22.03.2007;0.13185
23.03.2007;0.13064
24.03.2007;0.12977
25.03.2007;0.13068
26.03.2007;0.13477
27.03.2007;0.13641
28.03.2007;0.13482
29.03.2007;0.1326
30.03.2007;0.13296
31.03.2007;0.13254
1.04.2007;0.13088
2.04.2007;0.13181
3.04.2007;0.13261
4.04.2007;0.13109
5.04.2007;0.12998
6.04.2007;0.13233
7.04.2007;0.13459
8.04.2007;0.13479
9.04.2007;0.1341
10.04.2007;0.134
11.04.2007;0.13427
12.04.2007;0.13443
13.04.2007;0.1345
14.04.2007;0.13377
15.04.2007;0.13343
16.04.2007;0.13321
17.04.2007;0.13248
18.04.2007;0.13136
19.04.2007;0.1303
20.04.2007;0.13022
21.04.2007;0.13007
22.04.2007;0.12975
23.04.2007;0.1294
24.04.2007;0.12877
25.04.2007;0.12882
26.04.2007;0.1295
27.04.2007;0.12961
28.04.2007;0.12897
29.04.2007;0.12858
30.04.2007;0.12823
1.05.2007;0.12794
2.05.2007;0.12761
3.05.2007;0.12714
4.05.2007;0.1267
5.05.2007;0.12698
6.05.2007;0.13354
7.05.2007;0.13405
8.05.2007;0.13225
9.05.2007;0.14436
10.05.2007;0.13552
11.05.2007;0.13196
12.05.2007;0.1326
13.05.2007;0.13164
14.05.2007;0.13091
15.05.2007;0.13178
16.05.2007;0.13085
17.05.2007;0.14226
18.05.2007;0.15132
19.05.2007;0.1399
20.05.2007;0.13616
21.05.2007;0.13601
22.05.2007;0.14214
23.05.2007;0.13839
24.05.2007;0.13609
25.05.2007;0.1356
26.05.2007;0.13526
27.05.2007;0.13421
28.05.2007;0.13386
29.05.2007;0.13739
30.05.2007;0.13946
31.05.2007;0.14652
1.06.2007;0.15111
2.06.2007;0.14747
3.06.2007;0.14419
4.06.2007;0.14614
5.06.2007;0.14734
6.06.2007;0.14267
7.06.2007;0.14049
8.06.2007;0.14044
9.06.2007;0.13934
10.06.2007;0.13855
11.06.2007;0.13826
12.06.2007;0.13784
13.06.2007;0.14103
14.06.2007;0.14149
15.06.2007;0.13992
16.06.2007;0.14179
17.06.2007;0.14173
18.06.2007;0.14009
19.06.2007;0.13911
20.06.2007;0.13864
21.06.2007;0.14019
22.06.2007;0.13979
23.06.2007;0.14114
24.06.2007;0.13948
25.06.2007;0.13951
26.06.2007;0.15616
27.06.2007;0.14628
28.06.2007;0.14433
29.06.2007;0.14232
30.06.2007;0.1414
1.07.2007;0.14069
2.07.2007;0.15343
3.07.2007;0.15095
4.07.2007;0.15458
5.07.2007;0.16069
6.07.2007;0.15617
7.07.2007;0.15034
8.07.2007;0.1479
9.07.2007;
10.07.2007;0.17137
11.07.2007;0.15795
12.07.2007;0.15381
13.07.2007;0.1512
14.07.2007;0.14974
15.07.2007;0.14938
16.07.2007;0.14734
17.07.2007;0.14658
18.07.2007;0.14647
19.07.2007;0.14622
20.07.2007;0.14573
21.07.2007;0.14579
22.07.2007;0.1467
23.07.2007;0.14641
24.07.2007;0.14952
25.07.2007;0.15274
26.07.2007;0.14881
27.07.2007;0.14759
28.07.2007;0.14733
29.07.2007;0.14738
30.07.2007;0.15073
31.07.2007;0.14949
1.08.2007;0.1489
2.08.2007;0.14829
3.08.2007;0.14958
4.08.2007;0.14908
5.08.2007;0.1483
6.08.2007;0.14745
7.08.2007;0.14791
8.08.2007;0.15205
9.08.2007;0.16978
10.08.2007;0.16351
11.08.2007;0.15982
12.08.2007;0.15823
13.08.2007;0.15481
14.08.2007;0.15336
15.08.2007;0.15225
16.08.2007;0.1516
17.08.2007;0.15421
18.08.2007;0.15306
19.08.2007;0.15366
20.08.2007;0.15547
21.08.2007;0.15493
22.08.2007;0.15328
23.08.2007;0.15233
24.08.2007;0.15177
25.08.2007;0.15127
26.08.2007;0.15076
27.08.2007;0.15056
28.08.2007;0.1513
29.08.2007;0.16273
30.08.2007;
31.08.2007;0.16584
1.09.2007;0.16055
2.09.2007;0.15846
3.09.2007;0.15808
4.09.2007;0.17552
5.09.2007;0.16855
6.09.2007;0.166
7.09.2007;
8.09.2007;
9.09.2007;0.17678
10.09.2007;0.17065
11.09.2007;
12.09.2007;0.17306
13.09.2007;0.16739
14.09.2007;0.16519
15.09.2007;0.16361
16.09.2007;0.1623
17.09.2007;0.16168
18.09.2007;0.17103
19.09.2007;0.1705
20.09.2007;0.16636
21.09.2007;0.16431
22.09.2007;0.1632
23.09.2007;0.16227
24.09.2007;0.16182
25.09.2007;0.16308
26.09.2007;0.16475
27.09.2007;0.16418
28.09.2007;0.16619
29.09.2007;0.1662
30.09.2007;0.16492
1.10.2007;0.16385
2.10.2007;0.16325
3.10.2007;0.16231
4.10.2007;0.16214
5.10.2007;0.16204
6.10.2007;0.16207
7.10.2007;0.16215
8.10.2007;0.16207
9.10.2007;0.16217
10.10.2007;0.1628
11.10.2007;0.16249
12.10.2007;0.1624
13.10.2007;0.16248
14.10.2007;0.16208
15.10.2007;0.16169
16.10.2007;0.16128
17.10.2007;0.16123
18.10.2007;0.16238
19.10.2007;0.1632
20.10.2007;0.16356
21.10.2007;0.16304
22.10.2007;0.163
23.10.2007;0.163
24.10.2007;0.16273
25.10.2007;0.16317
26.10.2007;0.16305
