Region;Alps
Country;Austria
#;14
Spring Name/Station Name;Hirschbrunn-Seeaustritt
Literature;Yes
Lat;47.547
Lon;13.659
Elev (m);508
Recharge Area (km2);
Start Date;14.05.2008 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_14_AT
Date;Discharge m^3/s
14.05.2008;0.2019
15.05.2008;0.1893
16.05.2008;0.2092
17.05.2008;0.2061
18.05.2008;0.2345
19.05.2008;0.2525
20.05.2008;0.2452
21.05.2008;0.1977
22.05.2008;0.1895
23.05.2008;0.1975
24.05.2008;0.1974
25.05.2008;0.2498
26.05.2008;0.2929
27.05.2008;0.3563
28.05.2008;0.4149
29.05.2008;0.4391
30.05.2008;0.5007
31.05.2008;0.5009
1.06.2008;0.4719
2.06.2008;
3.06.2008;
4.06.2008;
5.06.2008;
6.06.2008;
7.06.2008;
8.06.2008;
9.06.2008;
10.06.2008;
11.06.2008;
12.06.2008;
13.06.2008;
14.06.2008;
15.06.2008;
16.06.2008;
17.06.2008;
18.06.2008;
19.06.2008;
20.06.2008;
21.06.2008;
22.06.2008;
23.06.2008;
24.06.2008;
25.06.2008;
26.06.2008;
27.06.2008;
28.06.2008;
29.06.2008;
30.06.2008;
1.07.2008;
2.07.2008;
3.07.2008;
4.07.2008;
5.07.2008;
6.07.2008;
7.07.2008;
8.07.2008;
9.07.2008;0.0916
10.07.2008;0.0536
11.07.2008;0.0398
12.07.2008;0.0547
13.07.2008;0.0707
14.07.2008;0.1971
15.07.2008;0.3032
16.07.2008;0.1388
17.07.2008;0.1103
18.07.2008;0.1255
19.07.2008;0.0869
20.07.2008;0.1517
21.07.2008;0.4223
22.07.2008;0.3034
23.07.2008;0.5342
24.07.2008;0.5788
25.07.2008;0.3597
26.07.2008;0.2038
27.07.2008;0.1444
28.07.2008;0.1239
29.07.2008;0.1257
30.07.2008;0.1673
31.07.2008;0.199
1.08.2008;0.2138
2.08.2008;0.2167
3.08.2008;0.2122
4.08.2008;0.1501
5.08.2008;0.1679
6.08.2008;0.1645
7.08.2008;0.1102
8.08.2008;0.3379
9.08.2008;0.5444
10.08.2008;0.3736
11.08.2008;0.1716
12.08.2008;0.1057
13.08.2008;0.1731
14.08.2008;0.1852
15.08.2008;0.2582
16.08.2008;0.6966
17.08.2008;0.5398
18.08.2008;0.3364
19.08.2008;0.2465
20.08.2008;0.2793
21.08.2008;0.297
22.08.2008;0.2338
23.08.2008;0.2747
24.08.2008;0.3936
25.08.2008;0.3316
26.08.2008;0.3406
27.08.2008;0.3174
28.08.2008;0.2901
29.08.2008;0.3048
30.08.2008;
31.08.2008;
1.09.2008;
2.09.2008;
3.09.2008;
4.09.2008;
5.09.2008;
6.09.2008;
7.09.2008;
8.09.2008;0.3601
9.09.2008;0.3402
10.09.2008;0.3216
11.09.2008;0.2739
12.09.2008;0.2656
13.09.2008;0.4599
14.09.2008;0.393
15.09.2008;0.4224
16.09.2008;0.4564
17.09.2008;0.4805
18.09.2008;0.5349
19.09.2008;0.5811
20.09.2008;0.5633
21.09.2008;0.4729
22.09.2008;0.4287
23.09.2008;0.459
24.09.2008;0.4816
25.09.2008;0.5228
26.09.2008;0.6309
27.09.2008;0.6022
28.09.2008;0.5729
29.09.2008;0.4982
30.09.2008;0.4497
1.10.2008;0.4217
2.10.2008;0.3985
3.10.2008;0.4729
4.10.2008;0.521
5.10.2008;0.5026
6.10.2008;0.428
7.10.2008;0.4814
8.10.2008;0.3936
9.10.2008;0.4299
10.10.2008;0.4665
11.10.2008;0.4334
12.10.2008;0.3968
13.10.2008;0.1835
14.10.2008;0.0204
15.10.2008;0.0202
16.10.2008;0.0252
17.10.2008;0.0414
18.10.2008;0.0239
19.10.2008;0.0222
20.10.2008;0.0211
21.10.2008;0.0205
22.10.2008;0.0203
23.10.2008;0.0213
24.10.2008;0.0214
25.10.2008;0.0206
26.10.2008;0.0199
27.10.2008;0.0195
28.10.2008;0.0195
29.10.2008;0.019
30.10.2008;0.049
31.10.2008;0.0244
1.11.2008;0.0223
2.11.2008;0.0212
3.11.2008;0.0205
4.11.2008;0.0199
5.11.2008;0.0197
6.11.2008;0.019
7.11.2008;
8.11.2008;
9.11.2008;
10.11.2008;
11.11.2008;
12.11.2008;
13.11.2008;
14.11.2008;
15.11.2008;
16.11.2008;
17.11.2008;0.0178
