Region;Alps
Country;Austria
#;18
Spring Name/Station Name;Obwaldquelle
Literature;Yes
Lat;46.952
Lon;9.911
Elev (m);1682
Recharge Area (km2);
Start Date;23.01.2008 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_18_AT
Date;Discharge m^3/s
23.01.2008;0.0159
24.01.2008;0.0159
25.01.2008;0.0158
26.01.2008;0.0157
27.01.2008;0.0157
28.01.2008;0.0156
29.01.2008;0.0156
30.01.2008;0.0156
31.01.2008;0.0155
1.02.2008;0.0154
2.02.2008;0.0153
3.02.2008;0.0152
4.02.2008;0.015
5.02.2008;0.0147
6.02.2008;0.0147
7.02.2008;0.0146
8.02.2008;0.0144
9.02.2008;0.0139
10.02.2008;0.0133
11.02.2008;0.0129
12.02.2008;0.0128
13.02.2008;0.0129
14.02.2008;0.0128
15.02.2008;0.0128
16.02.2008;0.0132
17.02.2008;0.0135
18.02.2008;0.0136
19.02.2008;0.0136
20.02.2008;0.0137
21.02.2008;0.0137
22.02.2008;0.0137
23.02.2008;0.0137
24.02.2008;0.0139
25.02.2008;0.0144
26.02.2008;0.0147
27.02.2008;0.0149
28.02.2008;0.0149
29.02.2008;0.0151
1.03.2008;0.0164
2.03.2008;0.0167
3.03.2008;0.0162
4.03.2008;0.0159
5.03.2008;0.0152
6.03.2008;0.0151
7.03.2008;0.0149
8.03.2008;0.0146
9.03.2008;0.0144
10.03.2008;0.0143
11.03.2008;0.0142
12.03.2008;0.0162
13.03.2008;0.0167
14.03.2008;0.0156
15.03.2008;0.0154
16.03.2008;0.0156
17.03.2008;0.0154
18.03.2008;0.0151
19.03.2008;0.0148
20.03.2008;0.0146
21.03.2008;0.0146
22.03.2008;0.0143
23.03.2008;0.0141
24.03.2008;0.0141
25.03.2008;0.014
26.03.2008;0.0139
27.03.2008;0.0138
28.03.2008;0.0137
29.03.2008;0.0137
30.03.2008;0.0139
31.03.2008;0.0141
1.04.2008;0.0144
2.04.2008;0.0147
3.04.2008;0.0147
4.04.2008;0.0146
5.04.2008;0.0145
6.04.2008;0.0146
7.04.2008;0.0144
8.04.2008;0.0143
9.04.2008;0.0143
10.04.2008;0.0148
11.04.2008;0.0182
12.04.2008;0.0278
13.04.2008;0.0241
14.04.2008;0.0202
15.04.2008;0.0191
16.04.2008;0.0179
17.04.2008;0.0176
18.04.2008;0.0173
19.04.2008;0.0183
20.04.2008;0.0225
21.04.2008;0.0307
22.04.2008;0.0406
23.04.2008;0.0319
24.04.2008;0.0286
25.04.2008;0.0271
26.04.2008;0.027
27.04.2008;0.0346
28.04.2008;0.0685
29.04.2008;0.1033
30.04.2008;0.1024
1.05.2008;0.1001
2.05.2008;0.0965
3.05.2008;0.1042
4.05.2008;0.131
5.05.2008;0.1836
6.05.2008;0.2424
7.05.2008;0.2702
8.05.2008;0.2924
9.05.2008;0.3269
10.05.2008;0.3749
11.05.2008;0.4365
12.05.2008;0.478
13.05.2008;0.431
14.05.2008;0.3848
15.05.2008;0.3685
16.05.2008;0.366
17.05.2008;0.3743
18.05.2008;0.3709
19.05.2008;0.3383
20.05.2008;0.2894
21.05.2008;0.2745
22.05.2008;0.2562
23.05.2008;0.2615
24.05.2008;0.3158
25.05.2008;0.3984
26.05.2008;0.5165
27.05.2008;0.7154
28.05.2008;0.9623
29.05.2008;0.9866
30.05.2008;0.9452
31.05.2008;0.8513
1.06.2008;0.6179
2.06.2008;0.5767
3.06.2008;0.6888
4.06.2008;0.6775
5.06.2008;0.6281
6.06.2008;0.6315
7.06.2008;0.753
8.06.2008;0.7512
9.06.2008;0.6174
10.06.2008;0.5722
11.06.2008;0.5418
12.06.2008;0.4852
13.06.2008;0.4927
14.06.2008;0.4993
15.06.2008;0.358
16.06.2008;0.308
17.06.2008;0.2829
18.06.2008;0.3076
19.06.2008;0.3303
20.06.2008;0.372
21.06.2008;0.4514
22.06.2008;0.5095
23.06.2008;0.5845
24.06.2008;0.604
25.06.2008;0.5774
26.06.2008;0.5908
27.06.2008;0.5654
28.06.2008;0.4728
29.06.2008;0.4143
30.06.2008;0.4628
1.07.2008;0.4673
2.07.2008;0.3851
3.07.2008;0.3485
4.07.2008;0.3361
5.07.2008;0.3303
6.07.2008;0.3086
7.07.2008;0.3443
8.07.2008;0.5159
9.07.2008;0.4297
10.07.2008;0.3492
11.07.2008;0.3037
12.07.2008;0.2856
13.07.2008;0.372
14.07.2008;0.6752
15.07.2008;0.5081
16.07.2008;0.3425
17.07.2008;0.2713
18.07.2008;0.2462
19.07.2008;0.2233
20.07.2008;0.2122
21.07.2008;0.2238
22.07.2008;0.2205
23.07.2008;0.2061
24.07.2008;0.1903
25.07.2008;0.1701
26.07.2008;0.1513
27.07.2008;0.1365
28.07.2008;0.1301
29.07.2008;0.1296
30.07.2008;0.1287
31.07.2008;0.1248
1.08.2008;0.1261
2.08.2008;0.1473
3.08.2008;0.1737
4.08.2008;0.1563
5.08.2008;0.1415
6.08.2008;0.1304
7.08.2008;0.1221
8.08.2008;0.1199
9.08.2008;0.1211
10.08.2008;0.1195
11.08.2008;0.1135
