Region;Alps
Country;Austria
#;22
Spring Name/Station Name;Pieﬂling Ursprung
Literature;Yes
Lat;47.693
Lon;14.276
Elev (m);753
Recharge Area (km2);
Start Date;1.06.1980 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_22_AT
Date;Discharge m^3/s
1.06.1980;5.8917
2.06.1980;4.8491
3.06.1980;4.4922
4.06.1980;5.8029
5.06.1980;15.2192
6.06.1980;16.2088
7.06.1980;9.6287
8.06.1980;8.4732
9.06.1980;10.6619
10.06.1980;11.1029
11.06.1980;11.2765
12.06.1980;10.0855
13.06.1980;10.7628
14.06.1980;12.5802
15.06.1980;9.3041
16.06.1980;7.3325
17.06.1980;6.6155
18.06.1980;6.3567
19.06.1980;5.2149
20.06.1980;5.5851
21.06.1980;5.3708
22.06.1980;4.9384
23.06.1980;5.0044
24.06.1980;9.3025
25.06.1980;6.532
26.06.1980;5.0884
27.06.1980;8.3086
28.06.1980;5.3137
29.06.1980;4.8991
30.06.1980;4.9498
1.07.1980;4.229
2.07.1980;5.6309
3.07.1980;5.5529
4.07.1980;8.8244
5.07.1980;4.7756
6.07.1980;4.8449
7.07.1980;4.9554
8.07.1980;5.3386
9.07.1980;6.8961
10.07.1980;9.4792
11.07.1980;4.9159
12.07.1980;4.4723
13.07.1980;4.1602
14.07.1980;4.1437
15.07.1980;4.2579
16.07.1980;5.5127
17.07.1980;6.2578
18.07.1980;4.6479
19.07.1980;4.1373
20.07.1980;4.1664
21.07.1980;6.8909
22.07.1980;9.6446
23.07.1980;5.3691
24.07.1980;4.2079
25.07.1980;4.3792
26.07.1980;3.9748
27.07.1980;3.572
28.07.1980;3.5576
29.07.1980;3.1173
30.07.1980;3.328
31.07.1980;2.9273
1.08.1980;2.8798
2.08.1980;2.8201
3.08.1980;2.8454
4.08.1980;2.796
5.08.1980;2.4606
6.08.1980;3.9144
7.08.1980;2.4134
8.08.1980;2.7268
9.08.1980;2.588
10.08.1980;2.1995
11.08.1980;2.1259
12.08.1980;1.9071
13.08.1980;4.8041
14.08.1980;3.0079
15.08.1980;2.0762
16.08.1980;2.1978
17.08.1980;2.2212
18.08.1980;1.7833
19.08.1980;1.4716
20.08.1980;3.2399
21.08.1980;2.814
22.08.1980;2.123
23.08.1980;2.0424
24.08.1980;1.6104
25.08.1980;1.3658
26.08.1980;1.219
27.08.1980;1.1974
28.08.1980;1.126
29.08.1980;2.0455
30.08.1980;2.3543
31.08.1980;7.1336
1.09.1980;11.8043
2.09.1980;7.17
3.09.1980;3.4927
4.09.1980;2.3547
5.09.1980;2.0477
6.09.1980;1.7363
7.09.1980;1.4003
8.09.1980;1.3283
9.09.1980;1.2511
10.09.1980;2.9254
11.09.1980;5.1645
12.09.1980;4.1004
13.09.1980;2.7922
14.09.1980;2.4619
15.09.1980;1.8445
16.09.1980;1.5009
17.09.1980;1.41
18.09.1980;1.2633
19.09.1980;1.2801
20.09.1980;1.3491
21.09.1980;1.3126
22.09.1980;1.3147
23.09.1980;1.8013
24.09.1980;2.7286
25.09.1980;1.5088
26.09.1980;1.9003
27.09.1980;1.9367
28.09.1980;1.3853
29.09.1980;1.1633
30.09.1980;1.0888
1.10.1980;1.0626
2.10.1980;0.9708
3.10.1980;0.9127
4.10.1980;0.8699
5.10.1980;0.7999
6.10.1980;0.7866
7.10.1980;0.6925
8.10.1980;0.8632
9.10.1980;1.5594
10.10.1980;1.5451
11.10.1980;1.4182
12.10.1980;2.1206
13.10.1980;2.6621
14.10.1980;1.7873
15.10.1980;1.5149
16.10.1980;3.9158
17.10.1980;8.2588
18.10.1980;4.9441
19.10.1980;2.5329
20.10.1980;1.7686
21.10.1980;1.4175
22.10.1980;1.2745
23.10.1980;1.1758
24.10.1980;1.1709
25.10.1980;1.4777
26.10.1980;1.5684
27.10.1980;1.3529
28.10.1980;2.7736
29.10.1980;3.4321
30.10.1980;4.0111
31.10.1980;1.9923
1.11.1980;1.4879
2.11.1980;1.3107
3.11.1980;1.2262
4.11.1980;1.269
5.11.1980;1.1865
6.11.1980;1.2031
7.11.1980;1.1812
8.11.1980;1.1055
9.11.1980;1.0379
10.11.1980;1.0147
11.11.1980;0.914
12.11.1980;0.8805
13.11.1980;0.838
14.11.1980;0.7784
15.11.1980;0.8019
16.11.1980;3.0707
17.11.1980;1.9989
18.11.1980;1.2523
19.11.1980;1.0699
20.11.1980;0.9548
21.11.1980;1.2426
22.11.1980;1.0712
23.11.1980;1.0893
24.11.1980;1.1711
25.11.1980;1.2716
26.11.1980;1.2246
27.11.1980;1.1531
28.11.1980;1.0425
29.11.1980;1.0162
30.11.1980;0.8816
1.12.1980;0.8602
2.12.1980;0.7975
3.12.1980;0.7861
4.12.1980;0.7876
5.12.1980;0.7703
6.12.1980;0.7728
7.12.1980;0.7422
8.12.1980;0.711
9.12.1980;0.6599
10.12.1980;0.6493
11.12.1980;0.619
12.12.1980;0.5974
