Region;Alps
Country;Austria
#;23
Spring Name/Station Name;Pöllauer Ursprung
Literature;Yes
Lat;47.036
Lon;14.374
Elev (m);1150
Recharge Area (km2);
Start Date;14.07.2011 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_23_AT
Date;Discharge m^3/s
14.07.2011;0.1087
15.07.2011;0.1119
16.07.2011;0.1101
17.07.2011;0.1092
18.07.2011;0.1085
19.07.2011;0.1076
20.07.2011;0.1063
21.07.2011;0.1049
22.07.2011;0.1039
23.07.2011;0.1029
24.07.2011;0.1085
25.07.2011;0.1223
26.07.2011;0.1254
27.07.2011;0.1249
28.07.2011;0.1247
29.07.2011;0.1244
30.07.2011;0.1253
31.07.2011;0.1258
1.08.2011;0.1236
2.08.2011;0.1238
3.08.2011;0.1234
4.08.2011;0.125
5.08.2011;0.127
6.08.2011;0.128
7.08.2011;0.1272
8.08.2011;0.1299
9.08.2011;0.141
10.08.2011;0.1473
11.08.2011;0.148
12.08.2011;0.148
13.08.2011;0.1461
14.08.2011;0.1446
15.08.2011;0.1451
16.08.2011;0.1452
17.08.2011;0.144
18.08.2011;0.1431
19.08.2011;0.1426
20.08.2011;0.1412
21.08.2011;0.1404
22.08.2011;0.1396
23.08.2011;0.1384
24.08.2011;0.1376
25.08.2011;0.1365
26.08.2011;0.1356
27.08.2011;0.1342
28.08.2011;0.1328
29.08.2011;0.1324
30.08.2011;0.1309
31.08.2011;0.13
1.09.2011;0.1291
2.09.2011;0.1283
3.09.2011;0.127
4.09.2011;0.1259
5.09.2011;0.1308
6.09.2011;0.1366
7.09.2011;0.1398
8.09.2011;0.1395
9.09.2011;0.1383
10.09.2011;0.1375
11.09.2011;0.1364
12.09.2011;0.1355
13.09.2011;0.1339
14.09.2011;0.1328
15.09.2011;0.1323
16.09.2011;0.1307
17.09.2011;0.1299
18.09.2011;0.1305
19.09.2011;0.171
