Region;Alps
Country;Austria
#;24
Spring Name/Station Name;Pucherhäuslquelle
Literature;Yes
Lat;47.43
Lon;12.693
Elev (m);955
Recharge Area (km2);
Start Date;23.08.2006 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_24_AT
Date;Discharge m^3/s
23.08.2006;0.0712
24.08.2006;0.0703
25.08.2006;0.0705
26.08.2006;0.0669
27.08.2006;0.0675
28.08.2006;0.0696
29.08.2006;0.0895
30.08.2006;0.1792
31.08.2006;0.2686
1.09.2006;0.2269
2.09.2006;0.1597
3.09.2006;0.1477
4.09.2006;0.1275
5.09.2006;0.113
6.09.2006;0.0928
7.09.2006;0.081
8.09.2006;0.1057
9.09.2006;0.0946
10.09.2006;0.0896
11.09.2006;0.08
12.09.2006;0.0699
13.09.2006;0.0663
14.09.2006;0.0641
15.09.2006;0.0635
16.09.2006;0.061
17.09.2006;0.0595
18.09.2006;0.0593
19.09.2006;0.0989
20.09.2006;0.0991
21.09.2006;0.087
22.09.2006;0.0772
23.09.2006;0.0719
24.09.2006;0.0681
25.09.2006;0.065
26.09.2006;0.063
27.09.2006;0.0601
28.09.2006;0.0583
29.09.2006;0.0564
30.09.2006;0.0542
1.10.2006;0.0525
2.10.2006;0.0511
3.10.2006;0.05
4.10.2006;0.0608
5.10.2006;0.0676
6.10.2006;0.0652
7.10.2006;0.0611
8.10.2006;0.0687
9.10.2006;0.0647
10.10.2006;0.0604
11.10.2006;0.0524
12.10.2006;0.0556
13.10.2006;0.0581
14.10.2006;0.0504
15.10.2006;0.0484
16.10.2006;0.0457
17.10.2006;0.0435
18.10.2006;0.0424
19.10.2006;0.041
20.10.2006;0.0399
21.10.2006;0.0387
22.10.2006;0.0371
23.10.2006;0.036
24.10.2006;0.0359
25.10.2006;0.0346
26.10.2006;0.033
27.10.2006;0.0347
28.10.2006;0.036
29.10.2006;0.0341
30.10.2006;0.0388
31.10.2006;0.0353
1.11.2006;0.0384
2.11.2006;0.0399
3.11.2006;0.0415
4.11.2006;0.0453
5.11.2006;0.0388
6.11.2006;0.0363
7.11.2006;0.0365
8.11.2006;0.0408
9.11.2006;0.0633
10.11.2006;0.1214
11.11.2006;0.062
12.11.2006;0.086
13.11.2006;0.0671
14.11.2006;0.128
15.11.2006;0.1345
16.11.2006;0.1069
17.11.2006;0.0862
18.11.2006;0.0693
19.11.2006;0.061
20.11.2006;0.0548
21.11.2006;0.0493
22.11.2006;0.0442
23.11.2006;0.04
24.11.2006;0.0374
25.11.2006;0.0382
26.11.2006;0.0391
27.11.2006;0.0405
28.11.2006;0.039
29.11.2006;0.0409
30.11.2006;0.0419
1.12.2006;0.0363
2.12.2006;0.0334
3.12.2006;0.0328
4.12.2006;0.0318
5.12.2006;0.0323
6.12.2006;0.032
7.12.2006;0.0321
8.12.2006;0.0318
9.12.2006;0.0317
10.12.2006;0.032
11.12.2006;0.0318
12.12.2006;0.0309
13.12.2006;0.0331
14.12.2006;0.0364
15.12.2006;0.0335
16.12.2006;0.0314
