Region;Alps
Country;Austria
#;26
Spring Name/Station Name;Rettenbachquelle
Literature;Yes
Lat;47.755
Lon;14.315
Elev (m);613
Recharge Area (km2);
Start Date;1.01.1991 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_26_AT
Date;Discharge m^3/s
1.01.1991;0.9913
2.01.1991;1.1664
3.01.1991;4.8458
4.01.1991;3.3792
5.01.1991;1.4489
6.01.1991;1.0874
7.01.1991;0.921
8.01.1991;0.8533
9.01.1991;0.8082
10.01.1991;0.8422
11.01.1991;1.1177
12.01.1991;1.2216
13.01.1991;0.9802
14.01.1991;0.8063
15.01.1991;0.7028
16.01.1991;0.6192
17.01.1991;0.5993
18.01.1991;0.5643
19.01.1991;0.5302
20.01.1991;0.5508
21.01.1991;0.5276
22.01.1991;0.515
23.01.1991;0.4866
24.01.1991;0.4692
25.01.1991;0.4471
26.01.1991;0.4757
27.01.1991;0.5091
28.01.1991;0.4806
29.01.1991;0.4439
30.01.1991;0.4307
31.01.1991;0.4019
1.02.1991;0.3542
2.02.1991;0.3505
3.02.1991;0.3309
4.02.1991;0.3106
5.02.1991;0.2605
6.02.1991;0.2299
7.02.1991;0.2243
8.02.1991;0.2173
9.02.1991;0.1825
10.02.1991;0.1931
11.02.1991;0.1961
12.02.1991;0.1906
13.02.1991;0.165
14.02.1991;0.2114
15.02.1991;0.2026
16.02.1991;0.2004
17.02.1991;0.2198
18.02.1991;0.2251
19.02.1991;0.226
20.02.1991;0.2414
21.02.1991;0.3433
22.02.1991;0.3989
23.02.1991;0.4964
24.02.1991;0.7403
25.02.1991;1.0472
26.02.1991;1.0056
27.02.1991;0.917
28.02.1991;0.8598
1.03.1991;0.8038
2.03.1991;0.8359
3.03.1991;0.7911
4.03.1991;0.7349
5.03.1991;0.8855
6.03.1991;0.9844
7.03.1991;1.3243
8.03.1991;2.4988
9.03.1991;3.1873
10.03.1991;1.5013
11.03.1991;1.0874
12.03.1991;0.9335
13.03.1991;0.9522
14.03.1991;0.959
15.03.1991;0.9463
16.03.1991;0.8671
17.03.1991;0.8432
18.03.1991;0.8524
19.03.1991;1.5149
20.03.1991;5.0988
21.03.1991;3.1493
22.03.1991;1.4159
23.03.1991;1.114
24.03.1991;1.1344
25.03.1991;1.1419
26.03.1991;1.1128
27.03.1991;0.9
28.03.1991;0.6285
29.03.1991;0.491
30.03.1991;0.439
31.03.1991;0.402
1.04.1991;0.791
2.04.1991;1.0394
3.04.1991;0.7951
4.04.1991;0.7666
5.04.1991;0.8827
6.04.1991;0.8774
7.04.1991;0.7078
8.04.1991;0.5841
9.04.1991;0.6058
10.04.1991;0.651
11.04.1991;0.6746
12.04.1991;0.5835
13.04.1991;0.5963
14.04.1991;0.5931
15.04.1991;0.5701
16.04.1991;0.5664
17.04.1991;0.5789
18.04.1991;0.4499
19.04.1991;0.3703
20.04.1991;0.3875
21.04.1991;0.3958
22.04.1991;0.4001
23.04.1991;0.4288
24.04.1991;0.4377
25.04.1991;0.4704
26.04.1991;0.7178
27.04.1991;1.1632
28.04.1991;1.6429
29.04.1991;1.2915
30.04.1991;1.6876
1.05.1991;5.2427
2.05.1991;4.7886
3.05.1991;2.2681
4.05.1991;1.1796
5.05.1991;0.9847
6.05.1991;1.0054
7.05.1991;0.9556
8.05.1991;0.8675
9.05.1991;0.8711
10.05.1991;1.2066
11.05.1991;2.608
12.05.1991;1.8805
13.05.1991;1.2676
14.05.1991;1.293
