Region;Alps
Country;Austria
#;27
Spring Name/Station Name;Riedlbachquelle
Literature;Yes
Lat;47.547
Lon;13.867
Elev (m);820
Recharge Area (km2);
Start Date;1.01.2008 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_27_AT
Date;Discharge m^3/s
1.01.2008;0.1086
2.01.2008;0.1046
3.01.2008;0.1006
4.01.2008;0.0955
5.01.2008;0.0914
6.01.2008;0.0868
7.01.2008;0.0852
8.01.2008;0.087
9.01.2008;0.0763
10.01.2008;0.0689
11.01.2008;0.064
12.01.2008;0.061
13.01.2008;0.0568
14.01.2008;0.053
15.01.2008;0.0507
16.01.2008;0.0488
17.01.2008;0.0472
18.01.2008;0.0455
19.01.2008;0.1333
20.01.2008;0.2505
21.01.2008;0.1873
22.01.2008;0.1654
23.01.2008;0.1421
24.01.2008;0.1122
25.01.2008;0.1032
26.01.2008;0.0947
27.01.2008;0.103
28.01.2008;0.1172
29.01.2008;0.096
30.01.2008;0.0849
31.01.2008;0.0734
1.02.2008;0.0652
2.02.2008;0.0561
3.02.2008;0.0456
4.02.2008;0.0406
5.02.2008;0.0348
6.02.2008;0.0271
7.02.2008;0.0416
8.02.2008;0.0239
9.02.2008;0.0144
10.02.2008;0.0083
11.02.2008;0.0029
12.02.2008;0.0002
13.02.2008;0
14.02.2008;0
15.02.2008;0
16.02.2008;0
17.02.2008;0
18.02.2008;0
19.02.2008;0
20.02.2008;0
21.02.2008;0
22.02.2008;0
23.02.2008;0.0231
24.02.2008;0.0887
25.02.2008;0.1412
26.02.2008;0.1815
27.02.2008;0.2263
28.02.2008;0.2154
29.02.2008;0.2071
1.03.2008;0.4314
2.03.2008;0.4926
3.03.2008;0.4933
4.03.2008;0.4689
5.03.2008;0.3478
6.03.2008;0.2646
7.03.2008;0.2238
8.03.2008;0.198
9.03.2008;0.1711
10.03.2008;0.1514
11.03.2008;0.1531
12.03.2008;0.1865
13.03.2008;0.2735
14.03.2008;0.2467
15.03.2008;0.5047
16.03.2008;0.478
17.03.2008;0.4225
18.03.2008;0.3471
19.03.2008;0.279
20.03.2008;0.2389
21.03.2008;0.2186
22.03.2008;0.199
23.03.2008;0.1752
24.03.2008;0.1513
25.03.2008;0.1315
26.03.2008;0.1175
27.03.2008;0.1111
28.03.2008;0.1093
29.03.2008;0.1123
30.03.2008;0.1211
31.03.2008;0.1695
1.04.2008;0.258
2.04.2008;0.2883
3.04.2008;0.2676
4.04.2008;0.2104
5.04.2008;0.1807
6.04.2008;0.1593
7.04.2008;0.1439
8.04.2008;0.128
9.04.2008;0.1822
10.04.2008;0.3673
11.04.2008;0.6348
12.04.2008;0.7718
13.04.2008;0.5088
14.04.2008;0.3941
15.04.2008;0.4346
16.04.2008;0.3702
17.04.2008;0.3271
18.04.2008;0.3483
19.04.2008;0.5423
20.04.2008;0.702
21.04.2008;0.84
22.04.2008;0.9415
23.04.2008;1.0117
24.04.2008;0.8458
25.04.2008;0.8
26.04.2008;0.7155
27.04.2008;0.6557
28.04.2008;0.791
29.04.2008;0.9639
30.04.2008;1.0076
1.05.2008;0.9691
2.05.2008;0.8623
3.05.2008;0.8921
4.05.2008;0.9475
5.05.2008;0.913
6.05.2008;0.8709
7.05.2008;0.9882
8.05.2008;0.9926
9.05.2008;1.0089
10.05.2008;1.0464
11.05.2008;1.0609
12.05.2008;1.0491
13.05.2008;1.04
14.05.2008;1.0416
15.05.2008;1.0522
16.05.2008;1.0663
17.05.2008;1.0653
18.05.2008;1.0624
19.05.2008;1.0365
20.05.2008;1.0218
21.05.2008;0.9612
22.05.2008;0.892
23.05.2008;0.8815
24.05.2008;0.8609
25.05.2008;0.9084
26.05.2008;0.9427
27.05.2008;0.9582
28.05.2008;0.9537
29.05.2008;0.9176
30.05.2008;0.8998
31.05.2008;0.8313
1.06.2008;0.7733
2.06.2008;0.7262
3.06.2008;0.6334
4.06.2008;0.5814
5.06.2008;0.5833
6.06.2008;0.5576
7.06.2008;0.4996
8.06.2008;0.5723
9.06.2008;0.4749
10.06.2008;0.3729
11.06.2008;0.356
12.06.2008;0.5152
13.06.2008;0.5401
14.06.2008;0.5715
15.06.2008;0.4008
16.06.2008;0.3389
17.06.2008;0.3241
18.06.2008;0.3778
19.06.2008;0.3351
20.06.2008;0.3092
21.06.2008;0.2852
22.06.2008;0.2669
23.06.2008;0.3176
24.06.2008;0.356
25.06.2008;0.3156
26.06.2008;0.3106
27.06.2008;0.5204
28.06.2008;0.3618
29.06.2008;0.3174
30.06.2008;0.2872
1.07.2008;0.2647
2.07.2008;0.2491
3.07.2008;0.2493
4.07.2008;0.3128
5.07.2008;0.2943
6.07.2008;0.2591
7.07.2008;0.2426
8.07.2008;0.2876
9.07.2008;0.3005
10.07.2008;0.2769
11.07.2008;0.2762
12.07.2008;0.3187
13.07.2008;0.3377
14.07.2008;0.3078
15.07.2008;0.738
16.07.2008;0.5011
17.07.2008;0.3749
18.07.2008;0.4293
19.07.2008;0.3548
20.07.2008;0.4727
21.07.2008;1.0903
22.07.2008;0.8193
23.07.2008;0.9683
24.07.2008;0.8936
25.07.2008;0.6685
26.07.2008;0.5195
27.07.2008;0.3962
28.07.2008;0.3522
29.07.2008;0.3294
30.07.2008;0.3079
31.07.2008;0.2876
1.08.2008;0.2706
2.08.2008;0.2574
3.08.2008;0.2472
4.08.2008;0.2382
5.08.2008;0.2269
6.08.2008;0.2137
7.08.2008;0.2027
8.08.2008;0.4023
9.08.2008;0.7655
10.08.2008;0.5366
11.08.2008;0.3672
12.08.2008;0.3197
13.08.2008;0.2835
14.08.2008;0.2619
15.08.2008;0.3534
16.08.2008;1.1742
17.08.2008;0.9739
18.08.2008;0.6295
19.08.2008;0.4388
20.08.2008;0.3705
21.08.2008;0.3461
22.08.2008;0.32
23.08.2008;0.3022
24.08.2008;0.3349
25.08.2008;0.3149
26.08.2008;0.2882
27.08.2008;0.2696
28.08.2008;0.256
29.08.2008;0.2401
30.08.2008;0.2248
31.08.2008;0.2082
1.09.2008;0.1916
2.09.2008;0.1811
3.09.2008;0.1799
4.09.2008;0.1661
5.09.2008;0.152
6.09.2008;0.1413
7.09.2008;0.1306
8.09.2008;0.1259
9.09.2008;0.1199
10.09.2008;0.1153
11.09.2008;0.1126
12.09.2008;0.1113
13.09.2008;0.1247
14.09.2008;0.1203
15.09.2008;0.1187
16.09.2008;0.1434
17.09.2008;0.1716
18.09.2008;0.2094
19.09.2008;0.174
20.09.2008;0.1426
21.09.2008;0.1221
22.09.2008;0.12
23.09.2008;0.1221
24.09.2008;0.1165
25.09.2008;0.1158
26.09.2008;0.2841
27.09.2008;0.2823
28.09.2008;0.2459
29.09.2008;0.1972
30.09.2008;0.1594
1.10.2008;0.1344
2.10.2008;0.1207
3.10.2008;0.2216
4.10.2008;0.3368
5.10.2008;0.3068
6.10.2008;0.3521
7.10.2008;0.5288
8.10.2008;0.4381
9.10.2008;0.3377
10.10.2008;0.2812
11.10.2008;0.2484
12.10.2008;0.2126
13.10.2008;0.1796
14.10.2008;0.1538
15.10.2008;0.135
16.10.2008;0.1241
17.10.2008;0.1802
18.10.2008;0.164
19.10.2008;0.1373
20.10.2008;0.1231
21.10.2008;0.115
22.10.2008;0.1067
23.10.2008;0.0973
24.10.2008;0.0882
25.10.2008;0.0785
26.10.2008;0.069
27.10.2008;0.0586
28.10.2008;0.0483
29.10.2008;0.039
30.10.2008;0.0863
31.10.2008;0.0829
1.11.2008;0.0634
2.11.2008;0.046
3.11.2008;0.0311
4.11.2008;0.0151
5.11.2008;0.0031
6.11.2008;0
7.11.2008;0
8.11.2008;0
9.11.2008;0
10.11.2008;0
11.11.2008;0
12.11.2008;0
13.11.2008;0
14.11.2008;0
15.11.2008;0
16.11.2008;0
17.11.2008;0
18.11.2008;0
19.11.2008;0
20.11.2008;0
21.11.2008;0.0312
22.11.2008;0.0008
23.11.2008;0
24.11.2008;0
25.11.2008;0
26.11.2008;0
27.11.2008;0
28.11.2008;0
29.11.2008;0
30.11.2008;0
1.12.2008;0.1491
2.12.2008;0.0717
3.12.2008;0.0182
4.12.2008;0.0003
5.12.2008;0
6.12.2008;0
7.12.2008;0
8.12.2008;0
9.12.2008;0
10.12.2008;0
11.12.2008;0
12.12.2008;0
13.12.2008;0
14.12.2008;0
15.12.2008;0
16.12.2008;0
17.12.2008;0.0029
18.12.2008;0
19.12.2008;0
20.12.2008;0
21.12.2008;0.1891
22.12.2008;0.3098
23.12.2008;0.1989
24.12.2008;0.0941
25.12.2008;0.0594
26.12.2008;0.0308
27.12.2008;0.0118
28.12.2008;0.0004
29.12.2008;0
30.12.2008;0
31.12.2008;0
1.01.2009;0
2.01.2009;0
3.01.2009;0
4.01.2009;0
5.01.2009;0
6.01.2009;0
7.01.2009;0
8.01.2009;0
9.01.2009;0
10.01.2009;0
11.01.2009;0
12.01.2009;0
