Region;Alps
Country;Austria
#;32
Spring Name/Station Name;Schwarze Torrenquelle
Literature;Yes
Lat;47.566
Lon;13.118
Elev (m);518
Recharge Area (km2);
Start Date;16.06.2015 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_32_AT
Date;Discharge m^3/s
16.06.2015;2.1294
17.06.2015;2.1159
18.06.2015;1.927
19.06.2015;2.1465
20.06.2015;2.4079
21.06.2015;2.2691
22.06.2015;2.0987
23.06.2015;2.4041
24.06.2015;2.3036
25.06.2015;2.0695
26.06.2015;1.9475
27.06.2015;1.8576
28.06.2015;1.8344
29.06.2015;1.8112
30.06.2015;1.7578
1.07.2015;1.7091
2.07.2015;1.6736
3.07.2015;1.6473
4.07.2015;1.6004
5.07.2015;1.5244
6.07.2015;1.4888
7.07.2015;1.4902
8.07.2015;1.4556
9.07.2015;1.724
10.07.2015;1.465
11.07.2015;1.2512
12.07.2015;1.1241
13.07.2015;1.0322
14.07.2015;1.2969
15.07.2015;1.3394
16.07.2015;1.1094
17.07.2015;0.9938
18.07.2015;1.745
19.07.2015;1.4272
20.07.2015;1.5846
21.07.2015;1.3601
22.07.2015;1.1331
23.07.2015;1.1824
24.07.2015;1.0661
25.07.2015;1.1204
26.07.2015;1.9852
27.07.2015;1.9856
28.07.2015;1.9297
29.07.2015;1.8116
30.07.2015;2.2546
31.07.2015;1.9027
1.08.2015;1.6328
2.08.2015;1.8874
3.08.2015;2.0476
4.08.2015;1.7499
5.08.2015;1.6544
6.08.2015;1.3659
7.08.2015;1.1532
8.08.2015;0.982
9.08.2015;0.8706
10.08.2015;0.7754
11.08.2015;0.7091
12.08.2015;0.6542
13.08.2015;0.6043
14.08.2015;0.5558
15.08.2015;0.5152
16.08.2015;0.541
17.08.2015;1.7316
18.08.2015;1.9111
19.08.2015;1.8131
20.08.2015;2.0535
21.08.2015;2.1381
22.08.2015;1.8254
23.08.2015;1.4944
24.08.2015;1.2427
25.08.2015;1.0379
26.08.2015;0.9228
27.08.2015;0.811
28.08.2015;0.7287
29.08.2015;0.6599
30.08.2015;0.6034
31.08.2015;0.5466
1.09.2015;0.4939
2.09.2015;1.6098
3.09.2015;1.8945
4.09.2015;2.3196
5.09.2015;2.2748
6.09.2015;2.2776
7.09.2015;2.0366
8.09.2015;1.8407
9.09.2015;1.6971
10.09.2015;1.4601
11.09.2015;1.2448
12.09.2015;1.0637
13.09.2015;0.9128
14.09.2015;0.8114
15.09.2015;0.7623
16.09.2015;0.7004
17.09.2015;0.6414
18.09.2015;0.5859
19.09.2015;0.5298
20.09.2015;0.757
21.09.2015;0.8893
22.09.2015;0.7746
23.09.2015;0.894
24.09.2015;1.5324
25.09.2015;1.6741
26.09.2015;1.7267
27.09.2015;1.5563
28.09.2015;1.2803
29.09.2015;1.0525
30.09.2015;0.8862
1.10.2015;0.7707
2.10.2015;0.6878
3.10.2015;0.6178
4.10.2015;0.5538
5.10.2015;0.5458
6.10.2015;0.5109
7.10.2015;0.9266
8.10.2015;2.2748
9.10.2015;1.8718
10.10.2015;1.4851
11.10.2015;1.3898
12.10.2015;1.524
13.10.2015;1.2316
14.10.2015;1.0722
15.10.2015;1.2702
16.10.2015;1.5564
17.10.2015;1.3148
18.10.2015;1.134
19.10.2015;1.0451
20.10.2015;1.0001
21.10.2015;0.892
22.10.2015;0.8023
23.10.2015;0.7687
24.10.2015;0.8663
25.10.2015;0.7921
26.10.2015;0.7206
27.10.2015;0.6661
28.10.2015;0.6084
29.10.2015;0.5517
30.10.2015;0.5049
31.10.2015;0.4603
1.11.2015;0.4192
2.11.2015;0.3777
3.11.2015;0.3402
4.11.2015;0.3097
5.11.2015;0.2827
6.11.2015;0.2586
7.11.2015;0.236
8.11.2015;0.2201
9.11.2015;0.2071
10.11.2015;0.1915
11.11.2015;0.1769
12.11.2015;0.1626
13.11.2015;0.1491
14.11.2015;0.137
15.11.2015;0.1357
16.11.2015;0.1391
17.11.2015;0.1253
18.11.2015;0.1132
19.11.2015;0.1006
20.11.2015;0.1661
21.11.2015;0.6502
22.11.2015;0.6089
23.11.2015;0.4785
24.11.2015;0.3895
25.11.2015;0.3283
26.11.2015;0.2764
27.11.2015;0.235
28.11.2015;0.2101
29.11.2015;0.1921
30.11.2015;0.2736
1.12.2015;1.0272
2.12.2015;1.5949
3.12.2015;1.1329
4.12.2015;0.8451
5.12.2015;0.6992
6.12.2015;0.6184
7.12.2015;0.5461
8.12.2015;0.4852
9.12.2015;0.4359
10.12.2015;0.3969
11.12.2015;0.3499
12.12.2015;0.3055
13.12.2015;0.2715
14.12.2015;0.2416
15.12.2015;0.2178
16.12.2015;0.1909
17.12.2015;0.2725
18.12.2015;0.4407
19.12.2015;0.447
20.12.2015;0.4578
21.12.2015;0.4425
22.12.2015;0.3962
23.12.2015;0.3638
24.12.2015;0.329
25.12.2015;0.2875
26.12.2015;0.2575
27.12.2015;0.2373
28.12.2015;0.2155
29.12.2015;0.1925
30.12.2015;0.1673
31.12.2015;0.1396
1.01.2016;0.1142
