Region;Alps
Country;Austria
#;38
Spring Name/Station Name;Totes Weib Quelle
Literature;Yes
Lat;47.731
Lon;15.488
Elev (m);880
Recharge Area (km2);
Start Date;5.12.2016 00:00
End Date;31.12.2022 00:00
Resolution;Daily
Data Source;www.ehyd.gv.at
Data License;CC BY-NC
Contact For License;Federal Ministry of Agriculture and Forestry, Climate and Environmental Protection, Regions and Water Management of the Republic of Austria (office@bmluk.gv.at)
Spring ID;ALP_38_AT
Date;Discharge m^3/s
5.12.2016;0.0127
6.12.2016;0.0123
7.12.2016;0.0117
8.12.2016;0.0114
9.12.2016;0.0112
10.12.2016;0.012
11.12.2016;0.0146
12.12.2016;0.0136
13.12.2016;0.0124
14.12.2016;0.012
15.12.2016;0.0136
16.12.2016;0.0126
17.12.2016;0.0114
18.12.2016;0.0112
19.12.2016;0.0108
20.12.2016;0.0105
21.12.2016;0.0102
22.12.2016;0.0102
23.12.2016;0.0104
24.12.2016;0.0109
25.12.2016;0.0177
26.12.2016;0.3527
27.12.2016;0.1935
28.12.2016;0.0472
29.12.2016;0.0314
30.12.2016;0.026
31.12.2016;0.0228
1.01.2017;0.0208
2.01.2017;0.0191
3.01.2017;0.0171
4.01.2017;0.0163
5.01.2017;0.0153
6.01.2017;0.0141
7.01.2017;0.0135
8.01.2017;0.0132
9.01.2017;0.0128
10.01.2017;0.0125
11.01.2017;0.0121
12.01.2017;0.0119
13.01.2017;0.0116
14.01.2017;0.0114
15.01.2017;0.011
16.01.2017;0.0108
17.01.2017;0.0106
18.01.2017;0.0104
19.01.2017;0.0103
20.01.2017;0.0102
21.01.2017;0.0102
22.01.2017;0.0101
23.01.2017;0.0101
24.01.2017;0.0101
25.01.2017;0.0099
26.01.2017;0.0097
27.01.2017;0.0095
28.01.2017;0.0096
29.01.2017;0.0101
30.01.2017;0.0104
31.01.2017;0.0103
1.02.2017;0.0097
2.02.2017;0.0095
3.02.2017;0.0131
4.02.2017;0.0198
5.02.2017;0.0193
6.02.2017;0.0183
7.02.2017;0.0136
8.02.2017;0.0117
9.02.2017;0.0109
10.02.2017;0.0106
11.02.2017;0.0102
12.02.2017;0.0098
13.02.2017;0.0095
14.02.2017;0.0096
15.02.2017;0.0125
16.02.2017;0.0182
17.02.2017;0.0168
18.02.2017;0.0121
19.02.2017;0.0109
20.02.2017;0.0106
21.02.2017;0.192
22.02.2017;0.4266
23.02.2017;0.4178
24.02.2017;0.2002
25.02.2017;0.0699
26.02.2017;0.0417
27.02.2017;0.0332
28.02.2017;0.0321
1.03.2017;0.0351
2.03.2017;0.0314
3.03.2017;0.0323
4.03.2017;0.0762
5.03.2017;0.1464
6.03.2017;0.0838
7.03.2017;0.0431
8.03.2017;0.0316
9.03.2017;0.0468
10.03.2017;0.082
11.03.2017;0.0412
12.03.2017;0.0329
13.03.2017;0.0308
14.03.2017;0.0301
15.03.2017;0.042
16.03.2017;0.0663
17.03.2017;0.088
18.03.2017;0.4739
19.03.2017;0.5332
20.03.2017;0.554
21.03.2017;0.4121
22.03.2017;0.3609
23.03.2017;0.3587
24.03.2017;0.2824
25.03.2017;0.1849
26.03.2017;0.1358
27.03.2017;0.0948
28.03.2017;0.1047
29.03.2017;0.1678
30.03.2017;0.2106
31.03.2017;0.2451
1.04.2017;0.3189
2.04.2017;0.2388
3.04.2017;0.1972
4.04.2017;0.1871
5.04.2017;0.1432
6.04.2017;
7.04.2017;
8.04.2017;
9.04.2017;
10.04.2017;
11.04.2017;
12.04.2017;
13.04.2017;
14.04.2017;
15.04.2017;
16.04.2017;
17.04.2017;
18.04.2017;
19.04.2017;
20.04.2017;
21.04.2017;
22.04.2017;
23.04.2017;
24.04.2017;
25.04.2017;
26.04.2017;
27.04.2017;
28.04.2017;
29.04.2017;
30.04.2017;
1.05.2017;
2.05.2017;
3.05.2017;
4.05.2017;
5.05.2017;
6.05.2017;
7.05.2017;
8.05.2017;
9.05.2017;
10.05.2017;
11.05.2017;
12.05.2017;
13.05.2017;
14.05.2017;
15.05.2017;
16.05.2017;
17.05.2017;
18.05.2017;
19.05.2017;
20.05.2017;
21.05.2017;
22.05.2017;
23.05.2017;
24.05.2017;
25.05.2017;
26.05.2017;
27.05.2017;
28.05.2017;
29.05.2017;
30.05.2017;
31.05.2017;
1.06.2017;
2.06.2017;
3.06.2017;
4.06.2017;
5.06.2017;
6.06.2017;0.0191
7.06.2017;0.0184
8.06.2017;0.0166
9.06.2017;0.0153
10.06.2017;0.1673
11.06.2017;0.032
12.06.2017;0.0233
13.06.2017;0.0198
14.06.2017;0.0178
15.06.2017;0.0169
16.06.2017;0.0171
17.06.2017;0.0196
18.06.2017;0.0164
19.06.2017;0.015
20.06.2017;0.0144
21.06.2017;0.0139
22.06.2017;0.0135
23.06.2017;0.0138
24.06.2017;0.0132
25.06.2017;0.0177
26.06.2017;0.0148
27.06.2017;0.0121
28.06.2017;0.0114
29.06.2017;0.012
30.06.2017;0.0118
1.07.2017;0.0109
2.07.2017;0.0107
3.07.2017;0.0135
4.07.2017;0.012
5.07.2017;0.0107
6.07.2017;0.0102
7.07.2017;0.0099
8.07.2017;0.0103
9.07.2017;0.0116
10.07.2017;0.0301
11.07.2017;0.0125
12.07.2017;0.0196
13.07.2017;0.0732
14.07.2017;0.0161
15.07.2017;0.0213
16.07.2017;0.0264
17.07.2017;0.016
18.07.2017;0.0132
19.07.2017;0.0124
20.07.2017;0.0122
21.07.2017;0.0364
22.07.2017;0.0817
23.07.2017;0.0386
24.07.2017;0.3765
25.07.2017;0.1565
26.07.2017;0.0439
27.07.2017;0.4013
28.07.2017;0.1163
29.07.2017;0.0418
30.07.2017;0.1416
31.07.2017;0.1556
1.08.2017;0.0398
2.08.2017;0.0304
3.08.2017;0.0263
4.08.2017;0.0748
5.08.2017;0.2251
6.08.2017;0.3094
7.08.2017;0.3584
8.08.2017;0.0823
9.08.2017;0.0415
10.08.2017;0.0335
11.08.2017;0.0506
12.08.2017;0.0301
13.08.2017;0.0258
14.08.2017;0.0224
15.08.2017;0.0198
16.08.2017;0.0183
17.08.2017;0.0175
18.08.2017;0.0161
19.08.2017;0.1727
20.08.2017;0.3259
21.08.2017;0.0862
22.08.2017;0.0447
23.08.2017;0.0279
24.08.2017;0.0234
25.08.2017;0.0202
26.08.2017;0.0184
27.08.2017;0.017
28.08.2017;0.017
29.08.2017;0.0158
30.08.2017;0.0148
31.08.2017;0.0144
1.09.2017;0.0381
2.09.2017;0.0503
3.09.2017;0.3491
