Region;Alps
Country;France
#;45
Spring Name/Station Name;Gillardes
Literature;Rispal et al. (2026)
Lat;44.76
Lon;5.888
Elev (m);870
Recharge Area (km2);150
Start Date;2015
End Date;2019
Resolution;Daily
Data Source;SNO KARST (from Bruno Arfib)
Data License;Permission obtained by Bruno Arfib
Contact For License;
Spring ID;ALP_45_FR
Date;Discharge m^3/s
12.05.2015;8.947
13.05.2015;8.627
14.05.2015;8.521
15.05.2015;7.99
16.05.2015;5.98
17.05.2015;6.191
18.05.2015;6.823
19.05.2015;6.794
20.05.2015;5.46
21.05.2015;4.508
22.05.2015;3.816
23.05.2015;3.636
24.05.2015;3.76
25.05.2015;3.835
26.05.2015;4.13
27.05.2015;3.871
28.05.2015;4.108
29.05.2015;4.263
30.05.2015;4.358
31.05.2015;4.26
1.06.2015;3.894
2.06.2015;3.934
3.06.2015;4.243
4.06.2015;4.593
5.06.2015;5.087
6.06.2015;4.729
7.06.2015;6.942
8.06.2015;7.314
9.06.2015;9.811
10.06.2015;9.848
11.06.2015;7.064
12.06.2015;6.253
13.06.2015;20.602
14.06.2015;23.906
15.06.2015;22.529
16.06.2015;19.095
17.06.2015;16.935
18.06.2015;13.601
19.06.2015;11.014
20.06.2015;8.769
21.06.2015;6.796
22.06.2015;5.679
23.06.2015;4.894
24.06.2015;4.331
25.06.2015;3.841
26.06.2015;3.434
27.06.2015;3.212
28.06.2015;3.075
29.06.2015;2.858
30.06.2015;2.698
1.07.2015;2.602
2.07.2015;2.495
3.07.2015;2.39
4.07.2015;2.3
5.07.2015;2.223
6.07.2015;2.108
7.07.2015;2.034
8.07.2015;1.949
9.07.2015;1.837
10.07.2015;1.715
11.07.2015;1.649
12.07.2015;1.617
13.07.2015;1.556
14.07.2015;1.509
15.07.2015;1.453
16.07.2015;1.412
17.07.2015;1.371
18.07.2015;1.325
19.07.2015;1.295
20.07.2015;1.267
21.07.2015;1.276
22.07.2015;1.522
23.07.2015;2.219
24.07.2015;1.648
25.07.2015;1.58
26.07.2015;1.454
27.07.2015;1.353
28.07.2015;1.299
29.07.2015;1.245
30.07.2015;1.212
31.07.2015;1.168
1.08.2015;1.194
2.08.2015;1.58
3.08.2015;1.491
4.08.2015;1.387
5.08.2015;1.313
6.08.2015;1.244
7.08.2015;1.195
8.08.2015;1.147
9.08.2015;1.107
10.08.2015;1.195
11.08.2015;1.226
12.08.2015;1.173
13.08.2015;1.128
14.08.2015;1.109
15.08.2015;1.184
16.08.2015;1.273
17.08.2015;1.208
18.08.2015;1.142
19.08.2015;1.087
20.08.2015;1.045
21.08.2015;1.007
22.08.2015;0.98
23.08.2015;0.978
24.08.2015;1.846
25.08.2015;3.986
26.08.2015;3.104
27.08.2015;2.247
28.08.2015;1.804
29.08.2015;1.645
30.08.2015;1.525
31.08.2015;1.429
1.09.2015;1.338
2.09.2015;1.387
3.09.2015;1.278
4.09.2015;1.204
5.09.2015;1.146
6.09.2015;1.088
7.09.2015;1.043
8.09.2015;1.008
9.09.2015;0.982
10.09.2015;0.953
11.09.2015;0.927
12.09.2015;0.905
13.09.2015;1.615
14.09.2015;6.381
15.09.2015;4.717
16.09.2015;3.292
17.09.2015;6.244
18.09.2015;8.516
19.09.2015;5.193
20.09.2015;3.811
21.09.2015;2.891
