Region;Alps
Country;Slovenia
#;46
Spring Name/Station Name;Kamniška Bistrica
Literature;Kovacic (2003)
Lat;46.224
Lon;14.617
Elev (m);385
Recharge Area (km2);
Start Date;1970
End Date;2023
Resolution;Daily
Data Source;https://vode.arso.gov.si/hidarhiv/pov_arhiv_tab.php
Data License;Open data
Contact For License;Natasa Ravbar
Spring ID;ALP_46_SI
Date;Discharge m^3/s
1.01.1926;3.5
2.01.1926;3.5
3.01.1926;3.34
4.01.1926;3.26
5.01.1926;3.18
6.01.1926;3.02
7.01.1926;3.02
8.01.1926;2.86
9.01.1926;2.86
10.01.1926;2.7
11.01.1926;2.7
12.01.1926;2.65
13.01.1926;2.6
14.01.1926;2.55
15.01.1926;2.5
16.01.1926;2.5
17.01.1926;2.45
18.01.1926;2.45
19.01.1926;2.4
20.01.1926;2.4
21.01.1926;2.4
22.01.1926;2.35
23.01.1926;2.35
24.01.1926;2.3
25.01.1926;2.3
26.01.1926;2.3
27.01.1926;2.29
28.01.1926;2.29
29.01.1926;2.29
30.01.1926;2.2
31.01.1926;2.5
1.02.1926;3.1
2.02.1926;3.5
3.02.1926;4.4
4.02.1926;5.8
5.02.1926;5.8
6.02.1926;3.95
7.02.1926;3.5
8.02.1926;3.42
9.02.1926;3.34
10.02.1926;3.26
11.02.1926;3.1
12.02.1926;5.1
13.02.1926;5.1
14.02.1926;9
15.02.1926;5.1
16.02.1926;4.22
17.02.1926;3.95
18.02.1926;3.86
19.02.1926;3.5
20.02.1926;3.34
21.02.1926;3.1
22.02.1926;3.02
23.02.1926;2.86
24.02.1926;2.7
25.02.1926;2.65
26.02.1926;2.65
27.02.1926;2.6
28.02.1926;2.55
1.03.1926;2.55
2.03.1926;2.5
3.03.1926;2.5
4.03.1926;2.45
5.03.1926;2.4
6.03.1926;2.4
7.03.1926;2.4
8.03.1926;2.35
9.03.1926;2.3
10.03.1926;2.3
11.03.1926;2.4
12.03.1926;2.35
13.03.1926;2.3
14.03.1926;2.3
15.03.1926;2.3
16.03.1926;2.25
17.03.1926;2.25
18.03.1926;2.25
19.03.1926;2.2
20.03.1926;2.2
21.03.1926;2.2
22.03.1926;2.2
23.03.1926;2.15
24.03.1926;2.15
25.03.1926;2.15
26.03.1926;2.15
27.03.1926;2.2
28.03.1926;2.45
29.03.1926;2.7
30.03.1926;3.5
31.03.1926;3.5
1.04.1926;3.26
2.04.1926;3.34
3.04.1926;3.34
4.04.1926;3.26
5.04.1926;3.1
6.04.1926;3.1
7.04.1926;3.1
8.04.1926;3.1
9.04.1926;7.4
10.04.1926;4.4
11.04.1926;3.95
12.04.1926;3.5
13.04.1926;3.34
14.04.1926;3.1
15.04.1926;2.94
16.04.1926;2.86
17.04.1926;3.5
18.04.1926;2.94
19.04.1926;2.94
20.04.1926;5.8
21.04.1926;4.4
22.04.1926;11.2
23.04.1926;5.8
24.04.1926;7.4
25.04.1926;7.4
26.04.1926;7.4
27.04.1926;9
28.04.1926;5.8
29.04.1926;5.1
30.04.1926;4.68
1.05.1926;4.96
