Region;Apennines
Country;Italy
#;1
Spring Name/Station Name;Castelsantangelo
Literature;
Lat;42.894
Lon;13.157
Elev (m);738
Recharge Area (km2);
Start Date;1.01.2009
End Date;17.03.2026
Resolution;Daily
Data Source;http://app.protezionecivile.marche.it/sol/contatti.sol?lang=it
Data License;CC BY NC
Contact For License;Christian Massari, Marco Dionigi
Spring ID;APE_01_IT
Date;Discharge m^3/s
1.01.2009;1.499748
2.01.2009;1.491963
3.01.2009;1.502345
4.01.2009;1.485897
5.01.2009;1.472932
6.01.2009;1.47811
7.01.2009;1.491957
8.01.2009;1.48936
9.01.2009;1.485032
10.01.2009;
11.01.2009;
12.01.2009;1.472066
13.01.2009;1.479838
14.01.2009;1.479838
15.01.2009;1.479838
16.01.2009;1.469475
17.01.2009;1.466898
18.01.2009;1.478975
19.01.2009;1.472928
20.01.2009;1.478975
21.01.2009;1.479838
22.01.2009;1.479841
23.01.2009;1.469482
24.01.2009;1.491957
25.01.2009;1.493688
26.01.2009;1.496288
27.01.2009;1.493698
28.01.2009;1.486766
29.01.2009;1.479838
30.01.2009;1.472932
31.01.2009;1.472935
1.02.2009;1.476375
2.02.2009;1.484166
3.02.2009;1.485032
4.02.2009;1.482435
5.02.2009;1.478129
6.02.2009;
7.02.2009;1.482435
8.02.2009;1.478975
9.02.2009;1.486763
10.02.2009;1.514464
11.02.2009;1.506673
12.02.2009;1.506673
13.02.2009;1.491098
14.02.2009;1.499748
15.02.2009;1.483313
16.02.2009;1.471207
17.02.2009;1.482444
18.02.2009;1.498017
19.02.2009;1.485035
20.02.2009;1.48071
21.02.2009;1.472932
22.02.2009;1.479844
23.02.2009;1.472076
24.02.2009;1.492823
25.02.2009;1.494557
26.02.2009;
27.02.2009;
28.02.2009;
1.03.2009;1.498017
2.03.2009;1.501479
3.03.2009;1.506673
4.03.2009;1.504076
5.03.2009;1.50927
6.03.2009;1.50668
7.03.2009;1.50927
8.03.2009;1.488517
9.03.2009;1.511867
10.03.2009;1.48853
11.03.2009;1.513598
12.03.2009;1.491107
13.03.2009;1.481598
14.03.2009;1.48332
15.03.2009;1.496317
16.03.2009;1.503211
17.03.2009;1.491992
18.03.2009;1.489366
19.03.2009;1.513598
20.03.2009;1.517927
21.03.2009;1.517927
22.03.2009;1.504083
23.03.2009;1.485923
24.03.2009;1.513598
25.03.2009;1.500636
26.03.2009;1.499777
27.03.2009;1.508408
28.03.2009;1.508411
29.03.2009;1.516195
30.03.2009;1.509283
31.03.2009;1.517927
1.04.2009;1.517061
2.04.2009;1.50668
3.04.2009;1.509283
4.04.2009;1.511008
5.04.2009;1.509283
6.04.2009;1.511011
7.04.2009;1.510145
8.04.2009;1.51448
9.04.2009;1.512752
10.04.2009;1.519671
11.04.2009;1.531827
12.04.2009;1.551813
