Region;Apennines
Country;Italy
#;5
Spring Name/Station Name;Scirca
Literature;Fronzi et al. (2024)
Lat;43.354
Lon;12.73
Elev (m);590
Recharge Area (km2);
Start Date;11.04.2007
End Date;20.11.2024
Resolution;Daily
Data Source;https://apps.arpa.umbria.it/acqua/contenuto/portata-delle-Sorgenti
Data License;CC BY4.0
Contact For License;Davide Fronzi
Spring ID;APE_05_IT
Date;Discharge m^3/s
11.04.2007;0.304
12.04.2007;0.30029
13.04.2007;0.30118
14.04.2007;0.29442
15.04.2007;0.29048
16.04.2007;0.28574
17.04.2007;0.27947
18.04.2007;0.27431
19.04.2007;0.26922
20.04.2007;0.26401
21.04.2007;0.25874
22.04.2007;0.25477
23.04.2007;0.24733
24.04.2007;0.24473
25.04.2007;0.2409
26.04.2007;0.23593
27.04.2007;0.23017
28.04.2007;0.22843
29.04.2007;0.22579
30.04.2007;0.21654
1.05.2007;0.21078
2.05.2007;0.21349
3.05.2007;0.2132
4.05.2007;0.2105
5.05.2007;0.20945
6.05.2007;0.20884
7.05.2007;0.20109
8.05.2007;0.1982
9.05.2007;0.19925
10.05.2007;0.19524
11.05.2007;0.19287
12.05.2007;0.18972
13.05.2007;0.18596
14.05.2007;0.18758
15.05.2007;0.18352
16.05.2007;0.18304
17.05.2007;0.17993
18.05.2007;0.17589
19.05.2007;0.17407
20.05.2007;0.17325
21.05.2007;0.17167
22.05.2007;0.16625
23.05.2007;0.16603
24.05.2007;0.16619
25.05.2007;0.16461
26.05.2007;0.159
27.05.2007;0.16108
28.05.2007;0.15965
29.05.2007;0.15393
30.05.2007;0.15571
31.05.2007;0.15489
1.06.2007;0.15524
2.06.2007;0.14741
3.06.2007;0.14687
4.06.2007;0.14728
5.06.2007;0.14784
6.06.2007;0.14774
7.06.2007;0.14451
8.06.2007;0.14153
9.06.2007;0.14118
10.06.2007;0.14108
11.06.2007;0.13893
12.06.2007;0.13574
13.06.2007;0.13454
14.06.2007;0.13019
15.06.2007;0.13089
16.06.2007;0.12791
17.06.2007;0.12658
18.06.2007;0.12599
19.06.2007;0.12442
20.06.2007;0.1235
21.06.2007;0.12154
22.06.2007;0.1211
23.06.2007;0.1202
24.06.2007;0.11544
25.06.2007;0.11723
26.06.2007;0.11316
27.06.2007;0.10497
28.06.2007;0.10455
29.06.2007;0.10587
30.06.2007;0.10507
1.07.2007;0.10486
2.07.2007;0.10507
3.07.2007;0.1054
4.07.2007;0.10612
5.07.2007;0.10056
6.07.2007;0.0963
7.07.2007;0.09632
8.07.2007;0.09675
9.07.2007;0.09704
10.07.2007;0.09769
11.07.2007;0.09151
12.07.2007;0.09054
13.07.2007;0.09036
14.07.2007;0.08944
15.07.2007;0.08957
16.07.2007;0.08924
17.07.2007;0.08812
18.07.2007;0.08308
19.07.2007;0.08237
20.07.2007;0.08211
21.07.2007;0.08098
22.07.2007;0.08074
23.07.2007;0.08009
24.07.2007;0.08038
25.07.2007;0.07943
26.07.2007;0.07849
27.07.2007;0.07775
28.07.2007;0.07726
29.07.2007;0.07677
30.07.2007;0.07389
31.07.2007;0.07141
1.08.2007;0.07082
2.08.2007;0.07006
3.08.2007;0.06934
4.08.2007;0.06855
5.08.2007;0.06831
6.08.2007;0.06824
7.08.2007;0.06819
8.08.2007;0.06741
9.08.2007;0.06714
10.08.2007;0.06648
11.08.2007;0.06623
12.08.2007;0.06565
13.08.2007;0.06515
14.08.2007;0.06488
15.08.2007;0.06454
16.08.2007;0.06459
17.08.2007;0.06388
18.08.2007;0.06369
19.08.2007;0.06333
20.08.2007;0.06259
21.08.2007;0.06205
22.08.2007;0.06007
23.08.2007;0.05929
24.08.2007;0.059
25.08.2007;0.05882
26.08.2007;0.05859
27.08.2007;0.05883
28.08.2007;0.05892
29.08.2007;0.05877
30.08.2007;0.05898
31.08.2007;0.05837
1.09.2007;0.05778
2.09.2007;0.05738
3.09.2007;0.0575
4.09.2007;0.05747
5.09.2007;0.05683
6.09.2007;0.05657
7.09.2007;0.05669
8.09.2007;0.0566
9.09.2007;0.05652
10.09.2007;0.05619
11.09.2007;0.05603
12.09.2007;0.05502
13.09.2007;0.05461
14.09.2007;0.05444
15.09.2007;0.05352
16.09.2007;0.05332
17.09.2007;0.05322
18.09.2007;0.05368
19.09.2007;0.05531
20.09.2007;0.05502
21.09.2007;0.05471
22.09.2007;0.05452
23.09.2007;0.05437
24.09.2007;0.05454
25.09.2007;0.05479
26.09.2007;0.05457
27.09.2007;0.05417
28.09.2007;0.05601
29.09.2007;0.05992
30.09.2007;0.05985
1.10.2007;0.06009
2.10.2007;0.06008
3.10.2007;0.05985
4.10.2007;0.05872
5.10.2007;0.05737
6.10.2007;0.0574
7.10.2007;0.05789
8.10.2007;0.05862
9.10.2007;0.05909
10.10.2007;0.05943
11.10.2007;0.05843
12.10.2007;0.05854
13.10.2007;0.0582
14.10.2007;0.05739
15.10.2007;0.05688
16.10.2007;0.05621
17.10.2007;0.05594
18.10.2007;0.05587
19.10.2007;0.05526
20.10.2007;0.05463
21.10.2007;0.05502
22.10.2007;0.05628
23.10.2007;0.05828
24.10.2007;0.0672
25.10.2007;0.08841
26.10.2007;0.1307
27.10.2007;0.14192
28.10.2007;0.1453
29.10.2007;0.14157
30.10.2007;0.13735
31.10.2007;0.15372
1.11.2007;0.17779
2.11.2007;0.18791
3.11.2007;0.18502
4.11.2007;0.18111
5.11.2007;0.17673
6.11.2007;0.17377
7.11.2007;0.17063
8.11.2007;0.16767
9.11.2007;0.1654
10.11.2007;0.1627
11.11.2007;0.16029
12.11.2007;0.15853
13.11.2007;0.15659
14.11.2007;0.15603
15.11.2007;0.15526
16.11.2007;0.15392
17.11.2007;0.15218
18.11.2007;0.1506
19.11.2007;0.14839
20.11.2007;0.1461
21.11.2007;0.14744
22.11.2007;0.15344
23.11.2007;0.16645
24.11.2007;0.17192
25.11.2007;0.177
26.11.2007;0.18046
27.11.2007;0.18089
28.11.2007;0.17917
29.11.2007;0.17733
30.11.2007;0.17526
1.12.2007;0.17325
2.12.2007;0.17185
3.12.2007;0.17165
4.12.2007;0.16952
5.12.2007;0.16643
6.12.2007;0.16549
7.12.2007;0.16469
8.12.2007;0.17972
9.12.2007;0.20311
10.12.2007;0.20905
11.12.2007;0.21097
12.12.2007;0.20919
13.12.2007;0.21563
14.12.2007;0.21326
15.12.2007;0.20881
16.12.2007;0.2053
17.12.2007;0.20229
18.12.2007;0.19965
19.12.2007;0.19815
20.12.2007;0.19805
21.12.2007;0.19899
22.12.2007;0.20036
23.12.2007;0.20131
24.12.2007;0.20548
25.12.2007;0.21106
26.12.2007;0.21097
27.12.2007;0.20772
28.12.2007;0.205
29.12.2007;0.20332
30.12.2007;0.20247
31.12.2007;0.20075
1.01.2008;0.19967
2.01.2008;0.19827
3.01.2008;0.1967
4.01.2008;0.19494
5.01.2008;0.19404
6.01.2008;0.22431
7.01.2008;0.29647
8.01.2008;0.30786
9.01.2008;0.30489
10.01.2008;0.30983
11.01.2008;0.33265
12.01.2008;0.34797
13.01.2008;0.3613
14.01.2008;0.35452
15.01.2008;0.34485
16.01.2008;0.33528
17.01.2008;0.32879
18.01.2008;0.32482
19.01.2008;0.32022
20.01.2008;0.3153
21.01.2008;0.31107
22.01.2008;0.30783
23.01.2008;0.30387
24.01.2008;0.29826
25.01.2008;0.29191
26.01.2008;0.28603
27.01.2008;0.28169
28.01.2008;0.2767
29.01.2008;0.27148
30.01.2008;0.26814
31.01.2008;0.26584
1.02.2008;0.26183
2.02.2008;0.26564
3.02.2008;0.27701
4.02.2008;0.2923
5.02.2008;0.33202
6.02.2008;0.32168
7.02.2008;0.31392
8.02.2008;0.30737
9.02.2008;0.30153
10.02.2008;0.29628
11.02.2008;0.29197
12.02.2008;0.28837
13.02.2008;0.28506
14.02.2008;0.28095
15.02.2008;0.27648
16.02.2008;0.27055
17.02.2008;0.26274
18.02.2008;0.25642
19.02.2008;0.25216
20.02.2008;0.24743
21.02.2008;0.24281
22.02.2008;0.23851
23.02.2008;0.23454
24.02.2008;0.23128
25.02.2008;0.22755
26.02.2008;0.22492
27.02.2008;0.22288
28.02.2008;0.22165
29.02.2008;0.22012
1.03.2008;0.21803
2.03.2008;0.21782
3.03.2008;0.21714
4.03.2008;0.2168
5.03.2008;0.21611
6.03.2008;0.21534
7.03.2008;0.25623
8.03.2008;0.27349
9.03.2008;0.27514
10.03.2008;0.2857
11.03.2008;0.30749
12.03.2008;0.33017
13.03.2008;0.35188
14.03.2008;0.35523
15.03.2008;0.35242
16.03.2008;0.34756
17.03.2008;0.34208
18.03.2008;0.33542
19.03.2008;0.3334
20.03.2008;0.33087
21.03.2008;0.3291
22.03.2008;0.34301
23.03.2008;0.37097
24.03.2008;0.37642
25.03.2008;0.36118
26.03.2008;0.35592
27.03.2008;0.3623
28.03.2008;0.37636
29.03.2008;0.38212
30.03.2008;0.37843
31.03.2008;0.37243
1.04.2008;0.37128
2.04.2008;0.36677
3.04.2008;0.36123
4.04.2008;0.3802
5.04.2008;0.38029
6.04.2008;0.37853
7.04.2008;0.38013
8.04.2008;0.38225
9.04.2008;0.42771
10.04.2008;0.41099
11.04.2008;0.40418
12.04.2008;0.39266
13.04.2008;0.38727
14.04.2008;0.38446
15.04.2008;0.37945
16.04.2008;0.37251
17.04.2008;0.36661
18.04.2008;0.36348
19.04.2008;0.3679
20.04.2008;0.36699
21.04.2008;0.36008
22.04.2008;0.35471
23.04.2008;0.35624
