Region;Apennines
Country;Italy
#;7
Spring Name/Station Name;Boschetto
Literature;Tamburini and Menichetti (2020)
Lat;43.19
Lon;12.804
Elev (m);700
Recharge Area (km2);
Start Date;3.04.2007
End Date;18.09.2024
Resolution;Daily
Data Source;https://apps.arpa.umbria.it/acqua/contenuto/portata-delle-Sorgenti
Data License;CC BY4.0
Contact For License;
Spring ID;APE_07_IT
Date;Discharge m^3/s
3.04.2007;0.25853
4.04.2007;0.24865
5.04.2007;0.27502
6.04.2007;0.27542
7.04.2007;0.26007
8.04.2007;0.24774
9.04.2007;0.23668
10.04.2007;0.2281
11.04.2007;0.22062
12.04.2007;0.21372
13.04.2007;0.20824
14.04.2007;0.20286
15.04.2007;0.19729
16.04.2007;0.19288
17.04.2007;0.18817
18.04.2007;0.18304
19.04.2007;0.17848
20.04.2007;0.1743
21.04.2007;0.16925
22.04.2007;0.16455
23.04.2007;0.16027
24.04.2007;0.1569
25.04.2007;0.15402
26.04.2007;0.15048
27.04.2007;0.14673
28.04.2007;0.14375
29.04.2007;0.14093
30.04.2007;0.13883
1.05.2007;0.1367
2.05.2007;0.13444
3.05.2007;0.13266
4.05.2007;0.13115
5.05.2007;0.12869
6.05.2007;0.12662
7.05.2007;0.12359
8.05.2007;0.12145
9.05.2007;0.11951
10.05.2007;0.11752
11.05.2007;0.11559
12.05.2007;0.11387
13.05.2007;0.11195
14.05.2007;0.11043
15.05.2007;0.10943
16.05.2007;0.10804
17.05.2007;0.10692
18.05.2007;0.10515
19.05.2007;0.10342
20.05.2007;0.10196
21.05.2007;0.10042
22.05.2007;0.09886
23.05.2007;0.09763
24.05.2007;0.09631
25.05.2007;0.09544
26.05.2007;0.09431
27.05.2007;0.09392
28.05.2007;0.09381
29.05.2007;0.09382
30.05.2007;0.0951
31.05.2007;0.09343
1.06.2007;0.09263
2.06.2007;0.09246
3.06.2007;0.09257
4.06.2007;0.09179
5.06.2007;0.09127
6.06.2007;0.0906
7.06.2007;0.08922
8.06.2007;0.08798
9.06.2007;0.08651
10.06.2007;0.08497
11.06.2007;0.08391
12.06.2007;0.08106
13.06.2007;0.07593
14.06.2007;0.0748
15.06.2007;0.07394
16.06.2007;0.0728
17.06.2007;0.07195
18.06.2007;0.07098
19.06.2007;0.06975
20.06.2007;0.06833
21.06.2007;0.06667
22.06.2007;0.06593
23.06.2007;0.06506
24.06.2007;0.06477
25.06.2007;0.06421
26.06.2007;0.06386
27.06.2007;0.06338
28.06.2007;0.06253
29.06.2007;0.0616
30.06.2007;0.05997
1.07.2007;0.05926
2.07.2007;0.05915
