Region;Atlas
Country;Morocco
#;2
Spring Name/Station Name;Ras El Ma (Taza)
Literature;"Akdim (2015); Naoura et al. (2021)"
Lat;34.15
Lon;-4.04
Elev (m);960
Recharge Area (km2);
Start Date;1.03.1989
End Date;28.08.2020
Resolution;Monthly
Data Source;Brahim Akdim
Data License;Open data
Contact For License;Brahim Akdim
Spring ID;ATL_02_MA
Date;Discharge m^3/s
1.03.1989;0.26639
22.03.1989;0.31762
12.04.1989;0.28083
3.05.1989;0.25102
25.05.1989;0.25102
15.06.1989;0.24761
6.07.1989;0.20492
27.07.1989;0.1209
18.08.1989;0.09953
8.09.1989;0.0666
29.09.1989;0.04611
20.10.1989;0.05123
11.11.1989;0.05635
2.12.1989;0.07172
23.12.1989;0.26358
13.01.1990;0.26552
4.02.1990;0.2459
25.02.1990;0.21755
18.03.1990;0.26786
8.04.1990;0.25191
30.04.1990;0.30738
21.05.1990;0.38764
11.06.1990;0.29821
2.07.1990;0.23053
24.07.1990;0.17873
14.08.1990;0.10118
4.09.1990;0.07172
25.09.1990;0.06148
17.10.1990;0.05635
7.11.1990;0.04611
28.11.1990;0.17589
19.12.1990;0.31679
10.01.1991;1.27536
31.01.1991;1.34194
21.02.1991;0.5931
14.03.1991;0.33299
5.04.1991;0.38652
26.04.1991;0.4918
17.05.1991;0.45302
8.06.1991;0.35989
29.06.1991;0.275
20.07.1991;0.14857
10.08.1991;0.12295
1.09.1991;0.06148
22.09.1991;0.05635
13.10.1991;0.05123
3.11.1991;0.07172
25.11.1991;0.07684
16.12.1991;0.07172
6.01.1992;0.07172
27.01.1992;0.07172
18.02.1992;0.0666
10.03.1992;0.07172
31.03.1992;0.09093
21.04.1992;0.13535
13.05.1992;0.13832
3.06.1992;0.18955
24.06.1992;0.18186
15.07.1992;0.18256
6.08.1992;0.16906
27.08.1992;0.1332
17.09.1992;0.0666
8.10.1992;0.05123
30.10.1992;0.08197
20.11.1992;0.08563
11.12.1992;0.07684
1.01.1993;0.04098
23.01.1993;0.04098
13.02.1993;0.05635
6.03.1993;0.1644
27.03.1993;0.24078
18.04.1993;0.27982
9.05.1993;0.23736
30.05.1993;0.1998
21.06.1993;0.18443
12.07.1993;0.15605
2.08.1993;0.08709
23.08.1993;0.07172
14.09.1993;0.05635
5.10.1993;0.05635
26.10.1993;0.06148
16.11.1993;0.17418
8.12.1993;0.4457
29.12.1993;0.50562
19.01.1994;0.4416
9.02.1994;0.33388
3.03.1994;0.49244
24.03.1994;0.49565
14.04.1994;0.34603
5.05.1994;0.22541
27.05.1994;0.18364
17.06.1994;0.14216
8.07.1994;0.09734
29.07.1994;0.07172
20.08.1994;0.05635
10.09.1994;0.04611
1.10.1994;0.04098
22.10.1994;0.05123
13.11.1994;0.06148
4.12.1994;0.06148
25.12.1994;0.06148
15.01.1995;0.05635
6.02.1995;0.05635
27.02.1995;0.07343
20.03.1995;0.14344
10.04.1995;0.14652
2.05.1995;0.14344
23.05.1995;0.05635
13.06.1995;0.04611
5.07.1995;0.04611
26.07.1995;0.04611
16.08.1995;0.04098
6.09.1995;0.04098
28.09.1995;0.03586
19.10.1995;0.03586
9.11.1995;0.03074
30.11.1995;0.02561
22.12.1995;0.04611
12.01.1996;0.14003
2.02.1996;0.30648
23.02.1996;0.29713
16.03.1996;0.21102
6.04.1996;0.35092
27.04.1996;0.38422
18.05.1996;0.35954
9.06.1996;0.33811
30.06.1996;0.27971
21.07.1996;0.18841
11.08.1996;0.15076
2.09.1996;0.11014
23.09.1996;0.08197
14.10.1996;0.08197
4.11.1996;0.07172
26.11.1996;0.06148
17.12.1996;0.17092
7.01.1997;0.29713
28.01.1997;0.39008
19.02.1997;0.45594
12.03.1997;0.35348
2.04.1997;0.29201
23.04.1997;0.22248
15.05.1997;0.16906
5.06.1997;0.13612
26.06.1997;0.10758
17.07.1997;0.08197
8.08.1997;0.07684
29.08.1997;0.06352
19.09.1997;0.05635
11.10.1997;0.07465
1.11.1997;0.07684
22.11.1997;0.08197
13.12.1997;0.09016
4.01.1998;0.11783
25.01.1998;0.10758
15.02.1998;0.10246
8.03.1998;0.10246
30.03.1998;0.09734
20.04.1998;0.09221
11.05.1998;0.08709
1.06.1998;0.08197
23.06.1998;0.07684
14.07.1998;0.07172
4.08.1998;0.0666
25.08.1998;0.06148
16.09.1998;0.05123
7.10.1998;0.05123
28.10.1998;0.05123
18.11.1998;0.05123
10.12.1998;0.05635
31.12.1998;0.06148
21.01.1999;0.09563
11.02.1999;0.10246
5.03.1999;0.1467
26.03.1999;0.2028
16.04.1999;0.22418
7.05.1999;0.14857
29.05.1999;0.10502
19.06.1999;0.08197
10.07.1999;0.0666
31.07.1999;0.06148
22.08.1999;0.05635
12.09.1999;0.05123
3.10.1999;0.05123
25.10.1999;0.04611
15.11.1999;0.05123
6.12.1999;0.13832
27.12.1999;0.14344
18.01.2000;0.14857
8.02.2000;0.16247
29.02.2000;0.12295
21.03.2000;0.11783
12.04.2000;0.1127
3.05.2000;0.1127
24.05.2000;0.10758
14.06.2000;0.10246
6.07.2000;0.10246
27.07.2000;0.10246
17.08.2000;0.09734
7.09.2000;0.09734
29.09.2000;0.09221
20.10.2000;0.09221
10.11.2000;0.09221
1.12.2000;0.08709
23.12.2000;0.08709
13.01.2001;0.08709
3.02.2001;0.08197
24.02.2001;0.08197
18.03.2001;0.07684
8.04.2001;0.07684
29.04.2001;0.07684
20.05.2001;0.07172
11.06.2001;0.07172
2.07.2001;0.07172
23.07.2001;0.07172
13.08.2001;0.0666
4.09.2001;0.06148
25.09.2001;0.05635
