Region;Betics
Country;Spain
#;4
Spring Name/Station Name;Natividad
Literature;Jódar et al. (2024). https://doi.org/10.1016/j.scitotenv.2025.179719
Lat;37.89237222
Lon;-2.675641667
Elev (m);1090
Recharge Area (km2);45
Start Date;19.10.2019
End Date;30.09.2022
Resolution;Daily
Data Source;Jódar et al. (2024). https://doi.org/10.1016/j.scitotenv.2025.179719
Data License;CC BY 4.0
Contact For License;Jorge Jódar provided the data
Spring ID;BET_04_ES
Date;Discharge m^3/s
19.10.2019;0.185639
20.10.2019;0.191955
21.10.2019;0.184937
22.10.2019;0.191077
23.10.2019;0.191077
24.10.2019;0.188446
25.10.2019;0.179673
26.10.2019;0.173533
27.10.2019;0.179673
28.10.2019;0.177042
29.10.2019;0.178796
30.10.2019;0.176164
31.10.2019;0.173533
1.11.2019;0.175287
2.11.2019;0.191955
3.11.2019;0.213597
4.11.2019;0.212656
5.11.2019;0.209833
6.11.2019;0.214538
7.11.2019;0.214538
8.11.2019;0.207951
9.11.2019;0.191955
10.11.2019;0.200424
11.11.2019;0.214538
12.11.2019;0.22259
13.11.2019;0.232654
14.11.2019;0.280201
15.11.2019;0.463428
16.11.2019;0.475662
17.11.2019;0.483165
18.11.2019;1.92259
19.11.2019;1.581155
20.11.2019;0.899225
21.11.2019;0.717344
22.11.2019;1.543478
23.11.2019;3.211129
24.11.2019;2.177083
25.11.2019;1.612718
26.11.2019;1.433207
27.11.2019;1.206946
28.11.2019;0.971522
29.11.2019;0.809024
30.11.2019;0.715604
1.12.2019;0.645847
2.12.2019;0.568356
3.12.2019;0.508133
4.12.2019;0.474075
5.12.2019;0.439926
6.12.2019;0.41879
7.12.2019;0.391562
8.12.2019;0.36131
9.12.2019;0.351803
10.12.2019;0.337673
11.12.2019;0.320974
12.12.2019;0.316124
13.12.2019;0.314911
14.12.2019;0.291872
15.12.2019;0.291872
16.12.2019;0.291872
17.12.2019;0.28616
18.12.2019;0.264457
19.12.2019;0.264457
20.12.2019;2.339102
21.12.2019;9.612614
22.12.2019;8.722397
23.12.2019;5.021951
24.12.2019;2.414544
25.12.2019;1.634428
26.12.2019;1.515832
27.12.2019;1.395436
28.12.2019;1.263256
29.12.2019;1.15844
30.12.2019;1.069617
31.12.2019;0.977839
1.01.2020;0.886116
2.01.2020;0.826692
3.01.2020;0.787005
4.01.2020;0.754733
5.01.2020;0.705083
6.01.2020;0.670995
7.01.2020;0.620956
8.01.2020;0.591579
9.01.2020;0.569857
10.01.2020;0.538387
11.01.2020;0.519804
12.01.2020;0.494795
13.01.2020;0.489952
14.01.2020;0.462961
15.01.2020;0.455022
16.01.2020;0.442945
17.01.2020;0.4203
18.01.2020;0.41879
19.01.2020;0.41879
20.01.2020;0.41879
21.01.2020;0.41879
22.01.2020;0.41879
23.01.2020;0.42181
24.01.2020;0.41879
25.01.2020;0.429358
26.01.2020;0.461373
27.01.2020;0.518137
28.01.2020;0.533142
29.01.2020;0.533142
30.01.2020;0.536639
31.01.2020;0.531475
1.02.2020;0.514802
2.02.2020;0.496462
3.02.2020;0.478838
4.02.2020;0.455022
5.02.2020;0.455022
6.02.2020;0.455022
7.02.2020;0.448983
8.02.2020;0.42181
9.02.2020;0.41879
10.02.2020;0.413058
11.02.2020;0.390129
12.02.2020;0.384396
13.02.2020;0.38583
14.02.2020;0.383038
15.02.2020;0.362668
16.02.2020;0.351803
17.02.2020;0.351803
18.02.2020;0.351803
19.02.2020;0.349234
20.02.2020;0.342812
21.02.2020;0.336389
22.02.2020;0.324828
23.02.2020;0.320974
24.02.2020;0.320974
25.02.2020;0.320974
26.02.2020;0.320974
27.02.2020;0.320974
28.02.2020;0.320974
29.02.2020;0.317337
1.03.2020;0.316124
2.03.2020;0.312486
3.03.2020;0.313699
4.03.2020;0.318549
5.03.2020;0.30036
6.03.2020;0.29551
7.03.2020;0.303998
8.03.2020;0.291872
9.03.2020;0.291872
10.03.2020;0.291872
11.03.2020;0.291872
12.03.2020;0.295727
13.03.2020;0.291872
14.03.2020;0.291872
15.03.2020;0.291872
16.03.2020;0.291872
17.03.2020;0.291872
18.03.2020;0.291872
19.03.2020;0.293084
20.03.2020;0.291872
21.03.2020;0.289587
22.03.2020;0.29073
23.03.2020;0.291872
24.03.2020;0.30036
25.03.2020;0.398115
26.03.2020;0.4203
27.03.2020;0.40016
28.03.2020;0.390129
29.03.2020;0.541842
30.03.2020;1.129938
31.03.2020;0.905974
1.04.2020;1.267662
2.04.2020;1.754708
3.04.2020;1.487765
4.04.2020;1.361409
5.04.2020;1.21758
6.04.2020;1.038932
7.04.2020;0.886116
8.04.2020;0.819898
9.04.2020;0.733865
10.04.2020;0.680995
11.04.2020;0.6267
12.04.2020;0.587917
13.04.2020;0.554122
14.04.2020;0.533142
15.04.2020;0.614634
16.04.2020;0.66308
17.04.2020;0.682995
18.04.2020;0.712996
19.04.2020;0.696996
20.04.2020;0.655421
21.04.2020;0.61721
22.04.2020;0.578763
23.04.2020;0.593578
24.04.2020;0.71343
25.04.2020;0.76308
26.04.2020;0.727604
27.04.2020;0.880793
28.04.2020;2.004719
29.04.2020;1.648623
30.04.2020;1.362016
1.05.2020;1.189277
2.05.2020;1.031212
3.05.2020;0.919092
4.05.2020;0.856041
5.05.2020;0.782655
6.05.2020;0.715083
7.05.2020;0.663421
8.05.2020;0.608056
9.05.2020;0.576933
10.05.2020;0.54538
11.05.2020;0.533142
12.05.2020;0.514802
13.05.2020;0.503131
14.05.2020;0.586499
15.05.2020;0.619041
16.05.2020;0.619041
17.05.2020;0.619041
18.05.2020;0.61721
19.05.2020;0.66308
20.05.2020;0.664995
21.05.2020;0.619041
22.05.2020;0.582425
23.05.2020;0.540136
24.05.2020;0.5098
25.05.2020;0.493127
26.05.2020;0.486776
27.05.2020;0.459785
28.05.2020;0.455022
29.05.2020;0.450493
30.05.2020;0.435397
31.05.2020;0.424829
1.06.2020;0.41879
2.06.2020;0.41879
3.06.2020;0.41879
4.06.2020;0.401593
5.06.2020;0.391562
6.06.2020;0.384396
7.06.2020;0.384396
8.06.2020;0.384396
9.06.2020;0.384396
10.06.2020;0.384396
11.06.2020;0.384396
12.06.2020;0.384396
13.06.2020;0.364026
14.06.2020;0.351803
15.06.2020;0.351803
16.06.2020;0.346665
17.06.2020;0.341527
18.06.2020;0.345381
19.06.2020;0.342812
20.06.2020;0.33382
21.06.2020;0.322259
22.06.2020;0.320974
23.06.2020;0.320974
