Region;Carpathians
Country;Slovakia
#;1
Spring Name/Station Name;Vrabec 2 / Dolná Lehota
Literature;Yes
Lat;48.86
Lon;19.527
Elev (m);600
Recharge Area (km2);
Start Date;1.11.2015
End Date;31.10.2024
Resolution;Daily
Data Source;https://www.shmu.sk/sk/?page=2649
Data License;Open data, Slovakian law free access
Contact For License;Peter Malik provided the data
Spring ID;CAR_01_SK
Date;Discharge m^3/s
1.11.2015;0.02744
2.11.2015;0.02674
3.11.2015;0.02619
4.11.2015;0.02583
5.11.2015;0.02583
6.11.2015;0.02546
7.11.2015;0.02546
8.11.2015;0.02587
9.11.2015;0.02587
10.11.2015;0.02638
11.11.2015;0.02672
12.11.2015;0.02623
13.11.2015;0.02539
14.11.2015;0.02581
15.11.2015;0.02594
16.11.2015;0.02757
17.11.2015;0.02676
18.11.2015;0.02742
19.11.2015;0.02725
20.11.2015;0.03516
21.11.2015;0.03641
22.11.2015;0.03445
23.11.2015;0.03353
24.11.2015;0.03165
25.11.2015;0.03029
26.11.2015;0.02994
27.11.2015;0.02994
28.11.2015;0.02933
29.11.2015;0.02863
30.11.2015;0.02913
1.12.2015;0.03082
2.12.2015;0.0306
3.12.2015;0.0302
4.12.2015;0.02957
5.12.2015;0.02943
6.12.2015;0.02895
7.12.2015;0.02852
8.12.2015;0.02854
9.12.2015;0.02841
10.12.2015;0.02817
11.12.2015;0.02738
12.12.2015;0.02684
13.12.2015;0.02653
14.12.2015;0.0264
15.12.2015;0.02525
16.12.2015;0.02446
17.12.2015;0.02413
18.12.2015;0.02395
19.12.2015;0.02434
20.12.2015;0.02434
21.12.2015;0.02391
22.12.2015;0.02389
23.12.2015;0.02504
24.12.2015;0.02533
25.12.2015;0.02533
26.12.2015;0.02554
27.12.2015;0.02587
28.12.2015;0.02596
29.12.2015;0.02558
30.12.2015;0.02371
31.12.2015;0.02158
1.01.2016;0.02321
2.01.2016;0.0258
3.01.2016;0.02725
4.01.2016;0.02805
5.01.2016;0.03079
6.01.2016;0.03337
7.01.2016;0.03311
8.01.2016;0.03049
9.01.2016;0.03016
10.01.2016;0.03123
11.01.2016;0.0348
12.01.2016;0.04442
13.01.2016;0.03434
14.01.2016;0.03242
15.01.2016;0.03161
16.01.2016;0.03049
17.01.2016;0.02915
18.01.2016;0.02846
19.01.2016;0.02917
20.01.2016;0.03025
21.01.2016;0.03042
22.01.2016;0.02928
23.01.2016;0.02933
24.01.2016;0.03069
25.01.2016;0.03179
26.01.2016;0.03264
27.01.2016;0.03285
28.01.2016;0.03383
29.01.2016;0.03385
30.01.2016;0.03276
31.01.2016;0.03344
1.02.2016;0.03342
2.02.2016;0.03753
3.02.2016;0.03615
4.02.2016;0.03471
5.02.2016;0.03417
6.02.2016;0.03353
7.02.2016;0.03374
8.02.2016;0.03488
9.02.2016;0.03895
10.02.2016;0.04311
11.02.2016;0.04534
12.02.2016;0.04249
13.02.2016;0.04106
14.02.2016;0.03985
15.02.2016;0.04446
16.02.2016;0.04603
17.02.2016;0.046
18.02.2016;0.04626
19.02.2016;0.05413
20.02.2016;0.05793
21.02.2016;0.05421
22.02.2016;0.05173
23.02.2016;0.05255
24.02.2016;0.05311
25.02.2016;0.05118
26.02.2016;0.0487
27.02.2016;0.04605
28.02.2016;0.04436
29.02.2016;0.04358
1.03.2016;0.04366
2.03.2016;0.04288
3.03.2016;0.04276
4.03.2016;0.04237
5.03.2016;0.04204
6.03.2016;0.04185
7.03.2016;0.04172
8.03.2016;0.04126
9.03.2016;0.04104
10.03.2016;0.04079
11.03.2016;0.04084
12.03.2016;0.04028
13.03.2016;0.03895
14.03.2016;0.03835
15.03.2016;0.03761
16.03.2016;0.03674
17.03.2016;0.03627
18.03.2016;0.03563
19.03.2016;0.0351
20.03.2016;0.03429
21.03.2016;0.03381
22.03.2016;0.03358
23.03.2016;0.03292
24.03.2016;0.03237
25.03.2016;0.03134
26.03.2016;0.03141
27.03.2016;0.03107
28.03.2016;0.03094
29.03.2016;0.03045
30.03.2016;0.0297
31.03.2016;0.03047
1.04.2016;0.03206
2.04.2016;0.03324
3.04.2016;0.03383
4.04.2016;0.03607
5.04.2016;0.04119
6.04.2016;0.04487
7.04.2016;0.04841
8.04.2016;0.04728
9.04.2016;0.04951
10.04.2016;0.04929
11.04.2016;0.04672
12.04.2016;0.04648
13.04.2016;0.04466
14.04.2016;0.047
15.04.2016;0.04638
16.04.2016;0.04509
17.04.2016;0.04441
18.04.2016;0.04356
19.04.2016;0.04197
20.04.2016;0.03992
21.04.2016;0.03828
22.04.2016;0.03742
23.04.2016;0.03719
24.04.2016;0.03624
25.04.2016;0.03436
26.04.2016;0.03305
27.04.2016;0.03264
28.04.2016;0.03192
29.04.2016;0.03156
30.04.2016;0.0317
1.05.2016;0.03181
2.05.2016;0.03242
3.05.2016;0.03349
4.05.2016;0.03429
5.05.2016;0.03498
6.05.2016;0.03501
7.05.2016;0.03468
8.05.2016;0.03413
9.05.2016;0.03376
10.05.2016;0.03324
11.05.2016;0.03278
12.05.2016;0.03224
13.05.2016;0.03379
14.05.2016;0.03533
15.05.2016;0.03524
16.05.2016;0.03406
17.05.2016;0.03335
