Region;Carpathians
Country;Slovakia
#;2
Spring Name/Station Name;Macová / Liptovská Teplicka
Literature;Yes
Lat;48.929
Lon;20.124
Elev (m);990
Recharge Area (km2);
Start Date;1.11.2015
End Date;31.10.2024
Resolution;Daily
Data Source;https://www.shmu.sk/sk/?page=2649
Data License;Open data
Contact For License;Peter Malik provided the data
Spring ID;CAR_02_SK
Date;Discharge m^3/s
1.11.2015;0.08142
2.11.2015;0.07944
3.11.2015;0.07851
4.11.2015;0.07783
5.11.2015;0.07746
6.11.2015;0.07661
7.11.2015;0.07624
8.11.2015;0.07611
9.11.2015;0.07591
10.11.2015;0.0755
11.11.2015;0.07537
12.11.2015;0.07493
13.11.2015;0.07442
14.11.2015;0.07427
15.11.2015;0.07411
16.11.2015;0.07394
17.11.2015;0.07373
18.11.2015;0.07348
19.11.2015;0.07325
20.11.2015;0.07371
21.11.2015;0.07457
22.11.2015;0.07424
23.11.2015;0.07353
24.11.2015;0.07356
25.11.2015;0.07542
26.11.2015;0.07721
27.11.2015;0.07731
28.11.2015;0.07645
29.11.2015;0.07542
30.11.2015;0.0748
1.12.2015;0.07406
2.12.2015;0.07338
3.12.2015;0.07328
4.12.2015;0.07315
5.12.2015;0.0727
6.12.2015;0.07265
7.12.2015;0.07247
8.12.2015;0.07217
9.12.2015;0.07215
10.12.2015;0.07192
11.12.2015;0.072
12.12.2015;0.072
13.12.2015;0.07227
14.12.2015;0.07197
15.12.2015;0.07242
16.12.2015;0.07227
17.12.2015;0.07185
18.12.2015;0.07152
19.12.2015;0.07125
20.12.2015;0.07103
21.12.2015;0.07093
22.12.2015;0.0706
23.12.2015;0.07056
24.12.2015;0.07051
25.12.2015;0.07036
26.12.2015;0.07033
27.12.2015;0.07048
28.12.2015;0.07031
29.12.2015;0.07014
30.12.2015;0.07011
31.12.2015;0.0713
1.01.2016;0.07235
2.01.2016;0.07277
3.01.2016;0.0728
4.01.2016;0.07282
5.01.2016;0.07257
6.01.2016;0.07232
7.01.2016;0.07142
8.01.2016;0.07043
9.01.2016;0.06965
10.01.2016;0.06921
11.01.2016;0.06891
12.01.2016;0.06913
13.01.2016;0.06877
14.01.2016;0.06855
15.01.2016;0.06869
16.01.2016;0.06823
17.01.2016;0.06802
18.01.2016;0.06777
19.01.2016;0.0677
20.01.2016;0.06775
21.01.2016;0.06732
22.01.2016;0.06691
23.01.2016;0.06691
24.01.2016;0.06686
25.01.2016;0.06681
26.01.2016;0.06667
27.01.2016;0.06669
28.01.2016;0.06641
29.01.2016;0.06693
30.01.2016;0.06674
31.01.2016;0.06665
1.02.2016;0.06624
2.02.2016;0.06615
3.02.2016;0.06622
4.02.2016;0.066
5.02.2016;0.0657
6.02.2016;0.06563
7.02.2016;0.0657
8.02.2016;0.06534
9.02.2016;0.0656
10.02.2016;0.06674
11.02.2016;0.0671
12.02.2016;0.06749
13.02.2016;0.06785
14.02.2016;0.06763
15.02.2016;0.06836
16.02.2016;0.07473
17.02.2016;0.07663
18.02.2016;0.07726
19.02.2016;0.08427
20.02.2016;0.0999
21.02.2016;0.09966
22.02.2016;0.0996
23.02.2016;0.10607
24.02.2016;0.10771
25.02.2016;0.10733
26.02.2016;0.10547
27.02.2016;0.10186
28.02.2016;0.09908
29.02.2016;0.09635
1.03.2016;0.0951
2.03.2016;0.09305
3.03.2016;0.09189
4.03.2016;0.0905
5.03.2016;0.08936
6.03.2016;0.08851
7.03.2016;0.0873
8.03.2016;0.0861
9.03.2016;0.08518
10.03.2016;0.08463
11.03.2016;0.08386
12.03.2016;0.0832
13.03.2016;0.08269
14.03.2016;0.08233
15.03.2016;0.08214
16.03.2016;0.0812
17.03.2016;0.08074
18.03.2016;0.08077
19.03.2016;0.08032
20.03.2016;0.07994
21.03.2016;0.07952
22.03.2016;0.07907
23.03.2016;0.07865
24.03.2016;0.07836
25.03.2016;0.07801
26.03.2016;0.07762
27.03.2016;0.07728
28.03.2016;0.07694
29.03.2016;0.07674
30.03.2016;0.07609
31.03.2016;0.07653
1.04.2016;0.07915
2.04.2016;0.08231
3.04.2016;0.08307
4.04.2016;0.08394
5.04.2016;0.08878
6.04.2016;0.09726
7.04.2016;0.10731
8.04.2016;0.11366
9.04.2016;0.11775
10.04.2016;0.12213
11.04.2016;0.12646
12.04.2016;0.12968
13.04.2016;0.13204
14.04.2016;0.13323
15.04.2016;0.13677
16.04.2016;0.14028
17.04.2016;0.14118
18.04.2016;0.13998
19.04.2016;0.14039
20.04.2016;0.14013
21.04.2016;0.13894
22.04.2016;0.1389
23.04.2016;0.13842
24.04.2016;0.13765
25.04.2016;0.13548
26.04.2016;0.13316
27.04.2016;0.13057
28.04.2016;0.12734
29.04.2016;0.12503
30.04.2016;0.12427
1.05.2016;0.12403
2.05.2016;0.12364
3.05.2016;0.12392
4.05.2016;0.12227
5.05.2016;0.12079
6.05.2016;0.11886
7.05.2016;0.11795
8.05.2016;0.11671
9.05.2016;0.11515
10.05.2016;0.11386
11.05.2016;0.11333
12.05.2016;0.11225
13.05.2016;0.11222
14.05.2016;0.11248
15.05.2016;0.1116
16.05.2016;0.11111
17.05.2016;0.11089
18.05.2016;0.11034
19.05.2016;0.10899
20.05.2016;0.10777
21.05.2016;0.10711
22.05.2016;0.10698
23.05.2016;0.10663
24.05.2016;0.1055
25.05.2016;0.10509
26.05.2016;0.10346
27.05.2016;0.10226
28.05.2016;0.10229
29.05.2016;0.10152
30.05.2016;0.10115
31.05.2016;0.10023
1.06.2016;0.09914
2.06.2016;0.09808
3.06.2016;0.09736
4.06.2016;0.09653
5.06.2016;0.09587
6.06.2016;0.09492
7.06.2016;0.09375
8.06.2016;0.09258
9.06.2016;0.09275
10.06.2016;0.09232
11.06.2016;0.0916
12.06.2016;0.0909
13.06.2016;0.09116
14.06.2016;0.09111
15.06.2016;0.09085
16.06.2016;0.09013
17.06.2016;0.08973
18.06.2016;0.08874
19.06.2016;0.08808
20.06.2016;0.08797
21.06.2016;0.08752
22.06.2016;0.08702
23.06.2016;0.08671
24.06.2016;0.08618
25.06.2016;0.08585
26.06.2016;0.08565
27.06.2016;0.0856
28.06.2016;0.08601
29.06.2016;0.08537
30.06.2016;0.08496
1.07.2016;0.08493
2.07.2016;0.08457
3.07.2016;0.08435
4.07.2016;0.08411
5.07.2016;0.08358
6.07.2016;0.08358
7.07.2016;0.08285
8.07.2016;0.08266
9.07.2016;0.0825
10.07.2016;0.08187
11.07.2016;0.08163
12.07.2016;0.08096
13.07.2016;0.08088
14.07.2016;0.08117
15.07.2016;0.08077
16.07.2016;0.08056
17.07.2016;0.08582
18.07.2016;0.1075
19.07.2016;0.10957
20.07.2016;0.10676
21.07.2016;0.10456
22.07.2016;0.10207
23.07.2016;0.09914
24.07.2016;0.09745
25.07.2016;0.09721
26.07.2016;0.09841
27.07.2016;0.10078
28.07.2016;0.10214
29.07.2016;0.10381
30.07.2016;0.10528
31.07.2016;0.10433
1.08.2016;0.10565
2.08.2016;0.10867
3.08.2016;0.10976
4.08.2016;0.10889
5.08.2016;0.10761
6.08.2016;0.10632
7.08.2016;0.10459
8.08.2016;0.10312
9.08.2016;0.10275
10.08.2016;0.10207
11.08.2016;0.10371
12.08.2016;0.10266
13.08.2016;0.10241
14.08.2016;0.10238
15.08.2016;0.10207
16.08.2016;0.10195
17.08.2016;0.10297
18.08.2016;0.10455
19.08.2016;0.10462
20.08.2016;0.10402
21.08.2016;0.10424
22.08.2016;0.10499
23.08.2016;0.10496
24.08.2016;0.10468
25.08.2016;0.10452
26.08.2016;0.10421
27.08.2016;0.10362
28.08.2016;0.10312
29.08.2016;0.10257
30.08.2016;0.10195
31.08.2016;0.10124
1.09.2016;0.1009
2.09.2016;0.10011
3.09.2016;0.09984
4.09.2016;0.09959
5.09.2016;0.09975
6.09.2016;0.10011
7.09.2016;0.10158
8.09.2016;0.10133
9.09.2016;0.1009
10.09.2016;0.10029
11.09.2016;0.09971
12.09.2016;0.09929
13.09.2016;0.09884
14.09.2016;0.09805
15.09.2016;0.09763
16.09.2016;0.09754
17.09.2016;0.0973
18.09.2016;0.09715
19.09.2016;0.09667
20.09.2016;0.09602
21.09.2016;0.0956
22.09.2016;0.09501
23.09.2016;0.0941
24.09.2016;0.09372
25.09.2016;0.09384
26.09.2016;0.09299
27.09.2016;0.09255
28.09.2016;0.09229
29.09.2016;0.09235
30.09.2016;0.09197
1.10.2016;0.09171
2.10.2016;0.09131
3.10.2016;0.09142
4.10.2016;0.09258
5.10.2016;0.09451
6.10.2016;0.09431
7.10.2016;0.09392
8.10.2016;0.09357
9.10.2016;0.09334
10.10.2016;0.09293
11.10.2016;0.09319
12.10.2016;0.09305
13.10.2016;0.09255
14.10.2016;0.09325
15.10.2016;0.09439
16.10.2016;0.09733
17.10.2016;0.10002
18.10.2016;0.10139
19.10.2016;0.10213
20.10.2016;0.10226
21.10.2016;0.10484
22.10.2016;0.11608
23.10.2016;0.12237
24.10.2016;0.12237
25.10.2016;0.12114
26.10.2016;0.12022
27.10.2016;0.11889
28.10.2016;0.11751
29.10.2016;0.11728
30.10.2016;0.11661
31.10.2016;0.11555
1.11.2016;0.11482
2.11.2016;0.11468
3.11.2016;0.11288
4.11.2016;0.11157
5.11.2016;0.11118
6.11.2016;0.11368
7.11.2016;0.13515
8.11.2016;0.15104
9.11.2016;0.15209
10.11.2016;0.15006
11.11.2016;0.14621
12.11.2016;0.14332
13.11.2016;0.14047
14.11.2016;0.13713
15.11.2016;0.13461
16.11.2016;0.13377
17.11.2016;0.13218
18.11.2016;0.1301
19.11.2016;0.12971
20.11.2016;0.13251
21.11.2016;0.13515
22.11.2016;0.13636
23.11.2016;0.13654
24.11.2016;0.13497
25.11.2016;0.13501
26.11.2016;0.13435
27.11.2016;0.13421
28.11.2016;0.13226
29.11.2016;0.13046
30.11.2016;0.12921
1.12.2016;0.12879
2.12.2016;0.12872
3.12.2016;0.12625
4.12.2016;0.12538
5.12.2016;0.12657
6.12.2016;0.12791
7.12.2016;0.12653
8.12.2016;0.12542
9.12.2016;0.12203
10.12.2016;0.12124
11.12.2016;0.12039
12.12.2016;0.11859
13.12.2016;0.11782
14.12.2016;0.11866
15.12.2016;0.11748
16.12.2016;0.11416
17.12.2016;0.11363
18.12.2016;0.11271
19.12.2016;0.11092
20.12.2016;0.11079
21.12.2016;0.11014
22.12.2016;0.1088
23.12.2016;0.10863
24.12.2016;0.10822
25.12.2016;0.10714
26.12.2016;0.10679
27.12.2016;0.10565
28.12.2016;0.10546
29.12.2016;0.10434
30.12.2016;0.10409
31.12.2016;0.10368
1.01.2017;0.10322
2.01.2017;0.10278
3.01.2017;0.10195
4.01.2017;0.10198
5.01.2017;0.10075
6.01.2017;0.09905
7.01.2017;0.0985
8.01.2017;0.09826
9.01.2017;0.0976
10.01.2017;0.09742
11.01.2017;0.09682
12.01.2017;0.09641
13.01.2017;0.09629
14.01.2017;0.09543
15.01.2017;0.09398
16.01.2017;0.09337
17.01.2017;0.09296
18.01.2017;0.09258
19.01.2017;0.09238
20.01.2017;0.09214
21.01.2017;0.0918
22.01.2017;0.0916
23.01.2017;0.09099
24.01.2017;0.0903
25.01.2017;0.08976
26.01.2017;0.0893
27.01.2017;0.08925
28.01.2017;0.0889
29.01.2017;0.08825
30.01.2017;0.08814
31.01.2017;0.0878
1.02.2017;0.0869
2.02.2017;0.08654
3.02.2017;0.08632
4.02.2017;0.08621
5.02.2017;0.08573
6.02.2017;0.08513
7.02.2017;0.0849
8.02.2017;0.08449
9.02.2017;0.08405
10.02.2017;0.08315
11.02.2017;0.08279
12.02.2017;0.08168
13.02.2017;0.08225
14.02.2017;0.08204
15.02.2017;0.08182
16.02.2017;0.08174
17.02.2017;0.08133
18.02.2017;0.08099
19.02.2017;0.0805
20.02.2017;0.07994
21.02.2017;0.07989
22.02.2017;0.07944
23.02.2017;0.07947
24.02.2017;0.07933
25.02.2017;0.07872
26.02.2017;0.0787
27.02.2017;0.07833
28.02.2017;0.07801
1.03.2017;0.07765
2.03.2017;0.0776
3.03.2017;0.0772
4.03.2017;0.07731
5.03.2017;0.07713
6.03.2017;0.0782
7.03.2017;0.07833
8.03.2017;0.07783
9.03.2017;0.07765
10.03.2017;0.07754
11.03.2017;0.07733
12.03.2017;0.07702
13.03.2017;0.07692
14.03.2017;0.07653
15.03.2017;0.07637
16.03.2017;0.07619
17.03.2017;0.07562
18.03.2017;0.07555
19.03.2017;0.07514
20.03.2017;0.07501
21.03.2017;0.07537
22.03.2017;0.07624
23.03.2017;0.0782
24.03.2017;0.0819
25.03.2017;0.0854
26.03.2017;0.08654
27.03.2017;0.08585
28.03.2017;0.08518
29.03.2017;0.08452
30.03.2017;0.08479
31.03.2017;0.08615
1.04.2017;0.08716
2.04.2017;0.08792
3.04.2017;0.08865
4.04.2017;0.0907
5.04.2017;0.09264
6.04.2017;0.0941
7.04.2017;0.09381
8.04.2017;0.09346
9.04.2017;0.09366
10.04.2017;0.09513
11.04.2017;0.09516
12.04.2017;0.09525
13.04.2017;0.09504
14.04.2017;0.09504
15.04.2017;0.09469
16.04.2017;0.09428
17.04.2017;0.09354
18.04.2017;0.09328
19.04.2017;0.09246
20.04.2017;0.09469
21.04.2017;0.09469
22.04.2017;0.09386
23.04.2017;0.09194
24.04.2017;0.09085
25.04.2017;0.09082
26.04.2017;0.09358
27.04.2017;0.10291
28.04.2017;0.12533
29.04.2017;0.15576
30.04.2017;0.16138
1.05.2017;0.15988
2.05.2017;0.15747
3.05.2017;0.1564
4.05.2017;0.15687
5.05.2017;0.15867
6.05.2017;0.16093
7.05.2017;0.1615
8.05.2017;0.16093
9.05.2017;0.16118
10.05.2017;0.15851
11.05.2017;0.15651
12.05.2017;0.15386
13.05.2017;0.15221
14.05.2017;0.14848
15.05.2017;0.14594
16.05.2017;0.14366
17.05.2017;0.14178
18.05.2017;0.14013
19.05.2017;0.13798
20.05.2017;0.13662
21.05.2017;0.13636
22.05.2017;0.13265
23.05.2017;0.13039
24.05.2017;0.12854
25.05.2017;0.12608
26.05.2017;0.12496
27.05.2017;0.12234
28.05.2017;0.12076
29.05.2017;0.11789
30.05.2017;0.11678
31.05.2017;0.11601
1.06.2017;0.11445
2.06.2017;0.11304
3.06.2017;0.11131
4.06.2017;0.11021
5.06.2017;0.10879
6.06.2017;0.10742
7.06.2017;0.10688
8.06.2017;0.10528
9.06.2017;0.10427
10.06.2017;0.10393
11.06.2017;0.10315
12.06.2017;0.10235
13.06.2017;0.10072
14.06.2017;0.09935
15.06.2017;0.09829
16.06.2017;0.09775
17.06.2017;0.09724
18.06.2017;0.09647
19.06.2017;0.09584
20.06.2017;0.09445
21.06.2017;0.09346
22.06.2017;0.09244
23.06.2017;0.09232
24.06.2017;0.09177
25.06.2017;0.09056
26.06.2017;0.08984
27.06.2017;0.08919
28.06.2017;0.08873
29.06.2017;0.08848
30.06.2017;0.08758
1.07.2017;0.08665
2.07.2017;0.08596
3.07.2017;0.08543
4.07.2017;0.08479
5.07.2017;0.08427
6.07.2017;0.08386
7.07.2017;0.08301
8.07.2017;0.08261
9.07.2017;0.08239
10.07.2017;0.0825
11.07.2017;0.08334
12.07.2017;0.08233
13.07.2017;0.08158
14.07.2017;0.08109
15.07.2017;0.0805
16.07.2017;0.07997
17.07.2017;0.07963
18.07.2017;0.07888
19.07.2017;0.07846
20.07.2017;0.07851
21.07.2017;0.07828
22.07.2017;0.07788
23.07.2017;0.07736
24.07.2017;0.07713
25.07.2017;0.07739
26.07.2017;0.07757
27.07.2017;0.07739
28.07.2017;0.07728
29.07.2017;0.07609
30.07.2017;0.0758
31.07.2017;0.07537
1.08.2017;0.07516
2.08.2017;0.07493
3.08.2017;0.07435
4.08.2017;0.07378
5.08.2017;0.07325
6.08.2017;0.07305
7.08.2017;0.07313
8.08.2017;0.0731
9.08.2017;0.0721
10.08.2017;0.0719
11.08.2017;0.0716
12.08.2017;0.07135
13.08.2017;0.07093
14.08.2017;0.07038
15.08.2017;0.06987
16.08.2017;0.06962
17.08.2017;0.06947
18.08.2017;0.07009
19.08.2017;0.0707
20.08.2017;0.07445
21.08.2017;0.08104
22.08.2017;0.08323
23.08.2017;0.08255
24.08.2017;0.08058
25.08.2017;0.08085
26.08.2017;0.08013
27.08.2017;0.08074
28.08.2017;0.08053
29.08.2017;0.0805
30.08.2017;0.08026
31.08.2017;0.08064
1.09.2017;0.0804
2.09.2017;0.08061
3.09.2017;0.0815
4.09.2017;0.08261
5.09.2017;0.08279
6.09.2017;0.08348
7.09.2017;0.08348
8.09.2017;0.08369
9.09.2017;0.08389
10.09.2017;0.08419
11.09.2017;0.08394
12.09.2017;0.08482
13.09.2017;0.08755
14.09.2017;0.09221
15.09.2017;0.09316
16.09.2017;0.09337
17.09.2017;0.09407
18.09.2017;0.0977
19.09.2017;0.10189
20.09.2017;0.10365
21.09.2017;0.10415
22.09.2017;0.10409
23.09.2017;0.10537
24.09.2017;0.10915
25.09.2017;0.11268
26.09.2017;0.11284
27.09.2017;0.11251
28.09.2017;0.11154
29.09.2017;0.1115
30.09.2017;0.11073
1.10.2017;0.10986
2.10.2017;0.10892
3.10.2017;0.10896
4.10.2017;0.10726
5.10.2017;0.10812
6.10.2017;0.10736
7.10.2017;0.106
8.10.2017;0.10546
9.10.2017;0.10415
10.10.2017;0.10365
11.10.2017;0.10247
12.10.2017;0.10155
13.10.2017;0.10026
14.10.2017;0.09996
15.10.2017;0.09917
16.10.2017;0.09847
17.10.2017;0.09814
18.10.2017;0.09781
19.10.2017;0.09694
20.10.2017;0.09623
21.10.2017;0.0954
22.10.2017;0.09519
23.10.2017;0.09641
24.10.2017;0.09653
25.10.2017;0.09593
26.10.2017;0.09554
27.10.2017;0.0956
28.10.2017;0.0951
29.10.2017;0.09528
30.10.2017;0.09395
31.10.2017;0.09299
1.11.2017;0.11482
2.11.2017;0.11468
3.11.2017;0.11288
4.11.2017;0.11157
5.11.2017;0.11118
6.11.2017;0.11368
7.11.2017;0.13515
8.11.2017;0.15104
9.11.2017;0.15209
10.11.2017;0.15006
11.11.2017;0.14621
12.11.2017;0.14332
13.11.2017;0.14047
14.11.2017;0.13713
15.11.2017;0.13461
16.11.2017;0.13377
17.11.2017;0.13218
18.11.2017;0.1301
19.11.2017;0.12971
20.11.2017;0.13251
21.11.2017;0.13515
22.11.2017;0.13636
23.11.2017;0.13654
24.11.2017;0.13497
25.11.2017;0.13501
26.11.2017;0.13435
27.11.2017;0.13421
28.11.2017;0.13226
29.11.2017;0.13046
30.11.2017;0.12921
1.12.2017;0.12879
2.12.2017;0.12872
3.12.2017;0.12625
4.12.2017;0.12538
5.12.2017;0.12657
6.12.2017;0.12791
7.12.2017;0.12653
8.12.2017;0.12542
9.12.2017;0.12203
10.12.2017;0.12124
11.12.2017;0.12039
12.12.2017;0.11859
13.12.2017;0.11782
14.12.2017;0.11866
15.12.2017;0.11748
16.12.2017;0.11416
17.12.2017;0.11363
18.12.2017;0.11271
19.12.2017;0.11092
20.12.2017;0.11079
21.12.2017;0.11014
22.12.2017;0.1088
23.12.2017;0.10863
24.12.2017;0.10822
25.12.2017;0.10714
26.12.2017;0.10679
27.12.2017;0.10565
28.12.2017;0.10546
29.12.2017;0.10434
30.12.2017;0.10409
31.12.2017;0.10368
1.01.2018;0.10322
2.01.2018;0.10278
3.01.2018;0.10195
4.01.2018;0.10198
5.01.2018;0.10075
6.01.2018;0.09905
7.01.2018;0.0985
8.01.2018;0.09826
9.01.2018;0.0976
10.01.2018;0.09742
11.01.2018;0.09682
12.01.2018;0.09641
13.01.2018;0.09629
14.01.2018;0.09543
15.01.2018;0.09398
16.01.2018;0.09337
17.01.2018;0.09296
18.01.2018;0.09258
19.01.2018;0.09238
20.01.2018;0.09214
21.01.2018;0.0918
22.01.2018;0.0916
23.01.2018;0.09099
24.01.2018;0.0903
25.01.2018;0.08976
26.01.2018;0.0893
27.01.2018;0.08925
28.01.2018;0.0889
29.01.2018;0.08825
30.01.2018;0.08814
31.01.2018;0.0878
1.02.2018;0.0869
2.02.2018;0.08654
3.02.2018;0.08632
4.02.2018;0.08621
5.02.2018;0.08573
6.02.2018;0.08513
7.02.2018;0.0849
8.02.2018;0.08449
9.02.2018;0.08405
10.02.2018;0.08315
11.02.2018;0.08279
12.02.2018;0.08168
13.02.2018;0.08225
14.02.2018;0.08204
15.02.2018;0.08182
16.02.2018;0.08174
17.02.2018;0.08133
18.02.2018;0.08099
19.02.2018;0.0805
20.02.2018;0.07994
21.02.2018;0.07989
22.02.2018;0.07944
23.02.2018;0.07947
24.02.2018;0.07933
25.02.2018;0.07872
26.02.2018;0.0787
27.02.2018;0.07833
28.02.2018;0.07801
1.03.2018;0.07765
2.03.2018;0.0776
3.03.2018;0.0772
4.03.2018;0.07731
5.03.2018;0.07713
6.03.2018;0.0782
7.03.2018;0.07833
8.03.2018;0.07783
9.03.2018;0.07765
10.03.2018;0.07754
11.03.2018;0.07733
12.03.2018;0.07702
13.03.2018;0.07692
14.03.2018;0.07653
15.03.2018;0.07637
16.03.2018;0.07619
17.03.2018;0.07562
18.03.2018;0.07555
19.03.2018;0.07514
20.03.2018;0.07501
21.03.2018;0.07537
22.03.2018;0.07624
23.03.2018;0.0782
24.03.2018;0.0819
25.03.2018;0.0854
26.03.2018;0.08654
27.03.2018;0.08585
28.03.2018;0.08518
29.03.2018;0.08452
30.03.2018;0.08479
31.03.2018;0.08615
1.04.2018;0.08716
2.04.2018;0.08792
3.04.2018;0.08865
4.04.2018;0.0907
5.04.2018;0.09264
6.04.2018;0.0941
7.04.2018;0.09381
8.04.2018;0.09346
9.04.2018;0.09366
10.04.2018;0.09513
11.04.2018;0.09516
12.04.2018;0.09525
13.04.2018;0.09504
14.04.2018;0.09504
15.04.2018;0.09469
16.04.2018;0.09428
17.04.2018;0.09354
18.04.2018;0.09328
19.04.2018;0.09246
20.04.2018;0.09469
21.04.2018;0.09469
22.04.2018;0.09386
23.04.2018;0.09194
24.04.2018;0.09085
25.04.2018;0.09082
26.04.2018;0.09358
27.04.2018;0.10291
28.04.2018;0.12533
29.04.2018;0.15576
30.04.2018;0.16138
1.05.2018;0.15988
2.05.2018;0.15747
3.05.2018;0.1564
4.05.2018;0.15687
5.05.2018;0.15867
6.05.2018;0.16093
7.05.2018;0.1615
8.05.2018;0.16093
9.05.2018;0.16118
10.05.2018;0.15851
11.05.2018;0.15651
12.05.2018;0.15386
13.05.2018;0.15221
