Region;Carpathians
Country;Slovakia
#;3
Spring Name/Station Name;Tisovky / Lysá Polyana
Literature;Yes
Lat;49.252
Lon;20.103
Elev (m);995
Recharge Area (km2);
Start Date;1.11.2015
End Date;31.10.2024
Resolution;Daily
Data Source;https://www.shmu.sk/sk/?page=2649
Data License;Open data, Slovakian law free access
Contact For License;Peter Malik provided the data
Spring ID;CAR_03_SK
Date;Discharge m^3/s
1.11.2015;0.4715
2.11.2015;0.4685
3.11.2015;0.46075
4.11.2015;0.45275
5.11.2015;0.44325
6.11.2015;0.43325
7.11.2015;0.42425
8.11.2015;0.422
9.11.2015;0.4245
10.11.2015;0.436
11.11.2015;0.4605
12.11.2015;0.47
13.11.2015;0.47
14.11.2015;0.4695
15.11.2015;0.464
16.11.2015;0.4855
17.11.2015;0.51342
18.11.2015;0.50846
19.11.2015;0.514
20.11.2015;0.52071
21.11.2015;0.52304
22.11.2015;0.50933
23.11.2015;0.49525
24.11.2015;0.4845
25.11.2015;0.474
26.11.2015;0.47
27.11.2015;0.46475
28.11.2015;0.45575
29.11.2015;0.44825
30.11.2015;0.443
1.12.2015;0.44225
2.12.2015;0.44425
3.12.2015;0.44
4.12.2015;0.437
5.12.2015;0.43
6.12.2015;0.424
7.12.2015;0.4135
8.12.2015;0.40625
9.12.2015;0.3995
10.12.2015;0.39375
11.12.2015;0.3885
12.12.2015;0.38325
13.12.2015;0.3762
14.12.2015;0.372
15.12.2015;0.3678
16.12.2015;0.3624
17.12.2015;0.356
18.12.2015;0.35178
19.12.2015;0.34757
20.12.2015;0.34661
21.12.2015;0.3422
22.12.2015;0.3422
23.12.2015;0.3422
24.12.2015;0.35083
25.12.2015;0.3626
26.12.2015;0.3666
27.12.2015;0.3722
28.12.2015;0.38095
29.12.2015;0.386
30.12.2015;0.386
31.12.2015;0.37875
1.01.2016;0.3658
2.01.2016;0.35255
3.01.2016;0.34277
4.01.2016;0.33453
5.01.2016;0.32863
6.01.2016;0.3246
7.01.2016;0.3246
8.01.2016;0.3246
9.01.2016;0.32267
10.01.2016;0.3204
11.01.2016;0.31638
12.01.2016;0.3162
13.01.2016;0.3162
14.01.2016;0.3162
15.01.2016;0.3162
16.01.2016;0.3162
17.01.2016;0.3162
18.01.2016;0.312
19.01.2016;0.3087
20.01.2016;0.30503
21.01.2016;0.30008
22.01.2016;0.2944
23.01.2016;0.2944
24.01.2016;0.2944
25.01.2016;0.2944
26.01.2016;0.29073
27.01.2016;0.29
28.01.2016;0.29257
29.01.2016;0.29605
30.01.2016;0.2999
31.01.2016;0.3032
1.02.2016;0.3032
2.02.2016;0.3032
3.02.2016;0.3032
4.02.2016;0.3032
5.02.2016;0.30082
6.02.2016;0.2988
7.02.2016;0.2988
8.02.2016;0.2988
9.02.2016;0.30063
10.02.2016;0.3032
11.02.2016;0.3032
12.02.2016;0.30705
13.02.2016;0.3076
14.02.2016;0.3076
15.02.2016;0.30907
16.02.2016;0.31252
17.02.2016;0.3162
18.02.2016;0.31813
19.02.2016;0.34397
20.02.2016;0.418
21.02.2016;0.453
22.02.2016;0.46375
23.02.2016;0.47
24.02.2016;0.47
25.02.2016;0.46475
26.02.2016;0.4525
27.02.2016;0.44
28.02.2016;0.427
29.02.2016;0.41575
1.03.2016;0.40725
2.03.2016;0.4
3.03.2016;0.391
4.03.2016;0.3819
5.03.2016;0.3724
6.03.2016;0.3644
7.03.2016;0.35545
8.03.2016;0.34872
9.03.2016;0.34316
10.03.2016;0.33837
11.03.2016;0.33377
12.03.2016;0.32915
13.03.2016;0.32495
14.03.2016;0.32092
15.03.2016;0.31777
16.03.2016;0.3162
17.03.2016;0.31252
18.03.2016;0.312
19.03.2016;0.30888
20.03.2016;0.30742
21.03.2016;0.3032
22.03.2016;0.3032
23.03.2016;0.3032
24.03.2016;0.2988
25.03.2016;0.2988
26.03.2016;0.29568
27.03.2016;0.2944
28.03.2016;0.2944
29.03.2016;0.29183
30.03.2016;0.29
31.03.2016;0.29
1.04.2016;0.30027
2.04.2016;0.32919
3.04.2016;0.36048
4.04.2016;0.39855
5.04.2016;0.47225
6.04.2016;0.49025
7.04.2016;0.49425
8.04.2016;0.50029
9.04.2016;0.51517
10.04.2016;0.51721
11.04.2016;0.50613
12.04.2016;0.5
13.04.2016;0.5
14.04.2016;0.51313
15.04.2016;0.55338
16.04.2016;0.53558
17.04.2016;0.52275
18.04.2016;0.52071
19.04.2016;0.50963
20.04.2016;0.49675
21.04.2016;0.485
22.04.2016;0.4765
23.04.2016;0.476
24.04.2016;0.476
25.04.2016;0.47125
26.04.2016;0.47
27.04.2016;0.47
28.04.2016;0.46425
29.04.2016;0.4595
30.04.2016;0.458
1.05.2016;0.46125
2.05.2016;0.46925
3.05.2016;0.47675
4.05.2016;0.4875
5.05.2016;0.50042
6.05.2016;0.507
7.05.2016;0.50058
8.05.2016;0.49575
9.05.2016;0.491
10.05.2016;0.488
11.05.2016;0.488
12.05.2016;0.488
13.05.2016;0.49675
14.05.2016;0.52479
15.05.2016;0.549
16.05.2016;0.52392
17.05.2016;0.50438
18.05.2016;0.49225
19.05.2016;0.48425
20.05.2016;0.47775
21.05.2016;0.476
22.05.2016;0.47725
23.05.2016;0.48575
24.05.2016;0.49975
25.05.2016;0.50729
26.05.2016;0.514
27.05.2016;0.50846
28.05.2016;0.507
29.05.2016;0.50933
30.05.2016;0.514
31.05.2016;0.51138
1.06.2016;0.50292
2.06.2016;0.5
3.06.2016;0.494
4.06.2016;0.49375
5.06.2016;0.488
6.06.2016;0.488
7.06.2016;0.4855
8.06.2016;0.479
9.06.2016;0.4775
10.06.2016;0.493
11.06.2016;0.49025
12.06.2016;0.485
13.06.2016;0.482
14.06.2016;0.47725
15.06.2016;0.4765
16.06.2016;0.482
17.06.2016;0.489
18.06.2016;0.494
19.06.2016;0.49025
20.06.2016;0.53296
21.06.2016;0.52392
22.06.2016;0.50613
23.06.2016;0.49575
24.06.2016;0.494
25.06.2016;0.494
26.06.2016;0.49325
27.06.2016;0.488
28.06.2016;0.494
29.06.2016;0.49325
30.06.2016;0.4895
1.07.2016;0.50442
2.07.2016;0.50846
3.07.2016;0.50525
4.07.2016;0.51342
5.07.2016;0.50321
6.07.2016;0.4945
7.07.2016;0.48475
8.07.2016;0.47725
9.07.2016;0.47375
10.07.2016;0.47
11.07.2016;0.47
12.07.2016;0.46625
13.07.2016;0.465
14.07.2016;0.48675
15.07.2016;0.49275
16.07.2016;0.49846
17.07.2016;0.69751
18.07.2016;0.7523
19.07.2016;0.62637
20.07.2016;0.59067
21.07.2016;0.55425
22.07.2016;0.53238
23.07.2016;0.51721
24.07.2016;0.50671
25.07.2016;0.50671
26.07.2016;0.52158
27.07.2016;0.52304
28.07.2016;0.514
29.07.2016;0.52508
30.07.2016;0.52188
31.07.2016;0.51867
1.08.2016;0.53967
2.08.2016;0.53792
3.08.2016;0.52188
4.08.2016;0.50904
5.08.2016;0.49958
6.08.2016;0.494
7.08.2016;0.49025
8.08.2016;0.48425
9.08.2016;0.482
10.08.2016;0.49213
11.08.2016;0.54696
12.08.2016;0.53413
13.08.2016;0.51925
14.08.2016;0.50496
15.08.2016;0.4975
16.08.2016;0.492
17.08.2016;0.486
18.08.2016;0.48125
19.08.2016;0.476
20.08.2016;0.47175
21.08.2016;0.4715
22.08.2016;0.49492
23.08.2016;0.50496
24.08.2016;0.49625
25.08.2016;0.4885
26.08.2016;0.48225
27.08.2016;0.4755
28.08.2016;0.47
29.08.2016;0.47375
30.08.2016;0.48575
31.08.2016;0.48175
1.09.2016;0.476
2.09.2016;0.47025
3.09.2016;0.47
4.09.2016;0.46475
5.09.2016;0.47204
6.09.2016;0.64833
7.09.2016;0.605
8.09.2016;0.55571
9.09.2016;0.53296
10.09.2016;0.51867
11.09.2016;0.50875
12.09.2016;0.50088
13.09.2016;0.495
14.09.2016;0.48975
15.09.2016;0.4835
16.09.2016;0.47825
17.09.2016;0.48467
18.09.2016;0.51954
19.09.2016;0.51138
20.09.2016;0.50613
21.09.2016;0.49925
22.09.2016;0.49325
23.09.2016;0.48675
24.09.2016;0.482
25.09.2016;0.4765
26.09.2016;0.4715
27.09.2016;0.47
28.09.2016;0.46475
29.09.2016;0.458
30.09.2016;0.45125
1.10.2016;0.446
2.10.2016;0.44
3.10.2016;0.44
4.10.2016;0.50875
5.10.2016;0.605
6.10.2016;0.635
7.10.2016;0.61867
8.10.2016;0.60633
9.10.2016;0.59533
10.10.2016;0.594
11.10.2016;0.588
12.10.2016;0.588
13.10.2016;0.594
14.10.2016;0.587
15.10.2016;0.62993
16.10.2016;0.68373
17.10.2016;0.683
18.10.2016;0.6599
19.10.2016;0.64367
20.10.2016;0.634
21.10.2016;0.646
22.10.2016;0.64533
23.10.2016;0.642
24.10.2016;0.642
25.10.2016;0.642
26.10.2016;0.642
27.10.2016;0.63467
28.10.2016;0.62267
29.10.2016;0.61733
30.10.2016;0.606
31.10.2016;0.59533
1.11.2016;0.57333
2.11.2016;0.56621
3.11.2016;0.56008
4.11.2016;0.55075
5.11.2016;0.54375
6.11.2016;0.55775
7.11.2016;0.63967
8.11.2016;0.62467
9.11.2016;0.60567
10.11.2016;0.58367
11.11.2016;0.56654
12.11.2016;0.556
13.11.2016;0.54492
14.11.2016;0.53617
15.11.2016;0.52567
16.11.2016;0.51692
17.11.2016;0.514
18.11.2016;0.52479
19.11.2016;0.54433
20.11.2016;0.59433
21.11.2016;0.59767
22.11.2016;0.588
23.11.2016;0.57933
24.11.2016;0.5665
25.11.2016;0.55688
26.11.2016;0.54667
27.11.2016;0.5385
28.11.2016;0.53179
29.11.2016;0.52013
30.11.2016;0.51108
1.12.2016;0.507
2.12.2016;0.50379
3.12.2016;0.49975
4.12.2016;0.48975
5.12.2016;0.4825
6.12.2016;0.496
7.12.2016;0.48625
8.12.2016;0.475
9.12.2016;0.47
10.12.2016;0.47
11.12.2016;0.4715
12.12.2016;0.476
13.12.2016;0.4675
14.12.2016;0.455
15.12.2016;0.46575
16.12.2016;0.47
17.12.2016;0.46575
18.12.2016;0.459
19.12.2016;0.45
20.12.2016;0.44125
21.12.2016;0.43275
22.12.2016;0.42575
23.12.2016;0.41925
24.12.2016;0.41275
25.12.2016;0.41
26.12.2016;0.41275
27.12.2016;0.4205
28.12.2016;0.41775
29.12.2016;0.4115
30.12.2016;0.41
31.12.2016;0.405
1.01.2017;0.404
2.01.2017;0.407
3.01.2017;0.41
4.01.2017;0.4085
5.01.2017;0.404
6.01.2017;0.4015
7.01.2017;0.38975
8.01.2017;0.375
9.01.2017;0.3648
10.01.2017;0.3608
11.01.2017;0.3608
12.01.2017;0.3656
13.01.2017;0.3736
14.01.2017;0.3752
15.01.2017;0.3748
16.01.2017;0.3704
17.01.2017;0.3704
18.01.2017;0.3678
19.01.2017;0.3656
20.01.2017;0.3604
21.01.2017;0.356
22.01.2017;0.35313
23.01.2017;0.35121
24.01.2017;0.3468
25.01.2017;0.34412
26.01.2017;0.3422
27.01.2017;0.33971
28.01.2017;0.3376
29.01.2017;0.33415
30.01.2017;0.333
31.01.2017;0.33125
1.02.2017;0.3288
2.02.2017;0.3288
3.02.2017;0.32513
4.02.2017;0.3246
5.02.2017;0.3246
6.02.2017;0.3218
7.02.2017;0.3204
8.02.2017;0.3204
9.02.2017;0.31673
10.02.2017;0.3162
11.02.2017;0.3127
12.02.2017;0.31053
13.02.2017;0.3076
14.02.2017;0.30522
15.02.2017;0.3032
16.02.2017;0.29953
17.02.2017;0.2988
18.02.2017;0.30137
19.02.2017;0.30357
20.02.2017;0.3076
21.02.2017;0.3076
22.02.2017;0.3098
23.02.2017;0.3134
24.02.2017;0.32743
25.02.2017;0.34009
26.02.2017;0.3422
27.02.2017;0.3422
28.02.2017;0.34469
1.03.2017;0.3468
2.03.2017;0.35293
3.03.2017;0.358
4.03.2017;0.3648
5.03.2017;0.37695
6.03.2017;0.38925
7.03.2017;0.4045
8.03.2017;0.41525
9.03.2017;0.422
10.03.2017;0.422
11.03.2017;0.422
12.03.2017;0.41725
13.03.2017;0.416
14.03.2017;0.4095
15.03.2017;0.40375
16.03.2017;0.398
17.03.2017;0.393
18.03.2017;0.38975
19.03.2017;0.386
20.03.2017;0.39025
21.03.2017;0.39525
22.03.2017;0.40825
23.03.2017;0.42675
24.03.2017;0.49133
25.03.2017;0.57225
26.03.2017;0.57633
27.03.2017;0.56592
28.03.2017;0.556
29.03.2017;0.55892
30.03.2017;0.577
31.03.2017;0.58867
1.04.2017;0.59567
2.04.2017;0.60433
3.04.2017;0.61167
4.04.2017;0.61833
5.04.2017;0.62833
6.04.2017;0.634
7.04.2017;0.62833
8.04.2017;0.618
9.04.2017;0.613
10.04.2017;0.60633
11.04.2017;0.602
12.04.2017;0.59733
13.04.2017;0.594
14.04.2017;0.58933
15.04.2017;0.58167
16.04.2017;0.57267
17.04.2017;0.56504
18.04.2017;0.55921
19.04.2017;0.55571
20.04.2017;0.54521
21.04.2017;0.53704
22.04.2017;0.52479
23.04.2017;0.51633
24.04.2017;0.50467
25.04.2017;0.51021
26.04.2017;0.60417
27.04.2017;0.69987
28.04.2017;0.81977
29.04.2017;0.84287
30.04.2017;0.72333
1.05.2017;0.66943
2.05.2017;0.6588
3.05.2017;0.66173
4.05.2017;0.70097
5.05.2017;0.6863
6.05.2017;0.68117
7.05.2017;0.694
8.05.2017;0.68337
9.05.2017;0.66137
10.05.2017;0.64333
11.05.2017;0.63
12.05.2017;0.6414
13.05.2017;0.6588
14.05.2017;0.6544
15.05.2017;0.65
16.05.2017;0.65
17.05.2017;0.644
18.05.2017;0.642
19.05.2017;0.642
20.05.2017;0.642
21.05.2017;0.642
22.05.2017;0.63567
23.05.2017;0.63933
24.05.2017;0.65
25.05.2017;0.65
26.05.2017;0.65
27.05.2017;0.639
28.05.2017;0.629
29.05.2017;0.626
30.05.2017;0.62833
31.05.2017;0.67347
1.06.2017;0.66173
2.06.2017;0.645
3.06.2017;0.63167
4.06.2017;0.628
5.06.2017;0.642
6.06.2017;0.63467
7.06.2017;0.63233
8.06.2017;0.62267
9.06.2017;0.61367
10.06.2017;0.616
11.06.2017;0.626
12.06.2017;0.619
13.06.2017;0.61033
14.06.2017;0.61
15.06.2017;0.60267
16.06.2017;0.59667
17.06.2017;0.61967
18.06.2017;0.71087
19.06.2017;0.68887
20.06.2017;0.65143
21.06.2017;0.634
22.06.2017;0.62033
23.06.2017;0.63133
24.06.2017;0.62733
25.06.2017;0.614
26.06.2017;0.61
27.06.2017;0.60433
28.06.2017;0.60367
29.06.2017;0.62067
30.06.2017;0.634
1.07.2017;0.634
2.07.2017;0.62867
3.07.2017;0.626
4.07.2017;0.61367
5.07.2017;0.60367
6.07.2017;0.59733
7.07.2017;0.594
8.07.2017;0.589
9.07.2017;0.594
10.07.2017;0.59533
11.07.2017;0.60633
12.07.2017;0.60433
13.07.2017;0.60933
14.07.2017;0.61533
15.07.2017;0.60333
16.07.2017;0.59367
17.07.2017;0.58367
18.07.2017;0.578
19.07.2017;0.571
20.07.2017;0.56854
21.07.2017;0.563
22.07.2017;0.55804
