Region;Carpathians
Country;Slovakia
#;4
Spring Name/Station Name;Vyvieranka pod hradom / Murán
Literature;Yes
Lat;48.757
Lon;20.07
Elev (m);430
Recharge Area (km2);
Start Date;1.11.2015
End Date;31.10.2024
Resolution;Daily
Data Source;https://www.shmu.sk/sk/?page=2649
Data License;Open data, Slovakian law free access
Contact For License;Peter Malik provided the data
Spring ID;CAR_04_SK
Date;Discharge m^3/s
1.11.2015;0.12146
2.11.2015;0.10883
3.11.2015;0.09944
4.11.2015;0.0944
5.11.2015;0.09077
6.11.2015;0.08524
7.11.2015;0.07873
8.11.2015;0.07566
9.11.2015;0.0752
10.11.2015;0.0752
11.11.2015;0.07318
12.11.2015;0.06933
13.11.2015;0.067
14.11.2015;0.06411
15.11.2015;0.06125
16.11.2015;0.05729
17.11.2015;0.054
18.11.2015;0.05023
19.11.2015;0.05764
20.11.2015;0.11404
21.11.2015;0.41101
22.11.2015;0.35334
23.11.2015;0.23661
24.11.2015;0.19526
25.11.2015;0.18233
26.11.2015;0.16652
27.11.2015;0.14186
28.11.2015;0.13305
29.11.2015;0.12101
30.11.2015;0.11705
1.12.2015;0.14915
2.12.2015;0.2703
3.12.2015;0.24125
4.12.2015;0.25332
5.12.2015;0.24294
6.12.2015;0.21985
7.12.2015;0.20056
8.12.2015;0.18459
9.12.2015;0.1767
10.12.2015;0.164
11.12.2015;0.15624
12.12.2015;0.15184
13.12.2015;0.14344
14.12.2015;0.13318
15.12.2015;0.12578
16.12.2015;0.11449
17.12.2015;0.10969
18.12.2015;0.10713
19.12.2015;0.10046
20.12.2015;0.08513
21.12.2015;0.09607
22.12.2015;0.1017
23.12.2015;0.09717
24.12.2015;0.09447
25.12.2015;0.09753
26.12.2015;0.09493
27.12.2015;0.09196
28.12.2015;0.08998
29.12.2015;0.08853
30.12.2015;0.0837
31.12.2015;0.08218
1.01.2016;0.08625
2.01.2016;0.08104
3.01.2016;0.07787
4.01.2016;0.07987
5.01.2016;0.07939
6.01.2016;0.07356
7.01.2016;0.0723
8.01.2016;0.068
9.01.2016;0.06585
10.01.2016;0.06488
11.01.2016;0.06884
12.01.2016;0.46888
13.01.2016;0.28225
14.01.2016;0.20539
15.01.2016;0.17787
16.01.2016;0.15571
17.01.2016;0.13741
18.01.2016;0.12674
19.01.2016;0.11936
20.01.2016;0.11165
21.01.2016;0.10351
22.01.2016;0.09104
23.01.2016;0.08482
24.01.2016;0.07735
25.01.2016;0.07769
26.01.2016;0.07448
27.01.2016;0.06941
28.01.2016;0.06631
29.01.2016;0.08027
30.01.2016;0.08616
31.01.2016;0.0912
1.02.2016;0.09578
2.02.2016;0.11732
3.02.2016;0.11101
4.02.2016;0.11771
5.02.2016;0.12104
6.02.2016;0.11389
7.02.2016;0.10876
8.02.2016;0.10832
9.02.2016;0.36474
10.02.2016;2.17883
11.02.2016;2.41495
12.02.2016;1.03739
13.02.2016;0.66677
14.02.2016;0.51159
15.02.2016;2.64234
16.02.2016;3.17327
17.02.2016;1.47158
18.02.2016;1.10277
19.02.2016;3.25988
20.02.2016;2.81565
21.02.2016;1.42466
22.02.2016;1.27172
23.02.2016;1.58034
24.02.2016;1.38298
25.02.2016;1.06975
26.02.2016;0.83834
27.02.2016;0.64263
28.02.2016;0.52613
29.02.2016;0.47367
1.03.2016;0.99408
2.03.2016;1.19013
3.03.2016;0.84486
4.03.2016;0.6521
5.03.2016;0.54825
6.03.2016;0.4757
7.03.2016;0.45192
8.03.2016;0.48878
9.03.2016;0.46278
10.03.2016;0.44832
11.03.2016;0.44999
12.03.2016;0.52055
13.03.2016;0.47114
14.03.2016;0.43965
15.03.2016;0.41077
16.03.2016;0.34451
17.03.2016;0.30565
18.03.2016;0.30008
19.03.2016;0.29296
20.03.2016;0.26775
21.03.2016;0.25099
22.03.2016;0.23808
23.03.2016;0.22798
24.03.2016;0.2108
25.03.2016;0.19313
26.03.2016;0.18144
27.03.2016;0.17349
28.03.2016;0.17088
29.03.2016;0.1711
30.03.2016;0.19428
31.03.2016;0.29699
1.04.2016;0.67962
2.04.2016;0.7303
3.04.2016;0.51088
4.04.2016;0.45652
5.04.2016;0.67509
6.04.2016;0.72877
7.04.2016;0.66818
8.04.2016;0.55429
9.04.2016;0.52107
10.04.2016;0.7925
11.04.2016;0.58853
12.04.2016;0.47042
13.04.2016;0.39829
14.04.2016;0.57085
15.04.2016;0.74069
16.04.2016;0.53785
17.04.2016;0.42546
18.04.2016;0.35344
