Region;Carpathians
Country;Slovakia
#;5
Spring Name/Station Name;Cierna vyvieracka / Slavec
Literature;Yes
Lat;48.562
Lon;20.465
Elev (m);250
Recharge Area (km2);
Start Date;1.11.2015
End Date;31.10.2024
Resolution;Daily
Data Source;https://www.shmu.sk/sk/?page=2649
Data License;Open data, Slovakian law free access
Contact For License;Peter Malik provided the data
Spring ID;CAR_05_SK
Date;Discharge m^3/s
1.11.2015;0.04066
2.11.2015;0.03953
3.11.2015;0.03825
4.11.2015;0.03713
5.11.2015;0.03591
6.11.2015;0.0339
7.11.2015;0.03273
8.11.2015;0.0314
9.11.2015;0.03089
10.11.2015;0.03046
11.11.2015;0.02958
12.11.2015;0.02853
13.11.2015;0.02749
14.11.2015;0.02703
15.11.2015;0.02717
16.11.2015;0.02757
17.11.2015;0.02601
18.11.2015;0.02633
19.11.2015;0.02661
20.11.2015;0.02706
21.11.2015;0.02939
22.11.2015;0.02939
23.11.2015;0.02698
24.11.2015;0.02692
25.11.2015;0.02746
26.11.2015;0.02845
27.11.2015;0.02811
28.11.2015;0.02859
29.11.2015;0.02896
30.11.2015;0.03004
1.12.2015;0.03564
2.12.2015;0.04075
3.12.2015;0.04304
4.12.2015;0.04358
5.12.2015;0.04369
6.12.2015;0.04288
7.12.2015;0.04188
8.12.2015;0.04085
9.12.2015;0.04104
10.12.2015;0.0411
11.12.2015;0.04056
12.12.2015;0.04056
13.12.2015;0.0405
14.12.2015;0.0387
15.12.2015;0.0369
16.12.2015;0.03588
17.12.2015;0.03459
18.12.2015;0.03482
19.12.2015;0.03437
20.12.2015;0.03378
21.12.2015;0.03361
22.12.2015;0.03313
23.12.2015;0.03301
24.12.2015;0.03244
25.12.2015;0.03236
26.12.2015;0.03222
27.12.2015;0.03236
28.12.2015;0.03236
29.12.2015;0.03236
30.12.2015;0.03196
31.12.2015;0.03168
1.01.2016;0.03244
2.01.2016;0.03236
3.01.2016;0.0327
4.01.2016;0.03397
5.01.2016;0.03491
6.01.2016;0.03381
7.01.2016;0.03397
8.01.2016;0.03273
9.01.2016;0.03137
10.01.2016;0.03258
11.01.2016;0.03787
12.01.2016;0.07481
13.01.2016;0.09877
14.01.2016;0.09307
15.01.2016;0.09281
16.01.2016;0.08896
17.01.2016;0.08072
18.01.2016;0.07507
19.01.2016;0.07084
20.01.2016;0.06795
21.01.2016;0.0646
22.01.2016;0.05851
23.01.2016;0.05561
24.01.2016;0.05436
25.01.2016;0.05264
26.01.2016;0.05135
27.01.2016;0.04949
28.01.2016;0.04851
29.01.2016;0.04612
30.01.2016;0.0446
31.01.2016;0.04608
1.02.2016;0.04608
2.02.2016;0.05182
3.02.2016;0.05708
4.02.2016;0.06385
5.02.2016;0.07057
6.02.2016;0.08036
7.02.2016;0.08535
8.02.2016;0.08809
9.02.2016;0.08983
10.02.2016;0.2188
11.02.2016;0.8099
12.02.2016;0.61251
13.02.2016;0.5276
14.02.2016;0.53897
15.02.2016;0.68934
16.02.2016;0.96247
17.02.2016;0.77442
18.02.2016;0.60278
19.02.2016;0.59254
20.02.2016;1.00515
21.02.2016;0.91175
22.02.2016;0.70596
23.02.2016;0.56372
24.02.2016;0.46707
25.02.2016;0.39236
26.02.2016;0.34695
27.02.2016;0.29887
28.02.2016;0.2636
29.02.2016;0.2414
1.03.2016;0.25633
2.03.2016;0.36725
3.03.2016;0.39848
4.03.2016;0.37002
5.03.2016;0.32692
6.03.2016;0.29807
7.03.2016;0.27965
8.03.2016;0.27073
9.03.2016;0.27569
10.03.2016;0.29238
11.03.2016;0.28428
12.03.2016;0.26288
13.03.2016;0.24198
14.03.2016;0.2239
15.03.2016;0.21334
16.03.2016;0.19972
17.03.2016;0.18815
18.03.2016;0.18566
19.03.2016;0.18079
20.03.2016;0.17261
21.03.2016;0.16849
22.03.2016;0.1638
23.03.2016;0.1571
24.03.2016;0.15225
25.03.2016;0.14275
26.03.2016;0.13375
27.03.2016;0.12624
28.03.2016;0.1217
29.03.2016;0.11831
30.03.2016;0.1124
31.03.2016;0.10837
1.04.2016;0.10561
2.04.2016;0.09913
3.04.2016;0.09536
4.04.2016;0.0943
5.04.2016;0.09357
6.04.2016;0.09132
7.04.2016;0.08915
8.04.2016;0.08729
9.04.2016;0.0858
10.04.2016;0.08208
11.04.2016;0.07752
12.04.2016;0.07444
13.04.2016;0.07291
14.04.2016;0.07193
15.04.2016;0.06892
16.04.2016;0.0665
17.04.2016;0.06517
18.04.2016;0.0624
19.04.2016;0.06054
20.04.2016;0.05863
21.04.2016;0.05661
22.04.2016;0.05679
23.04.2016;0.05708
24.04.2016;0.05708
25.04.2016;0.05565
26.04.2016;0.05368
27.04.2016;0.05196
28.04.2016;0.05046
29.04.2016;0.04875
30.04.2016;0.04763
1.05.2016;0.04743
2.05.2016;0.04696
3.05.2016;0.04696
4.05.2016;0.04669
5.05.2016;0.0448
6.05.2016;0.04456
7.05.2016;0.0445
8.05.2016;0.04396
9.05.2016;0.04372
10.05.2016;0.04311
11.05.2016;0.04325
12.05.2016;0.04358
13.05.2016;0.04473
14.05.2016;0.04514
15.05.2016;0.04595
16.05.2016;0.0447
17.05.2016;0.04355
18.05.2016;0.04237
19.05.2016;0.04139
20.05.2016;0.0404
21.05.2016;0.0394
22.05.2016;0.03889
23.05.2016;0.03819
24.05.2016;0.03828
25.05.2016;0.03806
26.05.2016;0.03687
27.05.2016;0.03568
28.05.2016;0.03523
29.05.2016;0.03498
30.05.2016;0.0345
31.05.2016;0.03389
1.06.2016;0.03341
2.06.2016;0.03304
3.06.2016;0.03298
4.06.2016;0.03236
5.06.2016;0.03202
6.06.2016;0.031
7.06.2016;0.03015
8.06.2016;0.02964
9.06.2016;0.02958
10.06.2016;0.0295
11.06.2016;0.02907
12.06.2016;0.02896
13.06.2016;0.02896
14.06.2016;0.02896
15.06.2016;0.02902
16.06.2016;0.02865
17.06.2016;0.02802
18.06.2016;0.02692
19.06.2016;0.02627
20.06.2016;0.0261
21.06.2016;0.02516
22.06.2016;0.02482
23.06.2016;0.02426
24.06.2016;0.02448
25.06.2016;0.02463
26.06.2016;0.0242
27.06.2016;0.02414
28.06.2016;0.02372
29.06.2016;0.02375
30.06.2016;0.02346
1.07.2016;0.02329
2.07.2016;0.02352
3.07.2016;0.02423
4.07.2016;0.02471
5.07.2016;0.02417
6.07.2016;0.0242
7.07.2016;0.02372
8.07.2016;0.02318
9.07.2016;0.02386
10.07.2016;0.02287
11.07.2016;0.0227
12.07.2016;0.02292
13.07.2016;0.02301
14.07.2016;0.02706
15.07.2016;0.02981
16.07.2016;0.02768
17.07.2016;0.02777
18.07.2016;0.03642
19.07.2016;0.03581
20.07.2016;0.03358
21.07.2016;0.03137
22.07.2016;0.03001
23.07.2016;0.02964
24.07.2016;0.02956
25.07.2016;0.02876
26.07.2016;0.02885
27.07.2016;0.02933
28.07.2016;0.02916
29.07.2016;0.03094
30.07.2016;0.03239
31.07.2016;0.03174
1.08.2016;0.03106
2.08.2016;0.03029
3.08.2016;0.02967
4.08.2016;0.0295
5.08.2016;0.02859
6.08.2016;0.02822
7.08.2016;0.02723
8.08.2016;0.0261
9.08.2016;0.02556
10.08.2016;0.02502
11.08.2016;0.02471
12.08.2016;0.02485
13.08.2016;0.02375
14.08.2016;0.02329
15.08.2016;0.02273
16.08.2016;0.02239
17.08.2016;0.02352
18.08.2016;0.02474
19.08.2016;0.02437
20.08.2016;0.0248
21.08.2016;0.02437
22.08.2016;0.02746
23.08.2016;0.02958
24.08.2016;0.02822
25.08.2016;0.02706
26.08.2016;0.02618
27.08.2016;0.02448
28.08.2016;0.02406
29.08.2016;0.02352
30.08.2016;0.02175
31.08.2016;0.01987
1.09.2016;0.01962
2.09.2016;0.0192
3.09.2016;0.01883
4.09.2016;0.01847
5.09.2016;0.01881
6.09.2016;0.01942
7.09.2016;0.01925
8.09.2016;0.01903
9.09.2016;0.01888
10.09.2016;0.01844
11.09.2016;0.01837
12.09.2016;0.01788
13.09.2016;0.01785
14.09.2016;0.01758
15.09.2016;0.01684
16.09.2016;0.01689
17.09.2016;0.01743
18.09.2016;0.01773
19.09.2016;0.01667
20.09.2016;0.01692
21.09.2016;0.01832
22.09.2016;0.01763
23.09.2016;0.0166
24.09.2016;0.01576
25.09.2016;0.01522
26.09.2016;0.01462
27.09.2016;0.01398
28.09.2016;0.01331
29.09.2016;0.01304
30.09.2016;0.01241
1.10.2016;0.01165
2.10.2016;0.01123
3.10.2016;0.0123
4.10.2016;0.01527
5.10.2016;0.01893
6.10.2016;0.01987
7.10.2016;0.01962
8.10.2016;0.01893
9.10.2016;0.01807
10.10.2016;0.01709
11.10.2016;0.01657
12.10.2016;0.01716
13.10.2016;0.01662
14.10.2016;0.01509
15.10.2016;0.01424
16.10.2016;0.01513
17.10.2016;0.01608
18.10.2016;0.01756
19.10.2016;0.01834
20.10.2016;0.01851
21.10.2016;0.02694
22.10.2016;0.07264
23.10.2016;0.07707
24.10.2016;0.0689
25.10.2016;0.06271
26.10.2016;0.05879
27.10.2016;0.05504
28.10.2016;0.05106
29.10.2016;0.04922
30.10.2016;0.04696
31.10.2016;0.04396
1.11.2016;0.04218
2.11.2016;0.0411
3.11.2016;0.03896
4.11.2016;0.03633
5.11.2016;0.03517
6.11.2016;0.04519
7.11.2016;0.13846
8.11.2016;0.17641
9.11.2016;0.15905
10.11.2016;0.13741
11.11.2016;0.12217
12.11.2016;0.10758
13.11.2016;0.09776
14.11.2016;0.08665
15.11.2016;0.07936
16.11.2016;0.07562
17.11.2016;0.0726
18.11.2016;0.069
19.11.2016;0.06612
20.11.2016;0.06358
21.11.2016;0.06009
22.11.2016;0.05769
23.11.2016;0.05529
24.11.2016;0.05428
25.11.2016;0.05428
26.11.2016;0.05389
27.11.2016;0.05446
28.11.2016;0.0531
29.11.2016;0.04939
30.11.2016;0.04797
1.12.2016;0.04895
2.12.2016;0.05103
3.12.2016;0.04824
4.12.2016;0.04504
5.12.2016;0.04396
6.12.2016;0.04433
7.12.2016;0.04228
8.12.2016;0.04143
9.12.2016;0.04278
10.12.2016;0.04244
11.12.2016;0.04264
12.12.2016;0.04328
13.12.2016;0.04011
14.12.2016;0.03902
15.12.2016;0.03879
16.12.2016;0.03729
17.12.2016;0.03594
18.12.2016;0.03597
19.12.2016;0.03591
20.12.2016;0.03527
21.12.2016;0.03469
22.12.2016;0.0344
23.12.2016;0.03434
24.12.2016;0.034
25.12.2016;0.03423
26.12.2016;0.03375
27.12.2016;0.03313
28.12.2016;0.03262
29.12.2016;0.0312
30.12.2016;0.03032
31.12.2016;0.03001
1.01.2017;0.02992
2.01.2017;0.03009
3.01.2017;0.02924
4.01.2017;0.02944
5.01.2017;0.02907
6.01.2017;0.02703
7.01.2017;0.02593
8.01.2017;0.02562
9.01.2017;0.02785
10.01.2017;0.02811
11.01.2017;0.0276
12.01.2017;0.02808
13.01.2017;0.02785
14.01.2017;0.02808
15.01.2017;0.02678
16.01.2017;0.0255
17.01.2017;0.02463
18.01.2017;0.02366
19.01.2017;0.02352
20.01.2017;0.02318
21.01.2017;0.02335
22.01.2017;0.02309
23.01.2017;0.02188
24.01.2017;0.02131
25.01.2017;0.02083
26.01.2017;0.02026
27.01.2017;0.01999
28.01.2017;0.02004
29.01.2017;0.01982
30.01.2017;0.01969
31.01.2017;0.01982
1.02.2017;0.01969
2.02.2017;0.01989
3.02.2017;0.02038
4.02.2017;0.02094
5.02.2017;0.02633
6.02.2017;0.04008
7.02.2017;0.0448
8.02.2017;0.03851
9.02.2017;0.03253
10.02.2017;0.02978
11.02.2017;0.02848
12.02.2017;0.02868
13.02.2017;0.0278
14.02.2017;0.02842
15.02.2017;0.02888
16.02.2017;0.02995
17.02.2017;0.03063
18.02.2017;0.02958
19.02.2017;0.03089
20.02.2017;0.03428
21.02.2017;0.03369
22.02.2017;0.04245
23.02.2017;0.12439
24.02.2017;0.21405
25.02.2017;0.23172
26.02.2017;0.22875
27.02.2017;0.16975
28.02.2017;0.1556
1.03.2017;0.16883
2.03.2017;0.23702
3.03.2017;0.22349
4.03.2017;0.20058
5.03.2017;0.18675
6.03.2017;0.20378
7.03.2017;0.26227
8.03.2017;0.24653
9.03.2017;0.22571
10.03.2017;0.20667
11.03.2017;0.18442
12.03.2017;0.16844
13.03.2017;0.15105
14.03.2017;0.13595
15.03.2017;0.12639
16.03.2017;0.1196
17.03.2017;0.11364
18.03.2017;0.11034
19.03.2017;0.10585
20.03.2017;0.09943
21.03.2017;0.09328
22.03.2017;0.08903
23.03.2017;0.08452
24.03.2017;0.08068
25.03.2017;0.07684
26.03.2017;0.07597
27.03.2017;0.07186
28.03.2017;0.07005
29.03.2017;0.06841
30.03.2017;0.06612
31.03.2017;0.06365
1.04.2017;0.06312
2.04.2017;0.06199
3.04.2017;0.05997
4.04.2017;0.05922
5.04.2017;0.0588
6.04.2017;0.05866
7.04.2017;0.05579
8.04.2017;0.05285
9.04.2017;0.05021
10.04.2017;0.04922
11.04.2017;0.04926
12.04.2017;0.0478
13.04.2017;0.04787
14.04.2017;0.04706
15.04.2017;0.04561
16.04.2017;0.04483
17.04.2017;0.04379
18.04.2017;0.04358
19.04.2017;0.0445
20.04.2017;0.0449
21.04.2017;0.04595
22.04.2017;0.04895
23.04.2017;0.0502
24.04.2017;0.04949
25.04.2017;0.05024
26.04.2017;0.05039
27.04.2017;0.04942
28.04.2017;0.04995
29.04.2017;0.05504
30.04.2017;0.05328
1.05.2017;0.05278
2.05.2017;0.05235
3.05.2017;0.05145
4.05.2017;0.59436
5.05.2017;0.49308
6.05.2017;0.38813
7.05.2017;0.33547
8.05.2017;0.29841
9.05.2017;0.253
10.05.2017;0.22232
11.05.2017;0.19153
12.05.2017;0.16743
13.05.2017;0.15835
14.05.2017;0.148
15.05.2017;0.1368
16.05.2017;0.12785
17.05.2017;0.13625
18.05.2017;0.13435
19.05.2017;0.12606
20.05.2017;0.11895
21.05.2017;0.11203
22.05.2017;0.10522
23.05.2017;0.10071
24.05.2017;0.09656
25.05.2017;0.09128
26.05.2017;0.08617
27.05.2017;0.08184
28.05.2017;0.07712
29.05.2017;0.07499
30.05.2017;0.07264
31.05.2017;0.06884
1.06.2017;0.06684
2.06.2017;0.06449
3.06.2017;0.06255
4.06.2017;0.06028
5.06.2017;0.05831
6.06.2017;0.05665
7.06.2017;0.05975
8.06.2017;0.05601
9.06.2017;0.05342
10.06.2017;0.05178
11.06.2017;0.05167
12.06.2017;0.05021
13.06.2017;0.04915
14.06.2017;0.0471
15.06.2017;0.04544
16.06.2017;0.04416
17.06.2017;0.04375
18.06.2017;0.04264
19.06.2017;0.04101
20.06.2017;0.0403
21.06.2017;0.03966
22.06.2017;0.03889
23.06.2017;0.03838
24.06.2017;0.03706
25.06.2017;0.03607
26.06.2017;0.03549
27.06.2017;0.03459
28.06.2017;0.03443
29.06.2017;0.03478
30.06.2017;0.03459
1.07.2017;0.03406
2.07.2017;0.03415
3.07.2017;0.03381
4.07.2017;0.03372
5.07.2017;0.03318
6.07.2017;0.03304
7.07.2017;0.03304
8.07.2017;0.03304
9.07.2017;0.03304
10.07.2017;0.03236
11.07.2017;0.03168
12.07.2017;0.03168
13.07.2017;0.03168
14.07.2017;0.03123
15.07.2017;0.031
16.07.2017;0.03066
17.07.2017;0.03032
18.07.2017;0.03026
19.07.2017;0.02964
20.07.2017;0.02964
21.07.2017;0.02964
22.07.2017;0.02964
23.07.2017;0.02964
24.07.2017;0.02964
25.07.2017;0.02876
26.07.2017;0.02785
27.07.2017;0.02689
28.07.2017;0.02616
29.07.2017;0.02511
30.07.2017;0.0244
31.07.2017;0.02389
1.08.2017;0.02335
2.08.2017;0.02292
3.08.2017;0.02292
4.08.2017;0.02312
5.08.2017;0.02239
6.08.2017;0.02179
7.08.2017;0.02106
8.08.2017;0.02128
9.08.2017;0.0208
10.08.2017;0.02048
11.08.2017;0.02021
12.08.2017;0.02016
13.08.2017;0.01967
14.08.2017;0.01871
15.08.2017;0.01842
16.08.2017;0.01839
17.08.2017;0.01844
18.08.2017;0.01797
19.08.2017;0.01788
20.08.2017;0.01815
21.08.2017;0.01817
22.08.2017;0.01768
23.08.2017;0.01768
24.08.2017;0.01728
25.08.2017;0.01726
26.08.2017;0.01711
27.08.2017;0.01758
28.08.2017;0.01746
29.08.2017;0.01667
30.08.2017;0.0166
31.08.2017;0.01667
1.09.2017;0.01672
2.09.2017;0.01743
3.09.2017;0.01677
4.09.2017;0.01645
5.09.2017;0.01618
6.09.2017;0.0166
7.09.2017;0.0165
8.09.2017;0.01635
9.09.2017;0.0165
10.09.2017;0.01672
11.09.2017;0.01687
12.09.2017;0.01724
13.09.2017;0.01642
14.09.2017;0.01574
15.09.2017;0.01519
16.09.2017;0.0149
17.09.2017;0.01556
18.09.2017;0.01586
19.09.2017;0.01542
20.09.2017;0.01537
21.09.2017;0.01608
22.09.2017;0.01694
23.09.2017;0.0167
24.09.2017;0.01726
25.09.2017;0.01719
26.09.2017;0.01667
27.09.2017;0.01714
28.09.2017;0.01701
29.09.2017;0.01738
30.09.2017;0.01768
1.10.2017;0.01765
2.10.2017;0.01756
3.10.2017;0.01751
4.10.2017;0.01876
5.10.2017;0.01947
6.10.2017;0.0207
7.10.2017;0.01984
8.10.2017;0.01908
9.10.2017;0.01802
10.10.2017;0.01609
11.10.2017;0.0144
12.10.2017;0.01405
13.10.2017;0.01372
14.10.2017;0.01322
15.10.2017;0.01396
16.10.2017;0.01468
17.10.2017;0.01482
18.10.2017;0.01531
19.10.2017;0.01822
20.10.2017;0.01866
21.10.2017;0.01827
22.10.2017;0.01871
23.10.2017;0.02064
24.10.2017;0.02208
25.10.2017;0.0227
26.10.2017;0.02278
27.10.2017;0.0225
28.10.2017;0.02028
29.10.2017;0.01743
30.10.2017;0.0227
31.10.2017;0.01697
1.11.2017;0.0149
2.11.2017;0.01495
3.11.2017;0.0149
4.11.2017;0.01407
5.11.2017;0.01422
