Region;Dinarides
Country;Bosnia and Herzegovina
#;1
Spring Name/Station Name;Vrelo Bosne
Literature;
Lat;43.827
Lon;18.271
Elev (m);497
Recharge Area (km2);
Start Date;1.01.2007
End Date;31.12.2019
Resolution;Daily
Data Source;HIDROLOŠKI GODIŠNJAK, https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php#
Data License;Open data for scientific purposes
Contact For License;Bosnian Federal Hydrometeorology Service
Spring ID;DIN_01_BA
Date;Discharge m^3/s
1.01.2007;2.21
2.01.2007;2.38
3.01.2007;5.16
4.01.2007;3.61
5.01.2007;2.92
6.01.2007;2.51
7.01.2007;2.36
8.01.2007;2.32
9.01.2007;2.27
10.01.2007;2.24
11.01.2007;2.33
12.01.2007;2.7
13.01.2007;3.7
14.01.2007;3.24
15.01.2007;3.04
16.01.2007;2.88
17.01.2007;2.67
18.01.2007;2.43
19.01.2007;3.05
20.01.2007;5.45
21.01.2007;6.25
22.01.2007;5.94
23.01.2007;6.49
24.01.2007;9.27
25.01.2007;11.6
26.01.2007;10.6
27.01.2007;9.46
28.01.2007;7.73
29.01.2007;6
30.01.2007;4.99
31.01.2007;4.31
1.02.2007;3.66
2.02.2007;3.3
3.02.2007;3.02
4.02.2007;2.74
5.02.2007;2.52
6.02.2007;2.35
7.02.2007;2.3
8.02.2007;2.64
9.02.2007;3.45
10.02.2007;3.87
11.02.2007;4.74
12.02.2007;5.73
13.02.2007;7.28
14.02.2007;8.26
15.02.2007;7.89
16.02.2007;6.89
17.02.2007;5.88
18.02.2007;4.98
19.02.2007;4.11
20.02.2007;4.15
21.02.2007;4.44
22.02.2007;4.68
23.02.2007;4.82
24.02.2007;4.82
25.02.2007;4.57
26.02.2007;4.49
27.02.2007;5.87
28.02.2007;6.15
1.03.2007;5.46
2.03.2007;5.65
3.03.2007;7.45
4.03.2007;8.2
5.03.2007;8.63
6.03.2007;8.26
7.03.2007;7.6
8.03.2007;7.03
9.03.2007;6.64
10.03.2007;6.47
11.03.2007;6.01
12.03.2007;5.4
13.03.2007;4.86
14.03.2007;4.65
15.03.2007;4.48
16.03.2007;4.48
17.03.2007;4.47
18.03.2007;4.44
19.03.2007;4.41
20.03.2007;4.94
21.03.2007;7.45
22.03.2007;8.53
23.03.2007;8.51
24.03.2007;8.65
25.03.2007;9.55
26.03.2007;11
27.03.2007;11.3
28.03.2007;10.8
29.03.2007;10
30.03.2007;9.95
31.03.2007;10.5
1.04.2007;10
2.04.2007;9.27
3.04.2007;8.98
4.04.2007;8.65
5.04.2007;8.91
6.04.2007;9.06
7.04.2007;8.75
8.04.2007;8.39
9.04.2007;8.2
10.04.2007;8.34
11.04.2007;8.49
12.04.2007;8.59
13.04.2007;8.48
14.04.2007;8.47
15.04.2007;8.68
16.04.2007;8.81
17.04.2007;8.75
18.04.2007;8.4
19.04.2007;8.14
20.04.2007;8.05
21.04.2007;7.92
22.04.2007;7.93
23.04.2007;8
24.04.2007;7.97
25.04.2007;7.8
26.04.2007;7.83
27.04.2007;7.62
28.04.2007;7.35
29.04.2007;7.11
30.04.2007;6.88
1.05.2007;6.89
2.05.2007;6.66
3.05.2007;6.4
4.05.2007;6.19
5.05.2007;6.9
6.05.2007;7.85
7.05.2007;8.67
8.05.2007;8.88
9.05.2007;8.47
10.05.2007;7.92
11.05.2007;7.42
12.05.2007;6.99
13.05.2007;6.28
14.05.2007;5.62
15.05.2007;5.16
16.05.2007;4.79
17.05.2007;4.51
18.05.2007;4.18
19.05.2007;4.51
20.05.2007;5.04
21.05.2007;5.17
22.05.2007;4.82
23.05.2007;4.81
24.05.2007;5.62
25.05.2007;7.48
26.05.2007;7.27
27.05.2007;7.84
28.05.2007;7.64
29.05.2007;7.28
30.05.2007;7.24
31.05.2007;6.87
1.06.2007;6.63
2.06.2007;5.99
3.06.2007;5.24
4.06.2007;4.91
5.06.2007;4.97
6.06.2007;4.58
7.06.2007;4.32
8.06.2007;4.83
9.06.2007;5.32
10.06.2007;5.52
11.06.2007;4.85
12.06.2007;4.79
13.06.2007;5.27
14.06.2007;5.35
15.06.2007;5.3
16.06.2007;4.68
17.06.2007;5.61
18.06.2007;5.83
19.06.2007;5.26
20.06.2007;4.53
21.06.2007;3.94
22.06.2007;3.31
23.06.2007;2.97
24.06.2007;2.79
25.06.2007;2.73
26.06.2007;2.63
27.06.2007;2.57
28.06.2007;2.37
29.06.2007;2.28
30.06.2007;2.2
1.07.2007;2.51
2.07.2007;2.16
3.07.2007;2.04
4.07.2007;2
5.07.2007;2.06
6.07.2007;2.09
7.07.2007;1.99
8.07.2007;1.95
9.07.2007;1.89
10.07.2007;1.89
11.07.2007;1.95
12.07.2007;1.95
13.07.2007;1.94
14.07.2007;1.9
15.07.2007;1.83
16.07.2007;1.82
17.07.2007;1.85
18.07.2007;1.83
19.07.2007;1.8
20.07.2007;1.78
21.07.2007;1.75
22.07.2007;1.74
23.07.2007;1.72
24.07.2007;1.7
25.07.2007;1.69
26.07.2007;1.67
27.07.2007;1.66
28.07.2007;1.63
29.07.2007;1.6
30.07.2007;1.6
31.07.2007;1.59
1.08.2007;1.58
2.08.2007;1.57
3.08.2007;1.56
4.08.2007;1.55
5.08.2007;1.54
6.08.2007;1.54
7.08.2007;1.52
8.08.2007;1.53
9.08.2007;1.53
10.08.2007;1.52
11.08.2007;1.52
12.08.2007;1.5
13.08.2007;1.49
14.08.2007;1.48
15.08.2007;1.46
16.08.2007;1.44
17.08.2007;1.43
18.08.2007;1.43
19.08.2007;1.42
20.08.2007;1.41
21.08.2007;1.42
22.08.2007;1.41
23.08.2007;1.41
24.08.2007;1.41
25.08.2007;1.41
26.08.2007;1.41
27.08.2007;1.41
28.08.2007;1.4
29.08.2007;1.4
30.08.2007;1.39
