Region;Dinarides
Country;Bosnia and Herzegovina
#;2
Spring Name/Station Name;Vrelo Sturbe
Literature;
Lat;43.774
Lon;17.023
Elev (m);738
Recharge Area (km2);
Start Date;1.01.2007
End Date;31.12.2019
Resolution;Daily
Data Source;HIDROLOŠKI GODIŠNJAK, https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php#
Data License;Open data for scientific purposes
Contact For License;Bosnian Federal Hydrometeorology Service
Spring ID;DIN_02_BA
Date;Discharge m^3/s
1.01.2007;2.33
2.01.2007;2.33
3.01.2007;2.33
4.01.2007;2.33
5.01.2007;2.33
6.01.2007;2.14
7.01.2007;2.14
8.01.2007;2.14
9.01.2007;2.14
10.01.2007;2.33
11.01.2007;2.53
12.01.2007;2.53
13.01.2007;2.53
14.01.2007;2.53
15.01.2007;2.14
16.01.2007;2.14
17.01.2007;2.14
18.01.2007;2.53
19.01.2007;2.53
20.01.2007;2.53
21.01.2007;2.53
22.01.2007;2.75
23.01.2007;2.75
24.01.2007;2.75
25.01.2007;2.75
26.01.2007;4.31
27.01.2007;4.59
28.01.2007;4.88
29.01.2007;4.88
30.01.2007;4.88
31.01.2007;4.88
1.02.2007;4.59
2.02.2007;3.76
3.02.2007;2.99
4.02.2007;2.53
5.02.2007;2.14
6.02.2007;1.97
7.02.2007;2.33
8.02.2007;2.75
9.02.2007;8.07
10.02.2007;8.99
11.02.2007;12.3
12.02.2007;11.3
13.02.2007;12
14.02.2007;11.3
15.02.2007;9.31
16.02.2007;7.77
17.02.2007;6.31
18.02.2007;6.31
19.02.2007;5.74
20.02.2007;5.74
21.02.2007;5.74
22.02.2007;5.46
23.02.2007;6.31
24.02.2007;6.03
25.02.2007;4.88
26.02.2007;4.88
27.02.2007;4.88
28.02.2007;4.59
1.03.2007;4.59
2.03.2007;4.31
3.03.2007;4.31
4.03.2007;4.31
5.03.2007;4
6.03.2007;4.03
7.03.2007;4.03
8.03.2007;4.03
9.03.2007;3.76
10.03.2007;3.76
11.03.2007;3.49
12.03.2007;3.49
13.03.2007;2.99
14.03.2007;2.99
15.03.2007;2.99
16.03.2007;2.75
17.03.2007;2.75
18.03.2007;2.99
19.03.2007;3.49
20.03.2007;3.76
21.03.2007;4.03
22.03.2007;4.59
23.03.2007;4.03
24.03.2007;4.59
25.03.2007;5.17
26.03.2007;6.31
27.03.2007;6.31
28.03.2007;6.31
29.03.2007;6.31
30.03.2007;6.6
31.03.2007;6.31
1.04.2007;6.31
2.04.2007;6.31
3.04.2007;5.74
4.04.2007;5.74
5.04.2007;5.74
6.04.2007;4.59
7.04.2007;4.59
8.04.2007;4.59
9.04.2007;4.03
10.04.2007;4.03
11.04.2007;2.99
12.04.2007;2.99
13.04.2007;2.99
14.04.2007;2.99
15.04.2007;2.99
16.04.2007;2.14
17.04.2007;2.14
18.04.2007;2.14
19.04.2007;1.82
20.04.2007;1.82
21.04.2007;1.82
22.04.2007;1.97
23.04.2007;1.97
24.04.2007;1.97
25.04.2007;1.97
26.04.2007;1.97
27.04.2007;1.97
28.04.2007;2.53
29.04.2007;2.53
30.04.2007;2.53
1.05.2007;2.53
2.05.2007;2.75
3.05.2007;2.75
4.05.2007;2.99
5.05.2007;3.49
6.05.2007;12.7
7.05.2007;9.31
8.05.2007;6.6
9.05.2007;4.59
10.05.2007;4.03
11.05.2007;3.49
12.05.2007;3.23
13.05.2007;3.23
14.05.2007;2.75
15.05.2007;2.53
16.05.2007;2.33
17.05.2007;2.14
18.05.2007;2.53
19.05.2007;2.75
20.05.2007;2.99
21.05.2007;3.23
22.05.2007;2.75
23.05.2007;2.33
24.05.2007;2.14
25.05.2007;2.14
26.05.2007;2.14
27.05.2007;2.14
28.05.2007;2.14
29.05.2007;2.14
30.05.2007;1.97
31.05.2007;1.97
1.06.2007;1.82
2.06.2007;1.82
3.06.2007;1.82
4.06.2007;1.82
5.06.2007;1.82
6.06.2007;1.82
7.06.2007;2.75
8.06.2007;2.99
9.06.2007;4.03
10.06.2007;3.49
11.06.2007;2.99
12.06.2007;2.99
13.06.2007;2.99
14.06.2007;2.99
15.06.2007;2.75
16.06.2007;2.75
17.06.2007;2.75
18.06.2007;2.75
19.06.2007;2.53
20.06.2007;2.53
21.06.2007;2.53
22.06.2007;2.53
23.06.2007;2.53
24.06.2007;2.33
25.06.2007;2.33
26.06.2007;2.14
27.06.2007;2.14
28.06.2007;2.14
29.06.2007;2.14
30.06.2007;1.97
1.07.2007;1.97
2.07.2007;1.97
