Region;Dinarides
Country;Bosnia and Herzegovina
#;3
Spring Name/Station Name;Gorni Zabljak
Literature;
Lat;43.808
Lon;17.007
Elev (m);721
Recharge Area (km2);
Start Date;1.01.2007
End Date;31.12.2019
Resolution;Daily
Data Source;HIDROLOŠKI GODIŠNJAK, https://www.fhmzbih.gov.ba/latinica/HIDRO/godisnjaci.php#
Data License;Open data for scientific purposes
Contact For License;Bosnian Federal Hydrometeorological Service
Spring ID;DIN_03_BA
Date;Discharge m^3/s
1.01.2007;0.16
2.01.2007;0.16
3.01.2007;0.19
4.01.2007;0.22
5.01.2007;0.22
6.01.2007;0.22
7.01.2007;0.22
8.01.2007;0.22
9.01.2007;0.2
10.01.2007;0.2
11.01.2007;0.2
12.01.2007;0.2
13.01.2007;0.19
14.01.2007;0.19
15.01.2007;0.19
16.01.2007;0.18
17.01.2007;0.18
18.01.2007;0.18
19.01.2007;0.18
20.01.2007;0.18
21.01.2007;0.17
22.01.2007;0.17
23.01.2007;0.17
24.01.2007;0.22
25.01.2007;2.51
26.01.2007;2.03
27.01.2007;1.39
28.01.2007;0.85
29.01.2007;0.7
30.01.2007;0.56
31.01.2007;0.44
1.02.2007;0.44
2.02.2007;0.39
3.02.2007;0.39
4.02.2007;0.34
5.02.2007;0.34
6.02.2007;0.34
7.02.2007;0.34
8.02.2007;0.34
9.02.2007;2.51
10.02.2007;4.44
11.02.2007;11.3
12.02.2007;9.76
13.02.2007;10.4
14.02.2007;9.55
15.02.2007;6.12
16.02.2007;3.86
17.02.2007;2.51
18.02.2007;1.92
19.02.2007;1.19
20.02.2007;1.19
21.02.2007;1.81
22.02.2007;1.49
23.02.2007;1.19
24.02.2007;1.02
25.02.2007;0.77
26.02.2007;0.7
27.02.2007;3.86
28.02.2007;2.51
1.03.2007;1.59
2.03.2007;1.19
3.03.2007;0.85
4.03.2007;0.7
5.03.2007;0.5
6.03.2007;0.44
7.03.2007;0.34
8.03.2007;4.01
9.03.2007;3.57
10.03.2007;2.77
11.03.2007;1.92
12.03.2007;1.19
13.03.2007;0.85
14.03.2007;0.7
15.03.2007;0.5
16.03.2007;0.44
17.03.2007;0.44
18.03.2007;0.44
19.03.2007;0.34
20.03.2007;0.56
21.03.2007;2.77
22.03.2007;1.92
23.03.2007;1.81
24.03.2007;1.81
25.03.2007;2.51
26.03.2007;3.16
27.03.2007;3.86
28.03.2007;3.57
29.03.2007;4.44
30.03.2007;3.86
31.03.2007;3.57
1.04.2007;2.77
2.04.2007;2.27
3.04.2007;1.92
4.04.2007;1.59
5.04.2007;1.39
6.04.2007;1.02
7.04.2007;0.77
8.04.2007;0.56
9.04.2007;0.44
10.04.2007;0.44
11.04.2007;0.39
12.04.2007;0.34
13.04.2007;0.34
14.04.2007;0.3
15.04.2007;0.27
16.04.2007;0.27
17.04.2007;0.27
18.04.2007;0.27
19.04.2007;0.24
20.04.2007;0.24
21.04.2007;0.22
22.04.2007;0.2
23.04.2007;0.19
24.04.2007;0.19
25.04.2007;0.19
26.04.2007;0.19
27.04.2007;0.19
28.04.2007;0.19
29.04.2007;0.19
30.04.2007;0.19
1.05.2007;0.19
2.05.2007;0.19
3.05.2007;0.19
4.05.2007;0.19
5.05.2007;0.19
6.05.2007;20.4
7.05.2007;9.55
8.05.2007;4.01
9.05.2007;2.51
10.05.2007;1.7
11.05.2007;1.19
12.05.2007;1.02
13.05.2007;0.85
14.05.2007;0.7
15.05.2007;0.56
16.05.2007;0.5
17.05.2007;0.44
18.05.2007;0.44
19.05.2007;0.39
20.05.2007;0.34
21.05.2007;0.27
22.05.2007;0.27
23.05.2007;0.27
24.05.2007;0.27
25.05.2007;0.27
26.05.2007;0.27
27.05.2007;0.27
28.05.2007;0.27
29.05.2007;0.34
30.05.2007;0.44
31.05.2007;0.5
1.06.2007;0.56
2.06.2007;0.5
3.06.2007;0.44
4.06.2007;0.44
5.06.2007;0.56
6.06.2007;0.56
7.06.2007;0.56
8.06.2007;0.56
9.06.2007;5.04
10.06.2007;2.51
11.06.2007;1.7
12.06.2007;1.1
13.06.2007;0.85
14.06.2007;0.77
15.06.2007;0.7
16.06.2007;0.63
17.06.2007;0.56
18.06.2007;0.44
19.06.2007;0.44
20.06.2007;0.44
21.06.2007;0.44
22.06.2007;0.44
23.06.2007;0.39
24.06.2007;0.39
25.06.2007;0.3
26.06.2007;0.27
27.06.2007;0.3
28.06.2007;0.27
29.06.2007;0.27
30.06.2007;0.27
1.07.2007;0.27
2.07.2007;0.34
3.07.2007;0.27
4.07.2007;0.27
5.07.2007;0.27
6.07.2007;0.24
7.07.2007;0.24
8.07.2007;0.24
9.07.2007;0.24
10.07.2007;0.24
11.07.2007;0.27
12.07.2007;0.24
13.07.2007;0.22
14.07.2007;0.22
15.07.2007;0.22
16.07.2007;0.22
17.07.2007;0.22
18.07.2007;0.22
19.07.2007;0.22
20.07.2007;0.2
21.07.2007;0.2
22.07.2007;0.2
23.07.2007;0.2
24.07.2007;0.19
25.07.2007;0.19
26.07.2007;0.18
27.07.2007;0.18
28.07.2007;0.18
29.07.2007;0.18
30.07.2007;0.18
31.07.2007;0.19
1.08.2007;0.18
2.08.2007;0.18
3.08.2007;0.18
4.08.2007;0.18
5.08.2007;0.17
6.08.2007;0.18
7.08.2007;0.19
8.08.2007;0.22
9.08.2007;0.22
10.08.2007;0.19
11.08.2007;0.19
12.08.2007;0.18
13.08.2007;0.18
14.08.2007;0.18
15.08.2007;0.18
16.08.2007;0.18
17.08.2007;0.18
18.08.2007;0.18
19.08.2007;0.17
20.08.2007;0.16
21.08.2007;0.16
22.08.2007;0.16
23.08.2007;0.16
24.08.2007;0.16
25.08.2007;0.17
26.08.2007;0.17
27.08.2007;0.19
28.08.2007;0.22
29.08.2007;0.19
30.08.2007;0.22
31.08.2007;0.17
1.09.2007;0.17
2.09.2007;0.17
3.09.2007;0.18
4.09.2007;0.19
5.09.2007;0.19
6.09.2007;0.19
7.09.2007;0.17
8.09.2007;0.17
9.09.2007;0.17
10.09.2007;0.19
11.09.2007;0.22
12.09.2007;0.19
13.09.2007;0.17
14.09.2007;0.17
15.09.2007;0.17
