Region;Dinarides
Country;Croatia
#;8
Spring Name/Station Name;Vrelo Zrmanja
Literature;"Bonacci (1999); Bonacci and Roje-Bonacci (2015)"
Lat;44.203
Lon;16.083
Elev (m);325
Recharge Area (km2);
Start Date;1.01.1977
End Date;31.12.2014
Resolution;Daily
Data Source;https://hidro.dhz.hr/
Data License;open data for scientific purposes
Contact For License;Croatian Hydrometeorological Service
Spring ID;DIN_08_HR
Date;Discharge m^3/s
1.01.1977;3.82
2.01.1977;3.53
3.01.1977;5.02
4.01.1977;10.2
5.01.1977;3.82
6.01.1977;6.97
7.01.1977;6.63
8.01.1977;6.3
9.01.1977;5.97
10.01.1977;5.97
11.01.1977;5.97
12.01.1977;13.3
13.01.1977;14.1
14.01.1977;10.2
15.01.1977;7.31
16.01.1977;10.2
17.01.1977;8
18.01.1977;6.63
19.01.1977;5.97
20.01.1977;5.97
21.01.1977;5.65
22.01.1977;5.33
23.01.1977;4.71
24.01.1977;5.33
25.01.1977;5.97
26.01.1977;5.97
27.01.1977;18.4
28.01.1977;13.3
29.01.1977;8.72
30.01.1977;13.3
31.01.1977;10.2
1.02.1977;19.2
2.02.1977;13.3
3.02.1977;9.81
4.02.1977;7.31
5.02.1977;6.3
6.02.1977;5.97
7.02.1977;5.97
8.02.1977;5.97
9.02.1977;5.97
10.02.1977;5.97
11.02.1977;31.7
12.02.1977;20.1
13.02.1977;21
14.02.1977;8.72
15.02.1977;8
16.02.1977;5.97
17.02.1977;5.97
18.02.1977;5.97
19.02.1977;5.97
20.02.1977;5.97
21.02.1977;5.97
22.02.1977;19.2
23.02.1977;14.1
24.02.1977;10.9
25.02.1977;7.31
26.02.1977;6.63
27.02.1977;7.31
28.02.1977;8
1.03.1977;6.63
2.03.1977;5.97
3.03.1977;5.97
4.03.1977;5.97
5.03.1977;5.33
6.03.1977;5.02
7.03.1977;4.71
8.03.1977;4.71
9.03.1977;4.4
10.03.1977;4.4
11.03.1977;4.11
12.03.1977;4.11
13.03.1977;7.31
14.03.1977;6.63
15.03.1977;5.97
16.03.1977;5.33
17.03.1977;4.71
18.03.1977;4.71
19.03.1977;4.4
20.03.1977;4.71
21.03.1977;5.33
22.03.1977;5.02
23.03.1977;4.71
24.03.1977;4.71
25.03.1977;4.4
26.03.1977;4.11
27.03.1977;4.11
28.03.1977;3.82
29.03.1977;3.53
30.03.1977;3.53
31.03.1977;8
1.04.1977;5.97
2.04.1977;6.3
3.04.1977;5.97
4.04.1977;6.63
5.04.1977;6.3
6.04.1977;6.63
7.04.1977;6.3
8.04.1977;6.3
9.04.1977;22
10.04.1977;22
11.04.1977;13.3
12.04.1977;10.9
13.04.1977;7.31
14.04.1977;6.97
15.04.1977;7.31
16.04.1977;7.65
17.04.1977;6.97
18.04.1977;6.97
19.04.1977;6.97
20.04.1977;6.97
21.04.1977;6.3
22.04.1977;5.97
23.04.1977;5.97
24.04.1977;5.97
25.04.1977;5.65
26.04.1977;5.33
27.04.1977;5.33
28.04.1977;5.33
29.04.1977;5.02
30.04.1977;4.71
1.05.1977;4.71
2.05.1977;4.4
3.05.1977;4.11
4.05.1977;3.82
5.05.1977;3.82
6.05.1977;3.53
7.05.1977;3.53
8.05.1977;3.25
9.05.1977;3.25
10.05.1977;2.98
11.05.1977;2.98
12.05.1977;2.71
13.05.1977;2.71
14.05.1977;2.71
15.05.1977;2.71
16.05.1977;2.98
17.05.1977;3.53
18.05.1977;3.53
19.05.1977;3.25
20.05.1977;2.98
21.05.1977;2.71
22.05.1977;2.71
23.05.1977;2.45
24.05.1977;2.45
25.05.1977;2.45
26.05.1977;2.45
27.05.1977;2.45
28.05.1977;2.45
29.05.1977;2.2
30.05.1977;2.2
31.05.1977;2.2
1.06.1977;2.2
2.06.1977;2.2
3.06.1977;1.95
4.06.1977;1.95
5.06.1977;1.95
6.06.1977;1.95
7.06.1977;1.71
8.06.1977;1.71
9.06.1977;1.71
10.06.1977;1.71
11.06.1977;1.71
12.06.1977;1.71
13.06.1977;1.48
14.06.1977;1.48
15.06.1977;1.48
16.06.1977;1.48
17.06.1977;1.48
18.06.1977;1.48
