Region;Dinarides
Country;Croatia
#;9
Spring Name/Station Name;Ljeskovac
Literature;Yes
Lat;43.509
Lon;17.096
Elev (m);410
Recharge Area (km2);
Start Date;1.01.1982
End Date;31.12.2023
Resolution;Daily
Data Source;https://hidro.dhz.hr/
Data License;Open data for scientific purposes
Contact For License;Croatian Hydrometeorological Service
Spring ID;DIN_09_HR
Date;Discharge m^3/s
1.01.1982 03:00;5.756
2.01.1982 03:00;5.536
3.01.1982 03:00;4.913
4.01.1982 03:00;4.526
5.01.1982 03:00;3.821
6.01.1982 03:00;3.658
7.01.1982 03:00;3.351
8.01.1982 03:00;3.206
9.01.1982 03:00;2.933
10.01.1982 03:00;2.805
11.01.1982 03:00;2.566
12.01.1982 03:00;2.566
13.01.1982 03:00;2.455
14.01.1982 03:00;2.455
15.01.1982 03:00;2.25
16.01.1982 03:00;2.25
17.01.1982 03:00;2.156
18.01.1982 03:00;2.156
19.01.1982 03:00;2.068
20.01.1982 03:00;1.985
21.01.1982 03:00;1.909
22.01.1982 03:00;1.838
23.01.1982 03:00;1.838
24.01.1982 03:00;1.772
25.01.1982 03:00;1.772
26.01.1982 03:00;1.71
27.01.1982 03:00;1.648
28.01.1982 03:00;1.585
29.01.1982 03:00;1.585
30.01.1982 03:00;1.522
31.01.1982 03:00;1.522
1.02.1982 03:00;1.46
2.02.1982 03:00;1.397
3.02.1982 03:00;1.397
4.02.1982 03:00;1.335
5.02.1982 03:00;1.335
6.02.1982 03:00;1.397
7.02.1982 03:00;1.397
8.02.1982 03:00;1.335
9.02.1982 03:00;1.272
10.02.1982 03:00;1.209
11.02.1982 03:00;1.147
12.02.1982 03:00;1.084
13.02.1982 03:00;1.084
14.02.1982 03:00;1.084
15.02.1982 03:00;1.022
16.02.1982 03:00;1.022
17.02.1982 03:00;1.022
18.02.1982 03:00;1.022
19.02.1982 03:00;1.022
20.02.1982 03:00;1.022
21.02.1982 03:00;1.022
22.02.1982 03:00;0.959
23.02.1982 03:00;0.959
24.02.1982 03:00;0.959
25.02.1982 03:00;0.959
26.02.1982 03:00;0.896
27.02.1982 03:00;0.896
28.02.1982 03:00;0.896
1.03.1982 03:00;0.896
2.03.1982 03:00;0.896
3.03.1982 03:00;0.896
4.03.1982 03:00;0.896
5.03.1982 03:00;0.896
6.03.1982 03:00;0.834
7.03.1982 03:00;0.834
8.03.1982 03:00;0.896
9.03.1982 03:00;0.771
10.03.1982 03:00;0.771
11.03.1982 03:00;1.209
12.03.1982 03:00;1.209
13.03.1982 03:00;1.022
14.03.1982 03:00;0.959
15.03.1982 03:00;0.896
16.03.1982 03:00;0.896
17.03.1982 03:00;0.959
18.03.1982 03:00;1.147
19.03.1982 03:00;1.46
20.03.1982 03:00;1.272
21.03.1982 03:00;1.272
22.03.1982 03:00;1.209
23.03.1982 03:00;1.084
24.03.1982 03:00;1.084
25.03.1982 03:00;1.022
26.03.1982 03:00;1.084
27.03.1982 03:00;1.272
28.03.1982 03:00;1.585
29.03.1982 03:00;2.35
30.03.1982 03:00;3.821
31.03.1982 03:00;4.162
1.04.1982 03:00;3.988
2.04.1982 03:00;3.821
3.04.1982 03:00;3.821
4.04.1982 03:00;3.821
5.04.1982 03:00;3.988
6.04.1982 03:00;3.658
7.04.1982 03:00;3.502
8.04.1982 03:00;3.351
9.04.1982 03:00;3.206
10.04.1982 03:00;3.067
11.04.1982 03:00;2.805
12.04.1982 03:00;2.682
13.04.1982 03:00;2.566
14.04.1982 03:00;2.455
15.04.1982 03:00;2.455
16.04.1982 03:00;2.455
17.04.1982 03:00;2.35
18.04.1982 03:00;2.455
19.04.1982 03:00;3.067
20.04.1982 03:00;3.206
21.04.1982 03:00;3.206
22.04.1982 03:00;3.351
23.04.1982 03:00;3.206
24.04.1982 03:00;3.206
25.04.1982 03:00;3.067
26.04.1982 03:00;3.067
27.04.1982 03:00;2.933
28.04.1982 03:00;2.933
29.04.1982 03:00;2.805
30.04.1982 03:00;2.682
1.05.1982 03:00;2.566
2.05.1982 03:00;2.455
3.05.1982 03:00;2.455
4.05.1982 03:00;2.35
5.05.1982 03:00;2.35
6.05.1982 03:00;2.455
7.05.1982 03:00;2.455
8.05.1982 03:00;2.455
9.05.1982 03:00;2.566
10.05.1982 03:00;2.455
11.05.1982 03:00;2.35
12.05.1982 03:00;2.35
13.05.1982 03:00;2.25
14.05.1982 03:00;2.068
15.05.1982 03:00;1.985
16.05.1982 03:00;1.909
17.05.1982 03:00;1.838
