Region;Hellenides
Country;Albania
#;2
Spring Name/Station Name;Blue Eye
Literature;Eftimi and Malik (2019)
Lat;39.552
Lon;20.113
Elev (m);152
Recharge Area (km2);400
Start Date;1.01.1968
End Date;31.12.1973
Resolution;Daily
Data Source;Romeo Eftimi
Data License;open data
Contact For License;Romeo Eftimi
Spring ID;HEL_02_AL
Date;Discharge m^3/s
1.01.1968;21.4
2.01.1968;20.9
3.01.1968;23.3
4.01.1968;25
5.01.1968;21.4
6.01.1968;22.6
7.01.1968;20.7
8.01.1968;22.8
9.01.1968;24.5
10.01.1968;21.4
11.01.1968;22.8
12.01.1968;21.9
13.01.1968;21.9
14.01.1968;20.4
15.01.1968;23.3
16.01.1968;20.8
17.01.1968;19.6
18.01.1968;21.6
19.01.1968;21.6
20.01.1968;21
21.01.1968;20.7
22.01.1968;20.1
23.01.1968;21.7
24.01.1968;20.6
25.01.1968;21.8
26.01.1968;20.7
27.01.1968;19.6
28.01.1968;20.7
29.01.1968;20.3
30.01.1968;21.1
31.01.1968;21.6
1.02.1968;19.7
2.02.1968;20.5
3.02.1968;21.9
4.02.1968;18.8
5.02.1968;20.3
6.02.1968;20.5
7.02.1968;20.1
8.02.1968;20.5
9.02.1968;19.7
10.02.1968;19.9
11.02.1968;19.8
12.02.1968;20.7
13.02.1968;19.7
14.02.1968;20
15.02.1968;19.5
16.02.1968;20.9
17.02.1968;21.4
18.02.1968;22.1
19.02.1968;21.8
20.02.1968;22.6
21.02.1968;21.7
22.02.1968;21
23.02.1968;21.3
24.02.1968;20.9
25.02.1968;20.9
26.02.1968;20.3
27.02.1968;20.9
28.02.1968;21.6
29.02.1968;21.2
1.03.1968;20
2.03.1968;20.3
3.03.1968;20.2
4.03.1968;20.4
5.03.1968;19.1
6.03.1968;20.5
7.03.1968;20.8
8.03.1968;19.4
9.03.1968;19.9
10.03.1968;19.7
11.03.1968;20.5
12.03.1968;21
13.03.1968;21.6
14.03.1968;20.7
15.03.1968;20.7
16.03.1968;22.1
17.03.1968;19.7
18.03.1968;21.7
19.03.1968;20.3
20.03.1968;19.8
21.03.1968;20.6
22.03.1968;20.6
23.03.1968;21.1
24.03.1968;17.4
25.03.1968;20.4
26.03.1968;20.2
27.03.1968;19.6
28.03.1968;20.5
29.03.1968;19.4
30.03.1968;19.6
31.03.1968;18
1.04.1968;20.5
2.04.1968;19.3
3.04.1968;18.9
4.04.1968;20.3
5.04.1968;18.9
6.04.1968;18.8
7.04.1968;19.2
8.04.1968;19.1
9.04.1968;21.2
10.04.1968;18.3
11.04.1968;19.3
12.04.1968;18.6
13.04.1968;19.5
14.04.1968;21.3
15.04.1968;20.1
16.04.1968;18.7
17.04.1968;18.2
18.04.1968;19.6
19.04.1968;18.2
20.04.1968;19.3
21.04.1968;21
22.04.1968;19.3
23.04.1968;18.9
24.04.1968;18
25.04.1968;18.9
26.04.1968;19.6
27.04.1968;18.6
28.04.1968;17.2
29.04.1968;18.1
30.04.1968;18.7
1.05.1968;16
2.05.1968;18.8
3.05.1968;22.9
4.05.1968;17.9
5.05.1968;16.6
6.05.1968;13.3
7.05.1968;17.9
8.05.1968;14
9.05.1968;15.3
10.05.1968;18.1
11.05.1968;18.9
12.05.1968;15.8
13.05.1968;18.1
14.05.1968;18.2
15.05.1968;18.2
16.05.1968;15.5
17.05.1968;18.5
18.05.1968;19
19.05.1968;19
20.05.1968;19.3
21.05.1968;15.1
22.05.1968;14.7
23.05.1968;16.9
24.05.1968;17.5
25.05.1968;16.8
26.05.1968;15.9
27.05.1968;17.8
28.05.1968;17.5
29.05.1968;16.4
30.05.1968;21
31.05.1968;16
1.06.1968;17.5
2.06.1968;15.6
3.06.1968;17.3
4.06.1968;17.1
5.06.1968;17.6
6.06.1968;17
7.06.1968;17.8
8.06.1968;17.8
9.06.1968;17.9
10.06.1968;17.9
11.06.1968;16.6
12.06.1968;15.6
13.06.1968;17.2
14.06.1968;16
15.06.1968;18.9
16.06.1968;15.4
17.06.1968;17.6
18.06.1968;16.1
19.06.1968;16.3
20.06.1968;16.4
21.06.1968;17.8
22.06.1968;15.2
23.06.1968;15.1
24.06.1968;16.1
25.06.1968;15.8
26.06.1968;16.5
27.06.1968;16.5
28.06.1968;16.1
29.06.1968;16.7
30.06.1968;17.2
1.07.1968;18
2.07.1968;18.7
3.07.1968;17.1
4.07.1968;14.2
5.07.1968;18
6.07.1968;15.8
7.07.1968;15.9
8.07.1968;19
9.07.1968;17.8
10.07.1968;16.9
11.07.1968;16.7
12.07.1968;15.4
13.07.1968;13
14.07.1968;14
15.07.1968;15.8
16.07.1968;15
17.07.1968;15.7
18.07.1968;15.6
19.07.1968;16.6
20.07.1968;16.1
21.07.1968;12.5
22.07.1968;17.4
23.07.1968;11.8
24.07.1968;15.2
25.07.1968;15.5
26.07.1968;14.9
27.07.1968;17.5
28.07.1968;13.6
29.07.1968;13.3
30.07.1968;14
31.07.1968;14.8
1.08.1968;15.8
2.08.1968;16.7
3.08.1968;15.6
4.08.1968;14.2
5.08.1968;14.4
6.08.1968;14.9
7.08.1968;14.7
8.08.1968;14.2
9.08.1968;14.7
10.08.1968;14.1
11.08.1968;13
12.08.1968;14.5
13.08.1968;14.2
14.08.1968;14.4
15.08.1968;13.5
16.08.1968;15.2
17.08.1968;15.1
18.08.1968;13
19.08.1968;14.3
20.08.1968;16.6
21.08.1968;15.8
22.08.1968;13.4
23.08.1968;15.1
24.08.1968;14.7
25.08.1968;12.7
26.08.1968;15.3
27.08.1968;18.2
28.08.1968;12.6
