Region;French Jura
Country;France
#;2
Spring Name/Station Name;La Loue
Literature;Vivier et al. (2025)
Lat;47.011
Lon;6.299
Elev (m);530
Recharge Area (km2);200
Start Date;21.02.1969
End Date;30.12.2024
Resolution;Daily
Data Source;EDF
Data License;Permission obtained by JB Charlier
Contact For License;
Spring ID;JUR_02_FR
Date;Discharge m^3/s
1969-02-21T00:00:00.000Z;1.24
1969-02-22T00:00:00.000Z;1.06
1969-02-23T00:00:00.000Z;1.26
1969-02-24T00:00:00.000Z;3.51
1969-02-25T00:00:00.000Z;2.55
1969-02-26T00:00:00.000Z;1.24
1969-02-27T00:00:00.000Z;0.88
1969-02-28T00:00:00.000Z;0.82
1969-03-01T00:00:00.000Z;0.66
1969-03-02T00:00:00.000Z;0.66
1969-03-03T00:00:00.000Z;0.82
1969-03-04T00:00:00.000Z;0.76
1969-03-05T00:00:00.000Z;0.62
1969-03-06T00:00:00.000Z;0.454
1969-03-07T00:00:00.000Z;0.372
1969-03-08T00:00:00.000Z;0.331
1969-03-09T00:00:00.000Z;0.29
1969-03-10T00:00:00.000Z;0.29
1969-03-11T00:00:00.000Z;0.454
1969-03-12T00:00:00.000Z;1.12
1969-03-13T00:00:00.000Z;1.94
1969-03-14T00:00:00.000Z;3.1
1969-03-15T00:00:00.000Z;1.41
1969-03-16T00:00:00.000Z;0.575
1969-03-17T00:00:00.000Z;0.62
1969-03-18T00:00:00.000Z;0.495
1969-03-19T00:00:00.000Z;0.413
1969-03-20T00:00:00.000Z;0.331
1969-03-21T00:00:00.000Z;0.268
1969-03-22T00:00:00.000Z;0.245
1969-03-23T00:00:00.000Z;1.48
1969-03-24T00:00:00.000Z;1.06
1969-03-25T00:00:00.000Z;0.54
1969-03-26T00:00:00.000Z;0.455
1969-03-27T00:00:00.000Z;0.455
1969-03-28T00:00:00.000Z;0.372
1969-03-29T00:00:00.000Z;0.29
1969-03-30T00:00:00.000Z;0.245
1969-03-31T00:00:00.000Z;0.585
1969-04-01T00:00:00.000Z;2
1969-04-02T00:00:00.000Z;1.18
1969-04-03T00:00:00.000Z;0.57
1969-04-28T00:00:00.000Z;2.76
1969-04-29T00:00:00.000Z;1.06
1969-04-30T00:00:00.000Z;0.7
1969-05-01T00:00:00.000Z;0.535
1969-05-02T00:00:00.000Z;0.413
1969-05-03T00:00:00.000Z;0.372
1969-05-04T00:00:00.000Z;0.372
1969-05-05T00:00:00.000Z;0.331
1969-05-06T00:00:00.000Z;1.45
1969-05-07T00:00:00.000Z;1.89
1969-05-08T00:00:00.000Z;1.12
1969-05-09T00:00:00.000Z;0.82
1969-05-10T00:00:00.000Z;0.62
1969-05-11T00:00:00.000Z;0.454
1969-05-12T00:00:00.000Z;0.331
1969-05-13T00:00:00.000Z;0.268
1969-05-14T00:00:00.000Z;0.222
1969-05-15T00:00:00.000Z;0.199
