Region;French Jura
Country;France
#;3
Spring Name/Station Name;Lison
Literature;Charlier et al. (2019)
Lat;46.967
Lon;6.011
Elev (m);420
Recharge Area (km2);170
Start Date;6.11.1993
End Date;1.01.2024
Resolution;Daily
Data Source;eaufrance hydroportail (from Jean-Baptiste Charlier)
Data License;CC BY 4.0
Contact For License;Jean Baptiste Charlier
Spring ID;JUR_03_FR
Date;Discharge m^3/s
1993-11-06T00:00:00.000Z;1.25
1993-11-07T00:00:00.000Z;1.13
1993-11-08T00:00:00.000Z;1.03
1993-11-09T00:00:00.000Z;0.974
1993-11-10T00:00:00.000Z;0.962
1993-11-11T00:00:00.000Z;0.957
1993-11-12T00:00:00.000Z;0.953
1993-11-13T00:00:00.000Z;0.949
1993-11-14T00:00:00.000Z;0.944
1993-11-15T00:00:00.000Z;0.955
1993-11-16T00:00:00.000Z;1.14
1993-11-17T00:00:00.000Z;1.31
1993-11-18T00:00:00.000Z;1.18
1993-11-19T00:00:00.000Z;1.12
1993-11-20T00:00:00.000Z;1.09
1993-11-21T00:00:00.000Z;1.02
1993-11-22T00:00:00.000Z;0.975
1993-11-23T00:00:00.000Z;0.945
1993-11-24T00:00:00.000Z;0.897
1993-11-25T00:00:00.000Z;0.973
1993-11-26T00:00:00.000Z;1.22
1993-11-27T00:00:00.000Z;1.22
1993-11-28T00:00:00.000Z;1.1
1993-11-29T00:00:00.000Z;1.05
1993-11-30T00:00:00.000Z;1
1993-12-01T00:00:00.000Z;0.95
1993-12-02T00:00:00.000Z;0.921
1993-12-03T00:00:00.000Z;0.924
1993-12-04T00:00:00.000Z;1.06
1993-12-05T00:00:00.000Z;1.58
1993-12-06T00:00:00.000Z;2.11
1993-12-07T00:00:00.000Z;1.82
1993-12-08T00:00:00.000Z;2.82
1993-12-09T00:00:00.000Z;4.84
1993-12-10T00:00:00.000Z;5.21
1993-12-11T00:00:00.000Z;6.75
1993-12-12T00:00:00.000Z;5.78
1993-12-13T00:00:00.000Z;4.4
1993-12-14T00:00:00.000Z;5.49
1993-12-15T00:00:00.000Z;5.45
1993-12-16T00:00:00.000Z;6.05
1993-12-17T00:00:00.000Z;6.57
1993-12-18T00:00:00.000Z;7.67
1993-12-19T00:00:00.000Z;7.17
1993-12-20T00:00:00.000Z;9.29
1993-12-21T00:00:00.000Z;9.02
1993-12-22T00:00:00.000Z;8.07
1993-12-23T00:00:00.000Z;8.01
1993-12-24T00:00:00.000Z;8.28
1993-12-25T00:00:00.000Z;7.32
1993-12-26T00:00:00.000Z;5.77
1993-12-27T00:00:00.000Z;4.45
1993-12-28T00:00:00.000Z;3.47
1993-12-29T00:00:00.000Z;3.16
1993-12-30T00:00:00.000Z;5.31
1993-12-31T00:00:00.000Z;7.75
1994-01-01T00:00:00.000Z;9.13
1994-01-02T00:00:00.000Z;8.6
1994-01-03T00:00:00.000Z;8.93
1994-01-04T00:00:00.000Z;9.48
1994-01-05T00:00:00.000Z;8.99
1994-01-06T00:00:00.000Z;8.53
1994-01-07T00:00:00.000Z;8.02
1994-01-08T00:00:00.000Z;7.27
1994-01-09T00:00:00.000Z;6.11
1994-01-10T00:00:00.000Z;4.87
1994-01-11T00:00:00.000Z;3.66
1994-01-12T00:00:00.000Z;3.29
1994-01-13T00:00:00.000Z;3.94
1994-01-14T00:00:00.000Z;6.22
1994-01-15T00:00:00.000Z;6.7
1994-01-16T00:00:00.000Z;5.68
1994-01-17T00:00:00.000Z;4.27
1994-01-18T00:00:00.000Z;3.31
1994-01-19T00:00:00.000Z;3.01
1994-01-20T00:00:00.000Z;2.46
1994-01-21T00:00:00.000Z;2.02
1994-01-22T00:00:00.000Z;1.73
1994-01-23T00:00:00.000Z;1.63
1994-01-24T00:00:00.000Z;3.46
1994-01-25T00:00:00.000Z;9.32
1994-01-26T00:00:00.000Z;9.72
1994-01-27T00:00:00.000Z;8.61
1994-01-28T00:00:00.000Z;8.07
1994-01-29T00:00:00.000Z;7.39
1994-01-30T00:00:00.000Z;6.06
1994-01-31T00:00:00.000Z;4.76
1994-02-01T00:00:00.000Z;3.51
1994-02-02T00:00:00.000Z;3.07
1994-02-03T00:00:00.000Z;2.63
1994-02-04T00:00:00.000Z;2.19
1994-02-05T00:00:00.000Z;1.94
1994-02-06T00:00:00.000Z;1.95
1994-02-07T00:00:00.000Z;2.58
1994-02-08T00:00:00.000Z;3.07
1994-02-09T00:00:00.000Z;2.73
1994-02-10T00:00:00.000Z;2.9
1994-02-11T00:00:00.000Z;2.77
1994-02-12T00:00:00.000Z;2.32
1994-02-13T00:00:00.000Z;2.05
1994-02-14T00:00:00.000Z;1.8
1994-02-15T00:00:00.000Z;1.61
1994-02-16T00:00:00.000Z;1.47
1994-02-17T00:00:00.000Z;1.36
1994-02-18T00:00:00.000Z;1.29
1994-02-19T00:00:00.000Z;1.25
1994-02-20T00:00:00.000Z;1.52
