Region;French Jura
Country;France
#;4
Spring Name/Station Name;Verneau
Literature;Vivier et al. (2025)
Lat;46.978
Lon;6.002
Elev (m);375
Recharge Area (km2);13
Start Date;29.09.1976
End Date;7.12.2022
Resolution;Daily
Data Source;eaufrance hydroportail (from Jean-Baptiste Charlier)
Data License;CC BY 4.0
Contact For License;
Spring ID;JUR_04_FR
Date;Discharge m^3/s
1976-09-29T00:00:00.000Z;6.94
1976-09-30T00:00:00.000Z;7.68
1976-10-01T00:00:00.000Z;4.55
1976-10-02T00:00:00.000Z;3.56
1976-10-03T00:00:00.000Z;2.92
1976-10-04T00:00:00.000Z;2.8
1976-10-05T00:00:00.000Z;7.13
1976-10-06T00:00:00.000Z;6.7
1976-10-07T00:00:00.000Z;4.28
1976-10-08T00:00:00.000Z;2.92
1976-10-09T00:00:00.000Z;2.02
1976-10-10T00:00:00.000Z;1.73
1976-10-11T00:00:00.000Z;1.58
1976-10-12T00:00:00.000Z;1.46
1976-10-13T00:00:00.000Z;1.39
1976-10-14T00:00:00.000Z;1.35
1976-10-15T00:00:00.000Z;1.3
1976-10-16T00:00:00.000Z;1.23
1976-10-17T00:00:00.000Z;1.19
1976-10-18T00:00:00.000Z;1.19
1976-10-19T00:00:00.000Z;1.19
1976-10-20T00:00:00.000Z;1.23
1976-10-21T00:00:00.000Z;1.33
1976-10-22T00:00:00.000Z;1.28
1976-10-23T00:00:00.000Z;1.23
1976-10-24T00:00:00.000Z;1.18
1976-10-25T00:00:00.000Z;1.1
1976-10-26T00:00:00.000Z;1.01
1976-10-27T00:00:00.000Z;0.919
1976-10-28T00:00:00.000Z;0.898
1976-10-29T00:00:00.000Z;1.18
1976-10-30T00:00:00.000Z;1.35
1976-10-31T00:00:00.000Z;1.45
1976-11-01T00:00:00.000Z;1.52
1976-11-02T00:00:00.000Z;1.52
1976-11-03T00:00:00.000Z;3.5
1976-11-04T00:00:00.000Z;11
1976-11-05T00:00:00.000Z;10.5
1976-11-06T00:00:00.000Z;9.25
1976-11-07T00:00:00.000Z;11.1
1976-11-08T00:00:00.000Z;11.4
1976-11-09T00:00:00.000Z;9.49
1976-11-10T00:00:00.000Z;10.1
1976-11-11T00:00:00.000Z;18
1976-11-12T00:00:00.000Z;15.9
1976-11-13T00:00:00.000Z;12.5
1976-11-14T00:00:00.000Z;13
1976-11-15T00:00:00.000Z;11.3
1976-11-16T00:00:00.000Z;9.59
1976-11-17T00:00:00.000Z;7.3
1976-11-18T00:00:00.000Z;5.24
1976-11-19T00:00:00.000Z;3.96
1976-11-20T00:00:00.000Z;2.79
1976-11-21T00:00:00.000Z;2.09
1976-11-22T00:00:00.000Z;1.91
1976-11-23T00:00:00.000Z;1.77
1976-11-24T00:00:00.000Z;1.63
1976-11-25T00:00:00.000Z;1.52
1976-11-26T00:00:00.000Z;1.55
1976-11-27T00:00:00.000Z;1.67
1976-11-28T00:00:00.000Z;1.68
1976-11-29T00:00:00.000Z;2.04
1976-11-30T00:00:00.000Z;4.06
1976-12-01T00:00:00.000Z;11.6
1976-12-02T00:00:00.000Z;17.9
1976-12-03T00:00:00.000Z;15
1976-12-04T00:00:00.000Z;12.2
1976-12-05T00:00:00.000Z;9.98
1976-12-06T00:00:00.000Z;8.6
1976-12-07T00:00:00.000Z;19
1976-12-08T00:00:00.000Z;23.3
1976-12-09T00:00:00.000Z;20.6
1976-12-10T00:00:00.000Z;23.5
1976-12-11T00:00:00.000Z;18.8
1976-12-12T00:00:00.000Z;13.6
1976-12-13T00:00:00.000Z;11.4
1976-12-14T00:00:00.000Z;9.75
1976-12-15T00:00:00.000Z;7.87
1976-12-16T00:00:00.000Z;5.37
1976-12-17T00:00:00.000Z;4.07
1976-12-18T00:00:00.000Z;5.13
1976-12-19T00:00:00.000Z;6.62
1976-12-20T00:00:00.000Z;5.68
1976-12-21T00:00:00.000Z;4.81
1976-12-22T00:00:00.000Z;4.02
1976-12-23T00:00:00.000Z;3.25
1976-12-24T00:00:00.000Z;2.78
1976-12-25T00:00:00.000Z;2.4
1976-12-26T00:00:00.000Z;2.04
1976-12-27T00:00:00.000Z;1.84
1976-12-28T00:00:00.000Z;1.82
1976-12-29T00:00:00.000Z;1.59
1976-12-30T00:00:00.000Z;1.46
1976-12-31T00:00:00.000Z;1.39
1977-01-01T00:00:00.000Z;4.69
1977-01-02T00:00:00.000Z;10.4
