Region;Levant
Country;Israel
#;3
Spring Name/Station Name;Banias
Literature;Ben-Zur et al. (2025)
Lat;33.248
Lon;35.695
Elev (m);390
Recharge Area (km2);120
Start Date;29.03.1968
End Date;30.09.2024
Resolution;Monthly
Data Source;https://data.gov.il/he/datasets/water_authority/spring_discharge/26d650da-9d47-4dd5-8cbe-2f7d6955110b?query=%D7%91%D7%A0%D7%99%D7%90%D7%A1
Data License;CC BY4.0
Contact For License;Avi Burg
Spring ID;LEV_03_IL
date;discharge (l/sec)
29.03.1968;4523
22.04.1968;5023
15.05.1968;3884
13.06.1968;2621
26.06.1968;2144
11.07.1968;1779
5.08.1968;1889
17.09.1968;1190
29.10.1968;847
20.11.1968;818
9.12.1968;3470
16.01.1969;6268
20.02.1969;7462
25.03.1969;6894
21.04.1969;6509
7.05.1969;5950
11.06.1969;4525
7.07.1969;3281
11.08.1969;2984
8.09.1969;2246
9.10.1969;1841
18.05.1971;5617
10.06.1971;3699
15.07.1971;2363
9.08.1971;2164
7.09.1971;1431
7.10.1971;1021
18.11.1971;905
6.12.1971;857
5.01.1972;2169
10.02.1972;3241
13.03.1972;3756
26.04.1972;3146
15.05.1972;2819
7.06.1972;1927
12.07.1972;1497
9.08.1972;877
6.09.1972;1068
29.10.1972;737
9.11.1972;538
6.12.1972;394
15.01.1973;783
5.02.1973;1862
6.03.1973;2260
11.04.1973;2636
16.05.1973;1999
24.06.1973;919
5.07.1973;919
29.08.1973;544.5
23.09.1973;561
11.11.1973;449
5.12.1973;1110
6.01.1974;1110
18.02.1974;4029
29.04.1974;4181
29.05.1974;2899
13.06.1974;2497
18.07.1974;1693
25.08.1974;1130
24.09.1974;1011
20.10.1974;731
27.11.1974;691
12.12.1974;1625
22.01.1975;1867
12.02.1975;2316
30.03.1975;4602
21.04.1975;4168
6.05.1975;3803
25.06.1975;1965
15.07.1975;1413
26.08.1975;1222
16.09.1975;924
14.10.1975;679
6.11.1975;719
11.12.1975;1842
21.01.1976;2764
23.02.1976;2961
9.03.1976;3014
29.04.1976;4894
20.05.1976;4302
10.06.1976;3068
8.07.1976;2147
19.08.1976;1299
16.09.1976;1116
20.10.1976;1099
17.11.1976;794
12.12.1976;3022
17.01.1977;2840
21.02.1977;4437
15.03.1977;4404
14.04.1977;3962
18.05.1977;4227
15.06.1977;2825
12.07.1977;2044
23.08.1977;1422
18.09.1977;1129
20.10.1977;1299
22.11.1977;848
6.12.1977;830
19.12.1977;3985
11.01.1978;3322
5.02.1978;4032
12.03.1978;3986
27.03.1978;4174
10.04.1978;4058
26.04.1978;3715
22.05.1978;2946
13.06.1978;2345
18.06.1978;2561
13.08.1978;1668
20.09.1978;857
29.10.1978;962
20.11.1978;946
26.12.1978;1213
18.01.1979;3012
8.02.1979;1972
22.02.1979;2314
6.03.1979;1977
2.04.1979;2599
26.04.1979;1856
17.05.1979;1352
11.06.1979;1014
3.07.1979;907
7.08.1979;747
4.09.1979;553
18.10.1979;413
25.11.1979;436
18.12.1979;2027
9.01.1980;2696
13.02.1980;2825
19.03.1980;5731
15.04.1980;6025
25.06.1980;2881
16.07.1980;2101
19.08.1980;1467
18.09.1980;1146
8.10.1980;947
12.11.1980;828
14.01.1981;3842
11.03.1981;5736
16.04.1981;5338
13.05.1981;4545
10.06.1981;3498
20.07.1981;2148
10.08.1981;1596
10.09.1981;1362
15.10.1981;1001
16.11.1981;916
16.12.1981;869
12.01.1982;1809
18.02.1982;2974
17.03.1982;3680
16.04.1982;3312
20.05.1982;2606
9.06.1982;1649
21.07.1982;1326
19.08.1982;1162
9.09.1982;986
14.10.1982;778
23.11.1982;679
21.12.1982;592
17.01.1983;1271
10.02.1983;2239
15.03.1983;4212
27.04.1983;5172
30.05.1983;3940
20.06.1983;3205
14.07.1983;1874
14.08.1983;1673
14.09.1983;1438
12.10.1983;1187
22.11.1983;1027
13.12.1983;914
19.01.1984;1334
19.02.1984;3067
21.03.1984;2355
5.04.1984;3931
23.05.1984;3323
10.07.1984;1778
21.08.1984;1219
19.09.1984;1007
17.10.1984;826
14.11.1984;896
17.12.1984;897
20.01.1985;1695
24.02.1985;3864
11.03.1985;3423
23.04.1985;2865
29.05.1985;1604
20.06.1985;1204
16.07.1985;1060
11.08.1985;995
14.10.1985;620
13.11.1985;526
18.12.1985;467
27.01.1986;2434
26.02.1986;3670
18.03.1986;2748
16.04.1986;2297
27.05.1986;1215
25.06.1986;1431
20.07.1986;773
14.08.1986;769
8.09.1986;521
16.10.1986;497
23.11.1986;1979
24.12.1986;4043
8.01.1987;5097
