Region;Levant
Country;Israel
#;4
Spring Name/Station Name;Dan
Literature;Ben-Zur et al. (2025)
Lat;33.249
Lon;35.653
Elev (m);195
Recharge Area (km2);290
Start Date;8.06.1949
End Date;30.09.2024
Resolution;Daily
Data Source;https://data.gov.il/he/datasets/water_authority/spring_discharge/26d650da-9d47-4dd5-8cbe-2f7d6955110b?query=30311
Data License;CC BY4.0
Contact For License;Avi Burg
Spring ID;LEV_04_IL
date;discharge (l/sec)
8.06.1949;9500
30.06.1949;11140
11.07.1949;11300
15.08.1949;9020
20.10.1949;10510
14.12.1949;8935
25.01.1950;9280
12.03.1950;10760
19.04.1950;6835
9.06.1950;8350
26.10.1950;7200
19.11.1950;6770
28.11.1950;7480
29.11.1950;7380
22.01.1951;7170
1.02.1951;6835
16.02.1951;6890
28.02.1951;7890
20.03.1951;7370
25.03.1951;7010
8.04.1951;7100
27.06.1951;6380
15.07.1951;6070
15.08.1951;4835
2.09.1951;4625
17.10.1951;5023
5.11.1951;4630
29.11.1951;7380
4.12.1951;4200
31.12.1951;6200
13.01.1952;6900
27.01.1952;7130
15.02.1952;8776
1.04.1952;8830
6.05.1952;9400
6.06.1952;8740
2.07.1952;9030
29.08.1952;7570
27.10.1952;6880
30.11.1952;6780
22.12.1952;5830
22.02.1953;8755
8.03.1953;9400
22.03.1953;8835
23.04.1953;9560
26.05.1953;9620
29.07.1953;8975
27.09.1953;9248
28.09.1953;3860
25.10.1953;8440
11.11.1953;8060
21.12.1953;8072
25.01.1954;9810
23.02.1954;9400
22.03.1954;9220
28.04.1954;10584
27.05.1954;9880
12.06.1954;9910
12.07.1954;9680
11.08.1954;10750
26.09.1954;9180
31.10.1954;8500
11.11.1954;8376
2.12.1954;8200
14.12.1954;8224
21.01.1955;8112
1.02.1955;8000
23.02.1955;8494
20.04.1955;8030
30.05.1955;7720
27.06.1955;7200
20.07.1955;7410
18.08.1955;6740
7.09.1955;6400
24.09.1955;6052
17.10.1955;5492
30.11.1955;5640
16.12.1955;5770
26.12.1955;6200
11.01.1956;7300
25.01.1956;7700
1.02.1956;8500
23.02.1956;9120
19.03.1956;8700
24.04.1956;8800
22.05.1956;9530
13.06.1956;7272
1.07.1956;7430
11.07.1956;7810
28.08.1956;7456
19.09.1956;6380
9.10.1956;7350
16.10.1956;7398
16.11.1956;6500
26.11.1956;6556
27.12.1956;5840
8.01.1957;6140
24.01.1957;6600
13.02.1957;8240
11.03.1957;8280
25.03.1957;8228
24.04.1957;8824
22.05.1957;8880
23.06.1957;8700
24.07.1957;7465
26.08.1957;7737
23.09.1957;6910
15.10.1957;6405
25.11.1957;6235
24.12.1957;7285
16.01.1958;7800
12.02.1958;8375
23.03.1958;7485
8.04.1958;7895
29.05.1958;8245
11.06.1958;8205
8.07.1958;7155
26.08.1958;6965
22.09.1958;6200
13.10.1958;5870
24.11.1958;5240
29.12.1958;5240
27.01.1959;6020
17.02.1959;5760
25.03.1959;7720
27.04.1959;7480
25.05.1959;7520
30.06.1959;7175
15.07.1959;7345
25.08.1959;6344
15.09.1959;5595
14.10.1959;5235
24.11.1959;5010
29.12.1959;4540
26.01.1960;5570
25.02.1960;5376
21.03.1960;5240
24.04.1960;6520
24.05.1960;6345
27.06.1960;6290
26.07.1960;5710
23.08.1960;5225
19.09.1960;4465
24.10.1960;4485
29.11.1960;4580
26.12.1960;4170
24.01.1961;4700
10.09.1961;4985
10.10.1961;4692
25.10.1961;4300
9.11.1961;4460
4.12.1961;4130
26.12.1961;8050
16.01.1962;7975
30.01.1962;7350
19.02.1962;8375
6.03.1962;8625
9.04.1962;8870
29.05.1962;7650
26.06.1962;7328
23.07.1962;6930
28.08.1962;6865
25.09.1962;7650
23.10.1962;5630
27.11.1962;5155
27.12.1962;6700
21.01.1963;5910
27.02.1963;10075
26.03.1963;9640
23.04.1963;9235
27.05.1963;9237
23.06.1963;9805
22.07.1963;9172
5.08.1963;9030
24.09.1963;7873
28.10.1963;7815
27.11.1963;7570
24.12.1963;7230
21.01.1964;7070
24.02.1964;10642
23.03.1964;10433
22.04.1964;9453
27.05.1964;9915
22.06.1964;10110
29.07.1964;9376
25.08.1964;8789
23.09.1964;7956
20.10.1964;7935
23.11.1964;8870
29.12.1964;9390
23.02.1965;10260
29.03.1965;10580
27.04.1965;10117
25.05.1965;9925
22.06.1965;9824
25.07.1965;9650
27.08.1965;9510
30.09.1965;8700
20.10.1965;8540
23.11.1965;7180
22.12.1965;8393
28.01.1966;8287
24.02.1966;9499
8.03.1966;9600
28.04.1966;9456
29.05.1966;8900
22.06.1966;9180
26.07.1966;8480
31.08.1966;7590
22.09.1966;7057
25.10.1966;6560
23.11.1966;5930
28.12.1966;7173
24.01.1967;7135
21.02.1967;8760
21.03.1967;9539
10.04.1967;9907
23.05.1967;10578
31.07.1967;9990
22.08.1967;10121
27.09.1967;9423
24.10.1967;8890
28.11.1967;8502
21.12.1967;8606
30.01.1968;10720
18.02.1968;9550
17.03.1968;9910
10.04.1968;9770
16.05.1968;10060
16.06.1968;9994
10.07.1968;9567
20.08.1968;9584
17.09.1968;8512
29.10.1968;8640
25.11.1968;8360
22.12.1968;9000
25.02.1969;11226
24.03.1969;12810
29.04.1969;12230
26.05.1969;12220
24.06.1969;10390
20.07.1969;10665
26.08.1969;10330
10.09.1969;10360
9.10.1969;10210
13.11.1969;8790
24.12.1969;8170
15.01.1970;8090
10.02.1970;8643
25.03.1970;9586
12.04.1970;9617
13.05.1970;9030
16.06.1970;9502
9.07.1970;8900
26.08.1970;8540
27.09.1970;7891
12.10.1970;7730
26.11.1970;6500
22.12.1970;6714
17.01.1971;6936
25.02.1971;8655
22.03.1971;9233
25.04.1971;9914
20.05.1971;9484
21.06.1971;9925
19.07.1971;9471
23.08.1971;9631
27.09.1971;9481
21.10.1971;8279
30.11.1971;8067
14.12.1971;7756
16.01.1972;8617
17.02.1972;9733
15.03.1972;9542
25.04.1972;9870
14.05.1972;9745
18.06.1972;9198
16.07.1972;9077
14.08.1972;9019
27.09.1972;7866
19.10.1972;6700
20.11.1972;6559
17.12.1972;6334
14.01.1973;5872
15.02.1973;6160
29.03.1973;7590
19.04.1973;7715
24.05.1973;7282
21.06.1973;6956
22.07.1973;6345
28.08.1973;5446
23.09.1973;5468
25.10.1973;5100
20.11.1973;5830
19.12.1973;6040
19.01.1974;7990
27.02.1974;9085
17.03.1974;9322
17.04.1974;9780
16.05.1974;9560
19.06.1974;9620
17.07.1974;9184
18.08.1974;8316
11.09.1974;8002
17.10.1974;7295
24.11.1974;6223
19.12.1974;6030
26.01.1975;5350
18.02.1975;7355
19.03.1975;9270
23.04.1975;8560
18.05.1975;9311
15.06.1975;9136
17.07.1975;8905
20.08.1975;7893
17.09.1975;7794
21.10.1975;7088
13.11.1975;6460
17.12.1975;6640
25.01.1976;7550
19.02.1976;9710
22.03.1976;10080
22.04.1976;9200
24.05.1976;10500
15.06.1976;10220
15.07.1976;10050
11.08.1976;9259
28.09.1976;8554
11.10.1976;7951
15.11.1976;7740
15.12.1976;7526
12.01.1977;8223
22.02.1977;8796
21.03.1977;9920
25.04.1977;10436
19.05.1977;9545
16.06.1977;10080
17.07.1977;10493
22.08.1977;9020
29.09.1977;9070
25.10.1977;9277
29.11.1977;8195
20.12.1977;9341
17.01.1978;9126
13.02.1978;11055
30.03.1978;9915
24.04.1978;11189
23.05.1978;10300
14.06.1978;10540
10.07.1978;10548
2.08.1978;10200
19.09.1978;9406
30.10.1978;9411
16.11.1978;8300
27.12.1978;7500
14.01.1979;8245
12.02.1979;8040
14.03.1979;8650
16.04.1979;8130
17.05.1979;7617
20.06.1979;7066
10.07.1979;6242
6.08.1979;6353
11.09.1979;5730
3.10.1979;4860
13.11.1979;4300
24.12.1979;5772
12.02.1980;8700
13.03.1980;9875
29.04.1980;11100
23.06.1980;9070
20.07.1980;10426
17.08.1980;10230
8.09.1980;9890
20.10.1980;8266
19.11.1980;7805
16.12.1980;8090
25.01.1981;8721
23.02.1981;9754
17.03.1981;10226
13.04.1981;10089
13.05.1981;10310
16.06.1981;9180
15.07.1981;10210
16.08.1981;9790
15.09.1981;9890
28.10.1981;9070
29.11.1981;9050
14.12.1981;8720
12.01.1982;8330
15.02.1982;9560
22.03.1982;10273
25.04.1982;9276
26.05.1982;9081
17.06.1982;8443
18.08.1982;8500
16.09.1982;7136
19.10.1982;7104
22.11.1982;6578
20.12.1982;6030
17.01.1983;6730
9.02.1983;7330
22.03.1983;9740
5.04.1983;9115
29.05.1983;8900
26.06.1983;10791
11.07.1983;9776
10.08.1983;9757
14.09.1983;9040
18.10.1983;8930
23.11.1983;8000
18.01.1984;7147
14.02.1984;8587
20.03.1984;8464
26.04.1984;9500
20.05.1984;9500
2.07.1984;10508
7.08.1984;9064
2.10.1984;7830
12.11.1984;7570
10.12.1984;7110
16.01.1985;7140
11.02.1985;9310
10.03.1985;9540
9.04.1985;9566
2.05.1985;9080
4.06.1985;8740
3.07.1985;8640
4.08.1985;7990
8.09.1985;7000
13.10.1985;6520
11.11.1985;6120
1.12.1985;5730
6.01.1986;5710
2.02.1986;6150
2.03.1986;8680
6.04.1986;7962
5.05.1986;7470
2.06.1986;7133
6.07.1986;6187
4.08.1986;5950
1.09.1986;5061
1.10.1986;4800
4.11.1986;4570
2.12.1986;6044
1.01.1987;9035
1.02.1987;9510
1.03.1987;9699
2.04.1987;10292
6.05.1987;9510
1.06.1987;9733
1.07.1987;9810
2.08.1987;9650
1.09.1987;9300
4.10.1987;8670
2.11.1987;8340
1.12.1987;7880
3.01.1988;9540
14.02.1988;9740
2.03.1988;10180
10.04.1988;9920
4.05.1988;9294
12.06.1988;9540
3.07.1988;9760
1.08.1988;9680
1.09.1988;8720
12.10.1988;8365
13.11.1988;7860
5.12.1988;7520
1.01.1989;8230
1.02.1989;7456
1.03.1989;7180
5.04.1989;7980
4.05.1989;7565
4.06.1989;6840
2.07.1989;5931
3.08.1989;5055
3.09.1989;4680
3.10.1989;4195
6.11.1989;4250
4.12.1989;4118
2.01.1990;4130
4.02.1990;4453
4.03.1990;6710
1.04.1990;6280
1.05.1990;6205
3.06.1990;5892
19.06.1990;5425
1.07.1990;5288
1.08.1990;4526
2.09.1990;4059
1.10.1990;3602
5.11.1990;3444
30.11.1990;3262
1.01.1991;3331
31.01.1991;3868
5.02.1991;5400
18.02.1991;5881
3.03.1991;5796
1.04.1991;7632
1.05.1991;7760
2.06.1991;7390
1.07.1991;6977
1.08.1991;6650
1.09.1991;5974
1.10.1991;5405
31.10.1991;4989
29.11.1991;5043
1.02.1992;9675
1.03.1992;11310
1.04.1992;10617
3.05.1992;10293
1.06.1992;10218
1.07.1992;10100
2.08.1992;9960
1.09.1992;9660
1.10.1992;9704
1.11.1992;9140
1.12.1992;9003
31.12.1992;9810
1.02.1993;10090
1.03.1993;9850
1.04.1993;9990
2.05.1993;9830
1.06.1993;9590
1.07.1993;9270
1.08.1993;9150
1.09.1993;8823
27.09.1993;8830
1.11.1993;8150
1.12.1993;7532
2.01.1994;6955
1.02.1994;7626
1.03.1994;9220
4.04.1994;9670
1.05.1994;9146
1.06.1994;8590
3.07.1994;8100
1.08.1994;7750
1.09.1994;7351
2.10.1994;7108
1.11.1994;6536
1.12.1994;6887
1.01.1995;8787
1.02.1995;9470
1.03.1995;9750
29.03.1995;9580
1.05.1995;9132
1.06.1995;9184
2.07.1995;8600
1.08.1995;8110
31.08.1995;7962
1.10.1995;7560
31.10.1995;6900
30.11.1995;6820
1.01.1996;6290
1.02.1996;8350
29.02.1996;8870
1.04.1996;9765
1.05.1996;9660
1.06.1996;9650
1.07.1996;9307
1.08.1996;8790
1.09.1996;8050
1.10.1996;7400
3.11.1996;7050
1.12.1996;6590
1.01.1997;6460
1.02.1997;6430
1.03.1997;8130
1.04.1997;9550
1.05.1997;9480
1.06.1997;9390
1.07.1997;9020
1.08.1997;8570
1.09.1997;8090
1.10.1997;7920
1.11.1997;7140
1.12.1997;6900
1.01.1998;7530
1.02.1998;8880
1.03.1998;9140
1.04.1998;10100
1.05.1998;9360
1.06.1998;9400
1.07.1998;9220
1.08.1998;8840
1.09.1998;8260
27.09.1998;8110
1.10.1998;7070
2.11.1998;7600
31.12.1998;6840
1.02.1999;6820
1.03.1999;7340
30.03.1999;8400
2.05.1999;7590
1.06.1999;7350
1.07.1999;6840
25.07.1999;6170
1.08.1999;6250
15.08.1999;5830
1.09.1999;5380
15.09.1999;5150
3.10.1999;4800
17.10.1999;4270
1.11.1999;4290
1.12.1999;3980
2.01.2000;3690
1.02.2000;6350
1.03.2000;7420
2.04.2000;7530
1.05.2000;7630
1.06.2000;7110
2.07.2000;6980
1.08.2000;6310
3.09.2000;5710
2.10.2000;5030
1.11.2000;4550
3.12.2000;3950
1.01.2001;4667
1.02.2001;4530
27.02.2001;6850
1.04.2001;6470
1.05.2001;6270
3.06.2001;5480
1.07.2001;4870
1.08.2001;4550
2.09.2001;4290
30.09.2001;3880
1.11.2001;3381
2.12.2001;3250
1.01.2002;3853
15.01.2002;4359
3.02.2002;6217
28.02.2002;7777
20.03.2002;9290
4.04.2002;8800
10.04.2002;9920
1.05.2002;8973
4.05.2002;9290
2.06.2002;8470
1.07.2002;7540
1.08.2002;7500
1.09.2002;6985
1.10.2002;6290
3.11.2002;5760
1.12.2002;4850
1.01.2003;7640
2.02.2003;8387
2.03.2003;10236
1.04.2003;10757
8.05.2003;10705
1.06.2003;10148
1.07.2003;10030
3.08.2003;9714
1.09.2003;9526
1.10.2003;9559
2.11.2003;9436
1.12.2003;8962
1.01.2004;8897
1.02.2004;10101
1.03.2004;10707
1.04.2004;10224
2.05.2004;9936
1.06.2004;9782
1.07.2004;9679
1.08.2004;9296
1.09.2004;8880
28.09.2004;8401
1.11.2004;8220
1.12.2004;8402
2.01.2005;7954
1.02.2005;9044
1.03.2005;10435
30.03.2005;9771
1.05.2005;9793
1.06.2005;9365
3.07.2005;9192
1.08.2005;8681
1.09.2005;8375
2.10.2005;7754
1.11.2005;7211
1.12.2005;7050
1.01.2006;7362
1.02.2006;8374
1.03.2006;9548
29.03.2006;9026
1.05.2006;9256
31.05.2006;8473
2.07.2006;7955
17.08.2006;6990
3.09.2006;6891
3.10.2006;6455
1.11.2006;5865
3.12.2006;5494
17.12.2006;5216
1.01.2007;4893
14.01.2007;5490
1.02.2007;5666
14.02.2007;7427
1.03.2007;8742
29.03.2007;8869
15.04.2007;8977
1.05.2007;8285
3.06.2007;7722
1.07.2007;7046
1.08.2007;6575
2.09.2007;5684
1.10.2007;5359
1.11.2007;4939
2.12.2007;4560
1.01.2008;4453
20.01.2008;4222
3.02.2008;4496
17.02.2008;6366
2.03.2008;6722
16.03.2008;7170
1.04.2008;6799
16.04.2008;5955
1.05.2008;5706
1.06.2008;5245
15.06.2008;5149
30.06.2008;4870
16.07.2008;4559
3.08.2008;4333
17.08.2008;4323
2.09.2008;3917
15.09.2008;3670
2.10.2008;3625
2.11.2008;3359
1.12.2008;3120
21.12.2008;2872
1.01.2009;3094
1.02.2009;2833
15.02.2009;4872
3.03.2009;7015
15.03.2009;8166
26.03.2009;7819
3.05.2009;8157
1.06.2009;7671
1.07.2009;6998
2.08.2009;6199
31.08.2009;5788
1.10.2009;5229
1.11.2009;4879
15.11.2009;5304
1.12.2009;4793
7.02.2010;8890
1.03.2010;9063
28.03.2010;8805
2.05.2010;8328
1.06.2010;7652
1.07.2010;6998
1.08.2010;6511
2.09.2010;6003
3.10.2010;5454
1.11.2010;5102
1.12.2010;4432
2.01.2011;4912.7
1.02.2011;6177
1.03.2011;8596
31.03.2011;8980
1.05.2011;8859
30.05.2011;8393
3.07.2011;8001
1.08.2011;7446
31.08.2011;6965
2.10.2011;6466
31.10.2011;5880
1.12.2011;5291
1.01.2012;5295
1.02.2012;7914
27.02.2012;8528
1.04.2012;9641
1.05.2012;9106
3.06.2012;8877
1.07.2012;8461
31.07.2012;7986
15.08.2012;7862
2.09.2012;7714
27.09.2012;7373
1.11.2012;6890
2.12.2012;6632
30.12.2012;8335
3.02.2013;9858
28.02.2013;10120
17.03.2013;9846
2.04.2013;9583
30.04.2013;9680
2.06.2013;9112
1.07.2013;8657
31.07.2013;8286
1.09.2013;7595
1.10.2013;7077
31.10.2013;6400
1.12.2013;5653
31.12.2013;5250
16.01.2014;4761
2.02.2014;4722
2.03.2014;4714
23.03.2014;5842
1.04.2014;5681
30.04.2014;4551
15.05.2014;4597
1.06.2014;3957
15.06.2014;3816
1.07.2014;3610
14.07.2014;3398
31.07.2014;3309
14.08.2014;3150
31.08.2014;2952
14.09.2014;2868
30.09.2014;2808
19.10.2014;2675
2.11.2014;2793
16.11.2014;2712
30.11.2014;3305
16.12.2014;2981
1.01.2015;2911
29.01.2015;5359
15.02.2015;5763
26.02.2015;7216
15.03.2015;7975
31.03.2015;7523
15.04.2015;7590
29.04.2015;7776
15.05.2015;7519
31.05.2015;6817
16.06.2015;6658
29.06.2015;6496
15.07.2015;6120
30.07.2015;5797
16.08.2015;5539
31.08.2015;5205
24.09.2015;4942
1.11.2015;4425
29.11.2015;3911
14.12.2015;3642
31.12.2015;3428
31.01.2016;5208
18.02.2016;6061
1.03.2016;7249
13.03.2016;6863
31.03.2016;7700
14.04.2016;7442
1.05.2016;7279
15.05.2016;6855
31.05.2016;6488
15.06.2016;6291
30.06.2016;5813
14.07.2016;5609
31.07.2016;4631
15.08.2016;4282
31.08.2016;4276.1
14.09.2016;4058.2
28.09.2016;3864.3
31.10.2016;3285.3
14.11.2016;2978.4
29.11.2016;2901.8
18.12.2016;5391.4
29.12.2016;5085
15.01.2017;5199.9
31.01.2017;5848.2
28.02.2017;5431.6
14.03.2017;5990.1
29.03.2017;6411.3
18.04.2017;6166
30.04.2017;5996.3
15.05.2017;5916.3
29.05.2017;5662.6
13.06.2017;5492.87
29.06.2017;5139.51
13.07.2017;4626.11
30.07.2017;4601.36
15.08.2017;4272.82
31.08.2017;3987.25
13.09.2017;3800.39
28.09.2017;3453.95
15.10.2017;3221.5
31.10.2017;3079.15
14.11.2017;2912.7
30.11.2017;2772.08
13.12.2017;2602.08
31.12.2017;2416.62
14.01.2018;2753.05
31.01.2018;6000.33
13.02.2018;5024.45
28.02.2018;6452.93
15.03.2018;5920.38
28.03.2018;5571.94
15.04.2018;5289.4
30.04.2018;5150.55
15.05.2018;4849.73
31.05.2018;4537.38
14.06.2018;4295.51
28.06.2018;3870.04
1.07.2018;4002.28
15.07.2018;3797.47
31.07.2018;3497.93
15.08.2018;3217.54
30.08.2018;3121.18
17.09.2018;2889.5
3.10.2018;2725.8
16.10.2018;2549.55
31.10.2018;2435.84
15.11.2018;2271.5
29.11.2018;2148.89
16.12.2018;2887.77
31.12.2018;4898.89
15.01.2019;6978.8
31.01.2019;7388.34
13.02.2019;8088.39
27.02.2019;8407.16
17.03.2019;8951.5
31.03.2019;9045.05
30.04.2019;9617
30.05.2019;9534
30.06.2019;9421.1
31.07.2019;8928.89
29.08.2019;8441.79
2.10.2019;7829.3
31.10.2019;7104.9
7.11.2019;6991.67
28.11.2019;6588.92
31.12.2019;7690.94
30.01.2020;9155.16
27.02.2020;9635.8
29.03.2020;9605.79
30.04.2020;9534.8
31.05.2020;9451.42
30.06.2020;9376.57
29.07.2020;8889.98
31.08.2020;8975.7
1.09.2020;9024
29.09.2020;7870.96
29.10.2020;7152.79
30.11.2020;6464
31.12.2020;6366.06
31.01.2021;8340.44
28.02.2021;8727.4
24.03.2021;8617.44
28.04.2021;8948.34
31.05.2021;8611.06
30.06.2021;8123.64
29.07.2021;7555.86
31.08.2021;6837.61
30.09.2021;6165.39
31.10.2021;5533.94
30.11.2021;4974.03
30.12.2021;5588.5
31.01.2022;6618.89
27.02.2022;8981.61
30.03.2022;9385.94
28.04.2022;9286.33
31.05.2022;8991.89
30.06.2022;8560.54
31.07.2022;8179.17
31.08.2022;7663.25
29.09.2022;7134.11
31.10.2022;6278.89
30.11.2022;5817.33
11.12.2022;5537.89
29.12.2022;5001.94
31.01.2023;4638.33
28.02.2023;6769.39
2.04.2023;7944.89
30.04.2023;7903.69
31.05.2023;7770.89
29.06.2023;7261.58
31.07.2023;6832
30.08.2023;6073.22
26.09.2023;5423.28
29.11.2023;4480.26
28.12.2023;5492.36
30.01.2024;8688.11
28.02.2024;9325.78
27.03.2024;9229.86
29.04.2024;8939.33
29.05.2024;8675.2
30.06.2024;8033.33
31.07.2024;7500
29.08.2024;7041.33
30.09.2024;6349.72
