Region;Levant
Country;Lebanon
#;6
Spring Name/Station Name;Qachqouch
Literature;Doummar et al. (2022)
Lat;33.944
Lon;35.638
Elev (m);56
Recharge Area (km2);
Start Date;1.07.2014
End Date;19.12.2018
Resolution;Hourly
Data Source;WOKAS (from Joanna Doummar)
Data License;CC BY 4.0
Contact For License;
Spring ID;LEV_06_LB
Date;Discharge m^3/s
15.07.2014;0.150499
15.07.2014;0.139853
15.07.2014;0.132113
15.07.2014;0.129579
15.07.2014;0.129579
15.07.2014;0.129579
15.07.2014;0.124582
15.07.2014;0.132113
15.07.2014;0.124582
15.07.2014;0.124582
15.07.2014;0.124582
15.07.2014;0.122119
15.07.2014;0.119679
15.07.2014;0.117263
15.07.2014;0.119679
16.07.2014;0.122119
16.07.2014;0.122119
16.07.2014;0.122119
16.07.2014;0.11487
16.07.2014;0.122119
16.07.2014;0.1125
16.07.2014;0.117263
16.07.2014;0.119679
16.07.2014;0.127069
16.07.2014;0.124582
16.07.2014;0.11487
16.07.2014;0.129579
16.07.2014;0.122119
16.07.2014;0.11487
16.07.2014;0.1125
16.07.2014;0.119679
16.07.2014;0.122119
16.07.2014;0.122119
16.07.2014;0.117263
16.07.2014;0.129579
16.07.2014;0.117263
16.07.2014;0.11487
16.07.2014;0.117263
16.07.2014;0.119679
16.07.2014;0.122119
16.07.2014;0.11487
16.07.2014;0.110154
16.07.2014;0.11487
16.07.2014;0.122119
16.07.2014;0.103257
16.07.2014;0.103257
16.07.2014;0.105533
16.07.2014;0.110154
16.07.2014;0.1125
16.07.2014;0.110154
16.07.2014;0.117263
16.07.2014;0.107832
16.07.2014;0.107832
16.07.2014;0.110154
16.07.2014;0.107832
16.07.2014;0.11487
16.07.2014;0.110154
16.07.2014;0.107832
16.07.2014;0.1125
16.07.2014;0.1125
16.07.2014;0.101005
16.07.2014;0.1125
16.07.2014;0.103257
16.07.2014;0.107832
16.07.2014;0.103257
16.07.2014;0.105533
16.07.2014;0.110154
16.07.2014;0.110154
16.07.2014;0.11487
16.07.2014;0.105533
16.07.2014;0.105533
16.07.2014;0.105533
16.07.2014;0.1125
16.07.2014;0.1125
16.07.2014;0.110154
16.07.2014;0.096573
16.07.2014;0.096573
16.07.2014;0.098777
16.07.2014;0.124582
16.07.2014;0.117263
16.07.2014;0.1125
16.07.2014;0.1125
16.07.2014;0.107832
16.07.2014;0.119679
16.07.2014;0.117263
16.07.2014;0.117263
16.07.2014;0.11487
17.07.2014;0.11487
17.07.2014;0.117263
17.07.2014;0.119679
17.07.2014;0.1125
17.07.2014;0.11487
17.07.2014;0.117263
17.07.2014;0.11487
17.07.2014;0.1125
17.07.2014;0.110154
17.07.2014;0.1125
17.07.2014;0.110154
17.07.2014;0.1125
17.07.2014;0.107832
17.07.2014;0.11487
17.07.2014;0.11487
17.07.2014;0.105533
17.07.2014;0.107832
17.07.2014;0.107832
17.07.2014;0.105533
17.07.2014;0.117263
17.07.2014;0.110154
17.07.2014;0.117263
17.07.2014;0.110154
17.07.2014;0.1125
17.07.2014;0.110154
17.07.2014;0.11487
17.07.2014;0.105533
17.07.2014;0.110154
17.07.2014;0.117263
17.07.2014;0.117263
17.07.2014;0.117263
17.07.2014;0.1125
17.07.2014;0.107832
17.07.2014;0.11487
17.07.2014;0.119679
17.07.2014;0.1125
17.07.2014;0.119679
17.07.2014;0.107832
17.07.2014;0.117263
17.07.2014;0.11487
17.07.2014;0.119679
17.07.2014;0.11487
17.07.2014;0.119679
17.07.2014;0.107832
17.07.2014;0.11487
17.07.2014;0.1125
17.07.2014;0.119679
17.07.2014;0.119679
17.07.2014;0.11487
17.07.2014;0.119679
17.07.2014;0.117263
17.07.2014;0.132113
17.07.2014;0.132113
17.07.2014;0.1125
17.07.2014;0.11487
17.07.2014;0.117263
17.07.2014;0.107832
17.07.2014;0.107832
17.07.2014;0.11487
17.07.2014;0.11487
17.07.2014;0.1125
17.07.2014;0.117263
17.07.2014;0.107832
17.07.2014;0.105533
17.07.2014;0.101005
17.07.2014;0.105533
17.07.2014;0.107832
17.07.2014;0.1125
17.07.2014;0.107832
17.07.2014;0.103257
17.07.2014;0.110154
17.07.2014;0.103257
18.07.2014;0.107832
18.07.2014;0.11487
18.07.2014;0.107832
18.07.2014;0.107832
18.07.2014;0.110154
18.07.2014;0.107832
18.07.2014;0.1125
18.07.2014;0.1125
18.07.2014;0.119679
18.07.2014;0.11487
18.07.2014;0.1125
18.07.2014;0.110154
18.07.2014;0.117263
18.07.2014;0.110154
18.07.2014;0.110154
18.07.2014;0.1125
18.07.2014;0.110154
18.07.2014;0.11487
18.07.2014;0.107832
18.07.2014;0.105533
18.07.2014;0.101005
