Region;Pyrenees
Country;Spain
#;1
Spring Name/Station Name;Garcés
Literature;Jódar et al. (2020). https://doi.org/10.1016/j.scitotenv.2020.141363
Lat;42.6518
Lon;0.0152
Elev (m);2000
Recharge Area (km2);14.483
Start Date;26.09.2018
End Date;23.09.2025
Resolution;Daily
Data Source;Jódar et al. (2020). https://doi.org/10.1016/j.scitotenv.2020.141363
Data License;CC BY 4.0
Contact For License;Jorge Jódar provided the data
Spring ID;PYR_01_ES
Date;Discharge m^3/s
26.09.2018;0.533684
27.09.2018;0.530341
28.09.2018;0.520868
29.09.2018;0.507231
30.09.2018;0.484678
1.10.2018;0.461913
2.10.2018;0.422424
3.10.2018;0.412193
4.10.2018;0.415641
5.10.2018;0.407284
6.10.2018;0.40095
7.10.2018;0.412849
8.10.2018;0.519053
9.10.2018;0.47601
10.10.2018;1.915492
11.10.2018;1.701365
12.10.2018;1.979792
13.10.2018;1.235358
14.10.2018;4.169957
15.10.2018;2.775412
16.10.2018;1.728347
17.10.2018;1.380237
18.10.2018;1.203155
19.10.2018;1.223935
20.10.2018;1.31598
21.10.2018;1.005156
22.10.2018;0.745919
23.10.2018;0.520607
24.10.2018;0.444902
25.10.2018;0.417166
26.10.2018;0.393036
27.10.2018;0.382172
28.10.2018;0.32853
29.10.2018;0.300452
30.10.2018;0.2539
31.10.2018;0.228817
1.11.2018;0.258436
2.11.2018;0.359016
3.11.2018;0.400682
4.11.2018;0.46849
5.11.2018;0.461878
6.11.2018;0.438582
7.11.2018;0.453322
8.11.2018;0.437527
9.11.2018;0.473613
10.11.2018;0.738609
11.11.2018;1.112598
12.11.2018;1.422879
13.11.2018;1.282167
14.11.2018;1.201535
15.11.2018;1.09149
16.11.2018;0.897138
17.11.2018;0.846887
18.11.2018;0.834163
19.11.2018;0.612648
20.11.2018;0.492158
21.11.2018;0.426141
22.11.2018;0.405753
23.11.2018;0.396283
24.11.2018;0.382804
25.11.2018;0.383233
26.11.2018;0.373612
27.11.2018;0.35293
28.11.2018;0.345093
29.11.2018;0.373467
30.11.2018;0.386219
1.12.2018;0.347574
2.12.2018;0.517373
3.12.2018;0.812179
4.12.2018;0.761003
5.12.2018;0.685497
6.12.2018;0.640554
7.12.2018;0.59038
8.12.2018;0.577315
9.12.2018;0.574198
10.12.2018;0.432307
11.12.2018;0.396434
12.12.2018;0.383715
13.12.2018;0.359161
14.12.2018;0.319579
15.12.2018;0.327511
16.12.2018;0.456213
17.12.2018;0.400203
18.12.2018;0.357642
19.12.2018;0.325786
20.12.2018;0.299334
21.12.2018;0.288986
22.12.2018;0.32604
23.12.2018;0.391772
24.12.2018;0.377975
25.12.2018;0.370587
26.12.2018;0.385164
27.12.2018;0.401398
28.12.2018;0.401571
29.12.2018;0.363743
30.12.2018;0.325683
31.12.2018;0.306904
1.01.2019;0.293678
2.01.2019;0.313392
3.01.2019;0.259934
4.01.2019;0.211624
5.01.2019;0.17651
6.01.2019;0.149039
7.01.2019;0.131632
8.01.2019;0.119974
9.01.2019;0.104594
10.01.2019;0.091603
11.01.2019;0.079054
12.01.2019;0.071564
13.01.2019;0.069711
14.01.2019;0.066258
15.01.2019;0.068668
16.01.2019;0.081277
17.01.2019;0.090547
18.01.2019;0.064908
19.01.2019;0.052235
20.01.2019;0.047879
21.01.2019;0.041411
22.01.2019;0.037193
23.01.2019;0.035556
24.01.2019;0.036108
25.01.2019;0.031957
26.01.2019;0.030877
27.01.2019;0.032237
28.01.2019;0.029478
29.01.2019;0.027487
30.01.2019;0.024508
31.01.2019;0.025086
1.02.2019;0.038937
2.02.2019;0.03361
3.02.2019;0.028208
4.02.2019;0.026994
5.02.2019;0.029594
6.02.2019;0.034366
7.02.2019;0.063742
8.02.2019;0.083423
9.02.2019;0.093738
10.02.2019;0.109105
11.02.2019;0.090076
12.02.2019;0.067896
13.02.2019;0.093099
14.02.2019;0.174118
15.02.2019;0.237159
16.02.2019;0.305271
17.02.2019;0.287381
18.02.2019;0.307366
19.02.2019;0.285413
20.02.2019;0.33261
21.02.2019;0.387138
22.02.2019;0.446989
23.02.2019;0.601199
24.02.2019;0.792184
25.02.2019;0.809135
26.02.2019;0.862303
27.02.2019;0.88725
28.02.2019;0.94555
1.03.2019;0.904798
2.03.2019;0.762668
3.03.2019;0.534281
4.03.2019;0.625783
5.03.2019;0.488479
6.03.2019;0.433027
7.03.2019;0.391812
8.03.2019;0.364565
9.03.2019;0.380353
10.03.2019;0.557303
11.03.2019;0.674256
12.03.2019;0.604096
13.03.2019;0.581168
14.03.2019;0.423056
15.03.2019;0.540363
16.03.2019;0.902498
17.03.2019;0.972471
18.03.2019;0.823181
19.03.2019;0.479094
20.03.2019;0.413984
21.03.2019;0.408521
22.03.2019;0.504321
23.03.2019;0.655655
24.03.2019;0.842565
25.03.2019;0.892531
26.03.2019;0.794786
27.03.2019;0.504699
28.03.2019;0.652997
29.03.2019;0.81254
30.03.2019;0.453746
31.03.2019;0.438918
1.04.2019;0.43525
2.04.2019;0.484095
3.04.2019;0.471859
4.04.2019;0.403599
5.04.2019;0.369918
6.04.2019;0.345761
7.04.2019;0.345689
8.04.2019;0.395499
9.04.2019;0.404375
10.04.2019;0.421041
11.04.2019;0.39922
12.04.2019;0.355711
13.04.2019;0.429105
14.04.2019;0.811986
15.04.2019;1.17347
16.04.2019;1.41134
17.04.2019;1.233594
18.04.2019;1.145587
19.04.2019;1.142365
20.04.2019;1.333304
21.04.2019;1.168985
22.04.2019;0.885088
23.04.2019;0.93588
24.04.2019;0.857115
25.04.2019;0.599011
26.04.2019;0.508225
27.04.2019;0.607813
28.04.2019;0.992273
29.04.2019;1.325682
30.04.2019;1.48483
1.05.2019;1.52488
2.05.2019;1.817603
3.05.2019;1.597995
4.05.2019;1.193189
5.05.2019;1.16954
6.05.2019;0.987553
7.05.2019;1.258556
8.05.2019;2.493063
9.05.2019;1.745121
10.05.2019;2.771197
