Region;Pyrenees
Country;France
#;2
Spring Name/Station Name;L'Hers à Bélesta (source de Fontestorbes)
Literature;Marechal et al. (2018)
Lat;42.891
Lon;1.927
Elev (m);100
Recharge Area (km2);125
Start Date;1.10.2019
End Date;1.01.2025
Resolution;Daily
Data Source;eaufrance hydroportail (from Jean-Baptiste Charlier)
Data License;CC BY 4.0
Contact For License;
Spring ID;PYR_02_FR
Date;Discharge m^3/s
2019-10-01T00:00:00.000Z;0.499
2019-10-02T00:00:00.000Z;0.606
2019-10-03T00:00:00.000Z;0.678
2019-10-04T00:00:00.000Z;0.674
2019-10-05T00:00:00.000Z;0.905
2019-10-06T00:00:00.000Z;0.879
2019-10-07T00:00:00.000Z;0.772
2019-10-08T00:00:00.000Z;0.697
2019-10-09T00:00:00.000Z;0.642
2019-10-10T00:00:00.000Z;0.609
2019-10-11T00:00:00.000Z;0.594
2019-10-12T00:00:00.000Z;0.562
2019-10-13T00:00:00.000Z;0.553
2019-10-14T00:00:00.000Z;0.53
2019-10-15T00:00:00.000Z;0.637
2019-10-16T00:00:00.000Z;0.685
2019-10-17T00:00:00.000Z;0.658
2019-10-18T00:00:00.000Z;0.602
2019-10-19T00:00:00.000Z;0.578
2019-10-20T00:00:00.000Z;0.561
2019-10-21T00:00:00.000Z;0.528
2019-10-22T00:00:00.000Z;0.54
2019-10-23T00:00:00.000Z;7.72
2019-10-24T00:00:00.000Z;4.26
2019-10-25T00:00:00.000Z;2.03
2019-10-26T00:00:00.000Z;1.39
2019-10-27T00:00:00.000Z;1.18
2019-10-28T00:00:00.000Z;1.07
2019-10-29T00:00:00.000Z;0.959
2019-10-30T00:00:00.000Z;0.889
2019-10-31T00:00:00.000Z;0.875
2019-11-01T00:00:00.000Z;0.975
2019-11-02T00:00:00.000Z;2.45
2019-11-03T00:00:00.000Z;2.44
2019-11-04T00:00:00.000Z;2.25
2019-11-05T00:00:00.000Z;2.9
2019-11-06T00:00:00.000Z;2.27
2019-11-07T00:00:00.000Z;2.1
2019-11-08T00:00:00.000Z;2.34
2019-11-09T00:00:00.000Z;2.3
2019-11-10T00:00:00.000Z;2.39
2019-11-11T00:00:00.000Z;2.48
2019-11-12T00:00:00.000Z;2.33
2019-11-13T00:00:00.000Z;2.21
2019-11-14T00:00:00.000Z;2.36
2019-11-15T00:00:00.000Z;2.33
2019-11-16T00:00:00.000Z;2.23
2019-11-17T00:00:00.000Z;2.04
2019-11-18T00:00:00.000Z;2.32
2019-11-19T00:00:00.000Z;2.42
2019-11-20T00:00:00.000Z;2.02
2019-11-21T00:00:00.000Z;1.77
2019-11-22T00:00:00.000Z;1.6
2019-11-23T00:00:00.000Z;1.67
2019-11-24T00:00:00.000Z;2.95
2019-11-25T00:00:00.000Z;2.42
2019-11-26T00:00:00.000Z;2.21
2019-11-27T00:00:00.000Z;2.18
2019-11-28T00:00:00.000Z;2.18
