Region;Pyrenees
Country;France
#;3
Spring Name/Station Name;Le Lachein à Balaguères (Baget - Las Hountas)
Literature;Padilla et al. (1994)
Lat;42.955
Lon;1.031
Elev (m);450
Recharge Area (km2);13
Start Date;25.04.1968
End Date;11.07.2026
Resolution;Daily
Data Source;eaufrance hydroportail (from Sandra Beranger)
Data License;CC BY 4.0
Contact For License;Sandra Beranger
Spring ID;PYR_03_FR
Date;Discharge m^3/s
1968-04-25T00:00:00.000Z;Jan.34
1968-04-26T00:00:00.000Z;0.435
1968-04-27T00:00:00.000Z;0.350
1968-04-28T00:00:00.000Z;0.305
1968-04-29T00:00:00.000Z;0.275
1968-04-30T00:00:00.000Z;0.248
1968-05-01T00:00:00.000Z;0.225
1968-05-02T00:00:00.000Z;0.215
1968-05-03T00:00:00.000Z;0.210
1968-05-04T00:00:00.000Z;0.195
1968-05-05T00:00:00.000Z;0.190
1968-05-06T00:00:00.000Z;0.345
1968-05-07T00:00:00.000Z;Jan.19
1968-05-08T00:00:00.000Z;0.885
1968-05-09T00:00:00.000Z;0.400
1968-05-10T00:00:00.000Z;0.300
1968-05-11T00:00:00.000Z;0.260
1968-05-12T00:00:00.000Z;0.325
1968-05-13T00:00:00.000Z;0.305
1968-05-14T00:00:00.000Z;0.290
1968-05-15T00:00:00.000Z;0.250
1968-05-16T00:00:00.000Z;0.225
1968-05-17T00:00:00.000Z;0.215
1968-05-18T00:00:00.000Z;0.195
1968-05-19T00:00:00.000Z;0.185
1968-05-20T00:00:00.000Z;0.400
1968-05-21T00:00:00.000Z;Apr.87
1968-05-22T00:00:00.000Z;Feb.47
1968-05-23T00:00:00.000Z;Jan.26
1968-05-24T00:00:00.000Z;0.460
1968-05-25T00:00:00.000Z;0.430
1968-05-26T00:00:00.000Z;0.425
1968-05-27T00:00:00.000Z;Jan.54
1968-05-28T00:00:00.000Z;3.Mar
1968-05-29T00:00:00.000Z;4.Feb
1968-05-30T00:00:00.000Z;Feb.75
1968-05-31T00:00:00.000Z;Feb.16
1968-06-01T00:00:00.000Z;Jan.90
1968-06-02T00:00:00.000Z;Jan.34
1968-06-03T00:00:00.000Z;1.Jun
1968-06-04T00:00:00.000Z;0.885
1968-06-05T00:00:00.000Z;0.470
1968-06-06T00:00:00.000Z;0.410
1968-06-07T00:00:00.000Z;0.370
1968-06-08T00:00:00.000Z;0.345
1968-06-09T00:00:00.000Z;0.305
1968-06-10T00:00:00.000Z;0.290
1968-06-11T00:00:00.000Z;0.275
1968-06-12T00:00:00.000Z;0.260
1968-06-13T00:00:00.000Z;0.250
1968-06-14T00:00:00.000Z;0.230
1968-06-15T00:00:00.000Z;0.220
1968-06-16T00:00:00.000Z;0.200
1968-06-17T00:00:00.000Z;0.200
1968-06-18T00:00:00.000Z;0.300
1968-06-19T00:00:00.000Z;Jan.42
1968-06-20T00:00:00.000Z;Jan.34
1968-06-21T00:00:00.000Z;Jan.14
1968-06-22T00:00:00.000Z;0.885
1968-06-23T00:00:00.000Z;0.635
1968-06-24T00:00:00.000Z;0.635
1968-06-25T00:00:00.000Z;0.435
1968-06-26T00:00:00.000Z;0.365
1968-06-27T00:00:00.000Z;0.305
1968-06-28T00:00:00.000Z;0.275
1968-06-29T00:00:00.000Z;0.250
1968-06-30T00:00:00.000Z;0.230
1968-07-01T00:00:00.000Z;0.215
1968-07-02T00:00:00.000Z;0.210
1968-07-03T00:00:00.000Z;0.195
1968-07-04T00:00:00.000Z;0.195
1968-07-05T00:00:00.000Z;0.185
1968-07-06T00:00:00.000Z;0.185
1968-07-07T00:00:00.000Z;0.180
1968-07-08T00:00:00.000Z;0.165
1968-07-09T00:00:00.000Z;0.160
1968-07-10T00:00:00.000Z;0.150
1968-07-11T00:00:00.000Z;0.150
1968-07-12T00:00:00.000Z;0.145
1968-07-13T00:00:00.000Z;0.140
1968-07-14T00:00:00.000Z;0.135
1968-07-15T00:00:00.000Z;0.140
1968-07-16T00:00:00.000Z;0.135
1968-07-17T00:00:00.000Z;0.130
1968-07-18T00:00:00.000Z;0.125
1968-07-19T00:00:00.000Z;0.120
1968-07-20T00:00:00.000Z;0.120
1968-07-21T00:00:00.000Z;0.120
1968-07-22T00:00:00.000Z;0.115
1968-07-23T00:00:00.000Z;0.115
1968-07-24T00:00:00.000Z;0.115
1968-07-25T00:00:00.000Z;0.110
1968-07-26T00:00:00.000Z;0.110
1968-07-27T00:00:00.000Z;0.110
1968-07-28T00:00:00.000Z;0.110
1968-07-29T00:00:00.000Z;0.110
1968-07-30T00:00:00.000Z;0.110
1968-07-31T00:00:00.000Z;0.115
1968-08-01T00:00:00.000Z;0.115
1968-08-02T00:00:00.000Z;0.110
1968-08-03T00:00:00.000Z;0.110
1968-08-04T00:00:00.000Z;0.105
1968-08-05T00:00:00.000Z;0.110
1968-08-06T00:00:00.000Z;0.115
1968-08-07T00:00:00.000Z;0.110
