Region;Pyrenees
Country;France
#;6
Spring Name/Station Name;Arbas
Literature;
Lat;42,984
Lon;0,900
Elev (m);435
Recharge Area (km2);
Start Date;26.03.2002
End Date;9.08.2026
Resolution;Daily
Data Source;S Beranger
Data License;CC BY 4.0
Contact For License;
Spring ID;PYR_06_FR
Date;Discharge (m3/s)
2002-03-27T00:00:00.000Z;0,053
2002-03-28T00:00:00.000Z;0,053
2002-03-29T00:00:00.000Z;0,053
2002-03-30T00:00:00.000Z;0,053
2002-03-31T00:00:00.000Z;0,053
2002-04-01T00:00:00.000Z;0,053
2002-04-02T00:00:00.000Z;0,053
2002-04-03T00:00:00.000Z;0,096
2002-04-04T00:00:00.000Z;1,31
2002-04-05T00:00:00.000Z;0,583
2002-04-06T00:00:00.000Z;0,401
2002-04-07T00:00:00.000Z;0,375
2002-04-08T00:00:00.000Z;0,309
2002-04-09T00:00:00.000Z;0,322
2002-04-10T00:00:00.000Z;0,604
2002-04-11T00:00:00.000Z;0,281
2002-04-12T00:00:00.000Z;0,279
2002-04-13T00:00:00.000Z;0,453
2002-04-14T00:00:00.000Z;0,291
2002-04-15T00:00:00.000Z;0,238
2002-04-16T00:00:00.000Z;0,121
2002-04-17T00:00:00.000Z;0,104
2002-04-18T00:00:00.000Z;0,091
2002-04-19T00:00:00.000Z;0,078
2002-04-20T00:00:00.000Z;0,071
2002-04-21T00:00:00.000Z;0,071
2002-04-22T00:00:00.000Z;0,071
2002-04-23T00:00:00.000Z;0,058
2002-04-24T00:00:00.000Z;0,053
2002-04-25T00:00:00.000Z;0,053
2002-04-26T00:00:00.000Z;0,053
2002-04-27T00:00:00.000Z;0,053
2002-04-28T00:00:00.000Z;0,053
2002-04-29T00:00:00.000Z;0,053
2002-04-30T00:00:00.000Z;0,053
2002-05-01T00:00:00.000Z;0,053
2002-05-02T00:00:00.000Z;0,067
2002-05-03T00:00:00.000Z;0,32
2002-05-04T00:00:00.000Z;0,871
2002-05-05T00:00:00.000Z;0,335
2002-05-06T00:00:00.000Z;0,276
2002-05-07T00:00:00.000Z;0,234
2002-05-08T00:00:00.000Z;0,216
2002-05-11T00:00:00.000Z;0,881
2002-05-12T00:00:00.000Z;0,329
2002-05-13T00:00:00.000Z;0,27
2002-05-14T00:00:00.000Z;0,119
2002-05-15T00:00:00.000Z;0,091
2002-05-16T00:00:00.000Z;0,077
2002-05-17T00:00:00.000Z;0,071
2002-05-18T00:00:00.000Z;0,249
2002-05-19T00:00:00.000Z;0,211
2002-05-20T00:00:00.000Z;0,09
2002-05-21T00:00:00.000Z;0,071
2002-05-22T00:00:00.000Z;0,072
2002-05-23T00:00:00.000Z;1,34
2002-05-24T00:00:00.000Z;0,347
2002-05-25T00:00:00.000Z;0,262
2002-05-26T00:00:00.000Z;0,205
2002-05-27T00:00:00.000Z;0,281
2002-05-28T00:00:00.000Z;0,214
2002-05-29T00:00:00.000Z;0,101
2002-05-30T00:00:00.000Z;0,116
2002-05-31T00:00:00.000Z;0,092
2002-06-01T00:00:00.000Z;0,077
2002-06-02T00:00:00.000Z;0,071
2002-06-03T00:00:00.000Z;0,071
2002-06-04T00:00:00.000Z;0,138
2002-06-06T00:00:00.000Z;1,79
2002-06-07T00:00:00.000Z;0,364
2002-06-08T00:00:00.000Z;1,22
2002-06-09T00:00:00.000Z;1,21
2002-06-10T00:00:00.000Z;0,349
2002-06-11T00:00:00.000Z;0,285
2002-06-12T00:00:00.000Z;0,168
2002-06-13T00:00:00.000Z;0,095
2002-06-14T00:00:00.000Z;0,079
2002-06-15T00:00:00.000Z;0,071
2002-06-16T00:00:00.000Z;0,071
2002-06-17T00:00:00.000Z;0,06
2002-06-18T00:00:00.000Z;0,053
2002-06-19T00:00:00.000Z;0,053
2002-06-20T00:00:00.000Z;0,053
2002-06-21T00:00:00.000Z;0,053
2002-06-22T00:00:00.000Z;0,053
2002-06-23T00:00:00.000Z;0,053
2002-06-24T00:00:00.000Z;0,053
2002-06-25T00:00:00.000Z;0,048
2002-06-26T00:00:00.000Z;0,044
2002-06-27T00:00:00.000Z;0,043
2002-06-28T00:00:00.000Z;0,042
2002-06-29T00:00:00.000Z;0,042
2002-06-30T00:00:00.000Z;0,041
2002-07-01T00:00:00.000Z;0,041
2002-07-02T00:00:00.000Z;0,041
2002-07-03T00:00:00.000Z;0,04
2002-07-04T00:00:00.000Z;0,04
2002-07-05T00:00:00.000Z;0,04
2002-07-06T00:00:00.000Z;0,039
2002-07-07T00:00:00.000Z;0,039
2002-07-08T00:00:00.000Z;0,039
2002-07-09T00:00:00.000Z;0,042
2002-07-10T00:00:00.000Z;0,102
2002-07-11T00:00:00.000Z;0,056
2002-07-12T00:00:00.000Z;0,05
2002-07-13T00:00:00.000Z;0,149
2002-07-14T00:00:00.000Z;0,21
2002-07-15T00:00:00.000Z;0,104
2002-07-16T00:00:00.000Z;0,341
2002-07-17T00:00:00.000Z;0,269
2002-07-18T00:00:00.000Z;0,188
2002-07-19T00:00:00.000Z;0,061
2002-07-20T00:00:00.000Z;0,051
2002-07-21T00:00:00.000Z;0,049
2002-07-22T00:00:00.000Z;0,047
2002-07-23T00:00:00.000Z;0,046
2002-07-24T00:00:00.000Z;0,046
2002-07-25T00:00:00.000Z;0,047
2002-07-26T00:00:00.000Z;0,048
2002-07-27T00:00:00.000Z;0,048
2002-07-28T00:00:00.000Z;0,045
2002-07-29T00:00:00.000Z;0,043
2002-07-30T00:00:00.000Z;0,043
2002-07-31T00:00:00.000Z;0,243
2002-08-01T00:00:00.000Z;0,248
2002-08-02T00:00:00.000Z;0,13
2002-08-03T00:00:00.000Z;0,055
2002-08-04T00:00:00.000Z;0,049
2002-08-05T00:00:00.000Z;0,048
2002-08-06T00:00:00.000Z;0,195
2002-08-07T00:00:00.000Z;0,201
2002-08-08T00:00:00.000Z;0,07
2002-08-09T00:00:00.000Z;0,074
2002-08-10T00:00:00.000Z;0,304
2002-08-11T00:00:00.000Z;0,711
2002-08-12T00:00:00.000Z;0,326
2002-08-13T00:00:00.000Z;0,289
2002-08-14T00:00:00.000Z;0,206
2002-08-15T00:00:00.000Z;0,075
2002-08-16T00:00:00.000Z;0,06
2002-08-17T00:00:00.000Z;0,057
2002-08-18T00:00:00.000Z;0,053
2002-08-19T00:00:00.000Z;0,05
2002-08-20T00:00:00.000Z;0,049
2002-08-21T00:00:00.000Z;0,048
2002-08-22T00:00:00.000Z;0,048
2002-08-23T00:00:00.000Z;0,068
2002-08-24T00:00:00.000Z;0,057
2002-08-25T00:00:00.000Z;0,108
2002-08-26T00:00:00.000Z;0,215
2002-08-27T00:00:00.000Z;0,11
2002-08-28T00:00:00.000Z;0,079
2002-08-29T00:00:00.000Z;0,208
2002-08-30T00:00:00.000Z;0,262
2002-08-31T00:00:00.000Z;0,171
2002-09-01T00:00:00.000Z;0,11
2002-09-02T00:00:00.000Z;0,078
2002-09-03T00:00:00.000Z;0,063
2002-09-04T00:00:00.000Z;0,056
2002-09-05T00:00:00.000Z;0,108
2002-09-06T00:00:00.000Z;0,088
2002-09-07T00:00:00.000Z;0,064
2002-09-08T00:00:00.000Z;0,055
2002-09-09T00:00:00.000Z;0,053
2002-09-10T00:00:00.000Z;0,057
2002-09-11T00:00:00.000Z;0,047
2002-09-12T00:00:00.000Z;0,045
2002-09-13T00:00:00.000Z;0,043
2002-09-14T00:00:00.000Z;0,051
2002-09-15T00:00:00.000Z;0,041
2002-09-16T00:00:00.000Z;0,039
2002-09-17T00:00:00.000Z;0,038
2002-09-18T00:00:00.000Z;0,037
2002-09-19T00:00:00.000Z;0,036
2002-09-20T00:00:00.000Z;0,035
2002-09-21T00:00:00.000Z;0,035
2002-09-22T00:00:00.000Z;0,063
2003-01-28T00:00:00.000Z;0,56
2003-01-29T00:00:00.000Z;0,567
2003-01-30T00:00:00.000Z;0,421
2003-01-31T00:00:00.000Z;0,329
2003-02-01T00:00:00.000Z;0,192
2003-02-02T00:00:00.000Z;0,327
2003-02-03T00:00:00.000Z;0,806
2003-02-04T00:00:00.000Z;1,18
2003-02-05T00:00:00.000Z;0,5
2003-02-06T00:00:00.000Z;0,351
2003-02-07T00:00:00.000Z;0,285
2003-02-08T00:00:00.000Z;0,204
2003-02-09T00:00:00.000Z;0,186
2003-02-10T00:00:00.000Z;0,308
2003-02-11T00:00:00.000Z;0,261
2003-02-12T00:00:00.000Z;0,25
2003-02-13T00:00:00.000Z;0,296
2003-02-14T00:00:00.000Z;0,237
2003-02-15T00:00:00.000Z;0,149
2003-02-16T00:00:00.000Z;0,122
2003-02-17T00:00:00.000Z;0,109
2003-02-18T00:00:00.000Z;0,095
2003-02-19T00:00:00.000Z;0,09
2003-02-20T00:00:00.000Z;0,087
2003-02-21T00:00:00.000Z;0,084
2003-02-22T00:00:00.000Z;0,092
2003-02-23T00:00:00.000Z;0,143
2003-02-24T00:00:00.000Z;0,207
2003-02-25T00:00:00.000Z;0,302
2003-02-26T00:00:00.000Z;0,332
2003-02-27T00:00:00.000Z;0,363
2003-02-28T00:00:00.000Z;0,36
2003-03-01T00:00:00.000Z;0,302
2003-03-02T00:00:00.000Z;0,329
2003-03-03T00:00:00.000Z;0,815
2003-03-04T00:00:00.000Z;0,892
2003-03-05T00:00:00.000Z;0,435
2003-03-06T00:00:00.000Z;0,938
2003-03-07T00:00:00.000Z;0,41
2003-03-08T00:00:00.000Z;0,298
2003-03-09T00:00:00.000Z;0,265
2003-03-10T00:00:00.000Z;0,213
2003-03-11T00:00:00.000Z;0,204
2003-03-12T00:00:00.000Z;0,222
2003-03-13T00:00:00.000Z;0,212
2003-03-14T00:00:00.000Z;0,194
2003-03-15T00:00:00.000Z;0,164
2003-03-16T00:00:00.000Z;0,125
2003-03-17T00:00:00.000Z;0,103
2003-03-18T00:00:00.000Z;0,093
2003-03-19T00:00:00.000Z;0,088
2003-03-20T00:00:00.000Z;0,081
2003-03-21T00:00:00.000Z;0,08
2003-03-22T00:00:00.000Z;0,078
2003-03-23T00:00:00.000Z;0,079
2003-03-24T00:00:00.000Z;0,084
2003-03-25T00:00:00.000Z;0,089
2003-03-26T00:00:00.000Z;0,099
2003-03-27T00:00:00.000Z;0,108
2003-03-28T00:00:00.000Z;0,109
2003-03-29T00:00:00.000Z;0,174
2003-03-30T00:00:00.000Z;0,262
2003-03-31T00:00:00.000Z;0,182
2003-04-01T00:00:00.000Z;0,288
2003-04-02T00:00:00.000Z;0,755
2003-04-03T00:00:00.000Z;0,717
2003-04-04T00:00:00.000Z;0,357
2003-04-05T00:00:00.000Z;0,317
2003-04-06T00:00:00.000Z;0,29
2003-04-07T00:00:00.000Z;0,295
2003-04-08T00:00:00.000Z;0,258
2003-04-09T00:00:00.000Z;0,185
2003-04-10T00:00:00.000Z;0,279
2003-04-11T00:00:00.000Z;0,315
2003-04-12T00:00:00.000Z;0,343
2003-04-13T00:00:00.000Z;0,311
2003-04-14T00:00:00.000Z;0,29
2003-04-15T00:00:00.000Z;0,199
2003-04-16T00:00:00.000Z;0,125
2003-04-17T00:00:00.000Z;0,107
2003-04-18T00:00:00.000Z;0,1
2003-04-19T00:00:00.000Z;0,099
2003-04-20T00:00:00.000Z;0,136
2003-04-21T00:00:00.000Z;0,268
2003-04-22T00:00:00.000Z;0,159
2003-04-23T00:00:00.000Z;0,113
2003-04-24T00:00:00.000Z;0,097
2003-04-25T00:00:00.000Z;0,088
2003-04-26T00:00:00.000Z;0,086
2003-04-27T00:00:00.000Z;0,089
2003-04-28T00:00:00.000Z;0,082
2003-04-29T00:00:00.000Z;0,075
2003-04-30T00:00:00.000Z;0,07
2003-05-01T00:00:00.000Z;0,068
2003-05-02T00:00:00.000Z;0,067
2003-05-03T00:00:00.000Z;0,066
2003-05-04T00:00:00.000Z;0,065
2003-05-05T00:00:00.000Z;0,064
2003-05-06T00:00:00.000Z;0,186
2003-05-07T00:00:00.000Z;0,274
2003-05-08T00:00:00.000Z;0,29
2003-05-09T00:00:00.000Z;0,227
2003-05-10T00:00:00.000Z;0,141
2003-05-11T00:00:00.000Z;0,125
2003-05-12T00:00:00.000Z;0,101
2003-05-13T00:00:00.000Z;0,088
2003-05-14T00:00:00.000Z;0,082
2003-05-15T00:00:00.000Z;0,077
2003-05-16T00:00:00.000Z;0,074
2003-05-17T00:00:00.000Z;0,079
2003-05-18T00:00:00.000Z;0,081
2003-05-19T00:00:00.000Z;0,073
2003-05-20T00:00:00.000Z;0,152
2003-05-21T00:00:00.000Z;0,088
2003-05-22T00:00:00.000Z;0,074
2003-05-23T00:00:00.000Z;0,069
2003-05-24T00:00:00.000Z;0,085
2003-05-25T00:00:00.000Z;0,719
2003-05-26T00:00:00.000Z;0,472
2003-05-27T00:00:00.000Z;0,31
2003-05-28T00:00:00.000Z;0,271
2003-05-29T00:00:00.000Z;0,124
2003-05-30T00:00:00.000Z;0,086
2003-05-31T00:00:00.000Z;0,077
2003-06-01T00:00:00.000Z;0,09
2003-06-02T00:00:00.000Z;0,172
2003-06-03T00:00:00.000Z;0,089
2003-06-04T00:00:00.000Z;0,077
2003-06-05T00:00:00.000Z;0,069
2003-06-06T00:00:00.000Z;0,066
2003-06-07T00:00:00.000Z;0,064
2003-06-08T00:00:00.000Z;0,061
2003-06-09T00:00:00.000Z;0,059
2003-06-10T00:00:00.000Z;0,056
2003-06-11T00:00:00.000Z;0,055
2003-06-12T00:00:00.000Z;0,053
2003-06-13T00:00:00.000Z;0,052
2003-06-14T00:00:00.000Z;0,05
2003-06-15T00:00:00.000Z;0,049
2003-06-16T00:00:00.000Z;0,048
2003-06-17T00:00:00.000Z;0,049
2003-06-18T00:00:00.000Z;0,049
2003-06-19T00:00:00.000Z;0,049
2003-06-20T00:00:00.000Z;0,047
2003-06-21T00:00:00.000Z;0,045
2003-06-22T00:00:00.000Z;0,043
2003-06-23T00:00:00.000Z;0,043
2003-06-24T00:00:00.000Z;0,043
2003-06-25T00:00:00.000Z;0,043
2003-06-26T00:00:00.000Z;0,043
2003-06-27T00:00:00.000Z;0,044
2003-06-28T00:00:00.000Z;0,05
2003-06-29T00:00:00.000Z;0,047
2003-06-30T00:00:00.000Z;0,043
2003-07-01T00:00:00.000Z;0,042
2003-07-02T00:00:00.000Z;0,041
2003-07-03T00:00:00.000Z;0,041
2003-07-04T00:00:00.000Z;0,04
2003-07-05T00:00:00.000Z;0,04
2003-07-06T00:00:00.000Z;0,04
2003-07-07T00:00:00.000Z;0,039
2003-07-08T00:00:00.000Z;0,039
2003-07-09T00:00:00.000Z;0,039
2003-07-10T00:00:00.000Z;0,038
2003-07-11T00:00:00.000Z;0,038
2003-07-12T00:00:00.000Z;0,038
2003-07-13T00:00:00.000Z;0,037
2003-07-14T00:00:00.000Z;0,037
2003-07-15T00:00:00.000Z;0,037
2003-07-16T00:00:00.000Z;0,036
2003-07-17T00:00:00.000Z;0,036
2003-07-18T00:00:00.000Z;0,036
2003-07-19T00:00:00.000Z;0,036
2003-07-20T00:00:00.000Z;0,037
2003-07-21T00:00:00.000Z;0,037
2003-07-22T00:00:00.000Z;0,037
2003-07-23T00:00:00.000Z;0,038
2003-07-24T00:00:00.000Z;0,038
2003-07-25T00:00:00.000Z;0,039
2003-07-26T00:00:00.000Z;0,039
2003-07-27T00:00:00.000Z;0,039
2003-07-28T00:00:00.000Z;0,04
2003-07-29T00:00:00.000Z;0,039
2003-07-30T00:00:00.000Z;0,039
2003-07-31T00:00:00.000Z;0,039
2003-08-01T00:00:00.000Z;0,038
2003-08-02T00:00:00.000Z;0,038
2003-08-03T00:00:00.000Z;0,035
2003-08-04T00:00:00.000Z;0,033
2003-08-05T00:00:00.000Z;0,033
2003-08-06T00:00:00.000Z;0,033
2003-08-07T00:00:00.000Z;0,033
2003-08-08T00:00:00.000Z;0,032
2003-08-09T00:00:00.000Z;0,032
2003-08-10T00:00:00.000Z;0,032
2003-08-11T00:00:00.000Z;0,032
2003-08-12T00:00:00.000Z;0,031
2003-08-13T00:00:00.000Z;0,031
2003-08-14T00:00:00.000Z;0,031
2003-08-15T00:00:00.000Z;0,032
2003-08-16T00:00:00.000Z;0,033
2003-08-17T00:00:00.000Z;0,034
2003-08-18T00:00:00.000Z;0,035
2003-08-19T00:00:00.000Z;0,036
2003-08-20T00:00:00.000Z;0,035
2003-08-21T00:00:00.000Z;0,035
2003-08-22T00:00:00.000Z;0,035
2003-08-23T00:00:00.000Z;0,035
2003-08-24T00:00:00.000Z;0,035
2003-08-25T00:00:00.000Z;0,035
2003-08-26T00:00:00.000Z;0,036
2003-08-27T00:00:00.000Z;0,036
