Region;Pyrenees
Country;France
#;7
Spring Name/Station Name;Plan de Pouts
Literature;
Lat;
Lon;
Elev (m);
Recharge Area (km2);
Start Date;1.01.2002
End Date;31.05.2026
Resolution;Daily
Data Source;S Beranger
Data License;CC BY 4.0
Contact For License;
Spring ID;PYR_07_FR
Date;Discharge (m3/s)
2002-01-01T00:00:00.000Z;0.321
2002-01-02T00:00:00.000Z;0.366
2002-01-03T00:00:00.000Z;0.256
2002-01-04T00:00:00.000Z;0.212
2002-01-05T00:00:00.000Z;0.212
2002-01-06T00:00:00.000Z;0.212
2002-01-07T00:00:00.000Z;0.194
2002-01-08T00:00:00.000Z;0.177
2002-01-09T00:00:00.000Z;0.164
2002-01-10T00:00:00.000Z;0.151
2002-01-11T00:00:00.000Z;0.141
2002-01-12T00:00:00.000Z;0.141
2002-01-13T00:00:00.000Z;0.141
2002-01-14T00:00:00.000Z;0.225
2002-01-17T00:00:00.000Z;1.06
2002-01-18T00:00:00.000Z;0.398
2002-01-19T00:00:00.000Z;0.303
2002-01-20T00:00:00.000Z;0.295
2002-01-21T00:00:00.000Z;0.269
2002-01-22T00:00:00.000Z;0.259
2002-01-23T00:00:00.000Z;0.250
2002-01-24T00:00:00.000Z;0.284
2002-01-25T00:00:00.000Z;0.264
2002-01-26T00:00:00.000Z;0.236
2002-01-27T00:00:00.000Z;0.212
2002-01-28T00:00:00.000Z;0.188
2002-01-29T00:00:00.000Z;0.188
2002-01-30T00:00:00.000Z;0.179
2002-01-31T00:00:00.000Z;0.164
2002-02-01T00:00:00.000Z;0.164
2002-02-02T00:00:00.000Z;0.163
2002-02-03T00:00:00.000Z;0.147
2002-02-04T00:00:00.000Z;0.141
2002-02-05T00:00:00.000Z;0.194
2002-02-08T00:00:00.000Z;1.27
2002-02-09T00:00:00.000Z;1.23
2002-02-10T00:00:00.000Z;1.06
2002-02-11T00:00:00.000Z;0.622
2002-02-12T00:00:00.000Z;0.419
2002-02-13T00:00:00.000Z;0.344
2002-02-14T00:00:00.000Z;0.488
2002-02-15T00:00:00.000Z;0.650
2002-02-16T00:00:00.000Z;0.528
2002-02-17T00:00:00.000Z;0.448
2002-02-18T00:00:00.000Z;0.498
2002-02-19T00:00:00.000Z;0.639
