Region;Taurus
Country;Turkey
#;5
Spring Name/Station Name;Kapuzbaþý
Literature;Çallý SS (2026)
Lat;37.771
Lon;35.396
Elev (m);660
Recharge Area (km2);350
Start Date;1.10.2010
End Date;30.09.2017
Resolution;Daily
Data Source;www.dsi.gov.tr
Data License;CC BY NC
Contact For License;Selim Çallý
Spring ID;TAU_01_TR
Date;Discharge m^3/s
1.10.2010;9.92
2.10.2010;6.14
3.10.2010;5.9
4.10.2010;5.9
5.10.2010;5.9
6.10.2010;5.9
7.10.2010;5.9
8.10.2010;6.38
9.10.2010;6.38
10.10.2010;6.38
11.10.2010;6.14
12.10.2010;5.9
13.10.2010;5.9
14.10.2010;6.38
15.10.2010;6.62
16.10.2010;6.62
17.10.2010;6.62
18.10.2010;6.62
19.10.2010;6.38
20.10.2010;6.14
21.10.2010;5.9
22.10.2010;5.9
23.10.2010;5.9
24.10.2010;5.9
25.10.2010;5.67
26.10.2010;5.67
27.10.2010;5.67
28.10.2010;5.67
29.10.2010;5.67
30.10.2010;5.44
31.10.2010;5.44
1.11.2010;5.44
2.11.2010;5.21
3.11.2010;5.21
4.11.2010;5.21
5.11.2010;5.21
6.11.2010;5.21
7.11.2010;5.21
8.11.2010;5.21
9.11.2010;4.98
10.11.2010;4.98
11.11.2010;4.75
12.11.2010;4.75
13.11.2010;4.75
14.11.2010;4.75
15.11.2010;4.75
16.11.2010;4.52
17.11.2010;4.29
18.11.2010;4.29
19.11.2010;4.29
20.11.2010;4.06
21.11.2010;4.06
22.11.2010;4.06
23.11.2010;4.06
24.11.2010;4.06
25.11.2010;4.06
26.11.2010;4.06
27.11.2010;4.06
28.11.2010;4.06
29.11.2010;3.83
30.11.2010;3.83
1.12.2010;3.83
2.12.2010;3.6
3.12.2010;3.6
4.12.2010;3.6
5.12.2010;3.6
6.12.2010;3.6
7.12.2010;3.34
8.12.2010;3.34
9.12.2010;3.34
10.12.2010;3.34
11.12.2010;3.34
12.12.2010;3.34
13.12.2010;3.34
14.12.2010;3.34
15.12.2010;3.34
16.12.2010;6.86
17.12.2010;13.7
18.12.2010;16.1
19.12.2010;13.4
20.12.2010;11.6
21.12.2010;10.5
22.12.2010;9.65
23.12.2010;9.11
24.12.2010;8.57
25.12.2010;8.3
26.12.2010;8.06
27.12.2010;8.06
28.12.2010;8.57
29.12.2010;8.57
30.12.2010;8.06
31.12.2010;7.58
1.01.2011;6.38
2.01.2011;6.14
3.01.2011;6.14
4.01.2011;6.14
5.01.2011;6.14
6.01.2011;6.14
7.01.2011;6.14
8.01.2011;6.14
9.01.2011;6.14
10.01.2011;6.14
11.01.2011;5.9
12.01.2011;5.9
13.01.2011;5.9
14.01.2011;5.9
15.01.2011;5.9
16.01.2011;5.9
17.01.2011;5.67
18.01.2011;5.67
19.01.2011;5.9
20.01.2011;6.86
21.01.2011;6.62
22.01.2011;6.38
23.01.2011;6.62
24.01.2011;7.58
25.01.2011;9.92
26.01.2011;13.4
27.01.2011;11.6
28.01.2011;10.2
29.01.2011;6.86
30.01.2011;6.86
31.01.2011;6.62
1.02.2011;6.38
2.02.2011;6.14
3.02.2011;6.14
4.02.2011;6.14
5.02.2011;6.14
6.02.2011;6.14
7.02.2011;6.14
8.02.2011;6.14
9.02.2011;6.14
10.02.2011;6.14
11.02.2011;5.9
12.02.2011;5.9
13.02.2011;5.9
14.02.2011;5.9
15.02.2011;5.9
16.02.2011;5.9
17.02.2011;5.67
18.02.2011;5.67
19.02.2011;5.9
20.02.2011;6.86
21.02.2011;6.62
22.02.2011;6.38
23.02.2011;6.62
24.02.2011;7.58
25.02.2011;9.92
26.02.2011;13.4
27.02.2011;11.6
28.02.2011;10.2
1.03.2011;9.65
2.03.2011;9.11
3.03.2011;9.11
4.03.2011;8.84
5.03.2011;8.84
6.03.2011;8.84
7.03.2011;8.84
8.03.2011;9.65
9.03.2011;13.1
10.03.2011;12.2
11.03.2011;11
12.03.2011;9.92
13.03.2011;9.65
14.03.2011;9.65
15.03.2011;9.92
16.03.2011;10.5
17.03.2011;11
18.03.2011;11.6
19.03.2011;12.5
20.03.2011;13.4
21.03.2011;17.3
22.03.2011;15.5
23.03.2011;13.7
24.03.2011;12.2
25.03.2011;11
26.03.2011;10.7
27.03.2011;10.7
28.03.2011;10.7
29.03.2011;10.7
30.03.2011;11
31.03.2011;11.3
1.04.2011;11.6
2.04.2011;13.1
3.04.2011;13.7
4.04.2011;11.6
5.04.2011;10.7
6.04.2011;10.5
7.04.2011;10.5
8.04.2011;10.2
9.04.2011;10.7
10.04.2011;12.5
11.04.2011;12.2
12.04.2011;11
13.04.2011;9.92
14.04.2011;9.38
15.04.2011;9.38
16.04.2011;9.65
17.04.2011;10.2
18.04.2011;11.3
19.04.2011;11.9
20.04.2011;12.2
21.04.2011;11.3
22.04.2011;10.5
23.04.2011;10.7
24.04.2011;10.5
25.04.2011;10.2
26.04.2011;9.65
27.04.2011;9.65
28.04.2011;10.2
29.04.2011;12.2
30.04.2011;11.9
1.05.2011;11.6
2.05.2011;12.2
3.05.2011;12.8
4.05.2011;13.4
5.05.2011;14.6
6.05.2011;16.4
7.05.2011;15.5
8.05.2011;15.2
9.05.2011;14.9
10.05.2011;14.6
11.05.2011;14.3
12.05.2011;14.9
13.05.2011;14.6
14.05.2011;14.3
15.05.2011;14.3
16.05.2011;14
17.05.2011;14
18.05.2011;14.9
19.05.2011;15.8
20.05.2011;15.8
21.05.2011;15.8
22.05.2011;15.5
23.05.2011;15.5
24.05.2011;15.5
25.05.2011;15.8
26.05.2011;16.1
27.05.2011;16.7
28.05.2011;17
29.05.2011;17
30.05.2011;16.4
31.05.2011;16.7
1.06.2011;17
2.06.2011;17.3
3.06.2011;17.6
4.06.2011;17.6
5.06.2011;18.2
6.06.2011;17
7.06.2011;17
8.06.2011;17
9.06.2011;17.3
10.06.2011;17.3
11.06.2011;17.6
12.06.2011;17.6
13.06.2011;18.2
14.06.2011;18.2
15.06.2011;17.6
16.06.2011;17.6
17.06.2011;17.6
18.06.2011;17.3
19.06.2011;17.6
20.06.2011;17.3
21.06.2011;17.3
22.06.2011;17.3
23.06.2011;17
24.06.2011;17
25.06.2011;17
26.06.2011;17
27.06.2011;17
28.06.2011;16.7
29.06.2011;16.7
30.06.2011;16.7
1.07.2011;16.7
2.07.2011;16.7
3.07.2011;16.4
4.07.2011;16.4
5.07.2011;16.4
6.07.2011;16.4
7.07.2011;16.4
8.07.2011;16.4
9.07.2011;16.4
10.07.2011;16.1
11.07.2011;16.1
12.07.2011;15.8
13.07.2011;15.8
14.07.2011;15.8
15.07.2011;15.8
16.07.2011;15.2
17.07.2011;15.2
18.07.2011;15.2
19.07.2011;15.2
20.07.2011;14.9
21.07.2011;14.9
22.07.2011;14.9
23.07.2011;14.9
24.07.2011;14.9
25.07.2011;14.6
26.07.2011;14.3
27.07.2011;14
28.07.2011;14
29.07.2011;14
30.07.2011;13.7
31.07.2011;13.7
1.08.2011;13.4
2.08.2011;13.4
3.08.2011;13.4
4.08.2011;13.1
5.08.2011;13.1
6.08.2011;12.8
7.08.2011;12.8
8.08.2011;12.8
9.08.2011;12.5
10.08.2011;12.5
11.08.2011;12.5
12.08.2011;12.2
13.08.2011;12.2
14.08.2011;11.9
15.08.2011;11.6
16.08.2011;11.6
17.08.2011;11.3
18.08.2011;11
19.08.2011;10.7
20.08.2011;10.5
21.08.2011;10.5
22.08.2011;10.5
23.08.2011;10.2
24.08.2011;10.2
25.08.2011;10.2
26.08.2011;10.2
27.08.2011;10.2
28.08.2011;9.92
29.08.2011;9.92
30.08.2011;9.92
31.08.2011;9.38
1.09.2011;9.38
2.09.2011;9.38
3.09.2011;9.38
4.09.2011;9.11
5.09.2011;9.11
6.09.2011;9.11
7.09.2011;9.11
8.09.2011;9.11
9.09.2011;8.57
10.09.2011;8.57
11.09.2011;8.57
12.09.2011;8.57
13.09.2011;8.3
14.09.2011;8.3
15.09.2011;8.3
16.09.2011;7.82
17.09.2011;7.82
18.09.2011;7.82
19.09.2011;7.82
20.09.2011;7.82
21.09.2011;7.82
22.09.2011;7.58
23.09.2011;8.06
24.09.2011;8.06
25.09.2011;7.82
26.09.2011;7.58
27.09.2011;7.58
28.09.2011;7.58
29.09.2011;7.58
30.09.2011;7.58
1.10.2011;7.34
2.10.2011;7.34
3.10.2011;7.1
4.10.2011;6.86
5.10.2011;6.86
6.10.2011;6.86
7.10.2011;6.86
8.10.2011;6.62
9.10.2011;6.62
10.10.2011;6.38
11.10.2011;6.38
12.10.2011;6.62
13.10.2011;6.62
14.10.2011;6.38
15.10.2011;6.38
16.10.2011;6.38
17.10.2011;6.14
18.10.2011;6.38
19.10.2011;6.14
20.10.2011;5.9
21.10.2011;5.9
22.10.2011;5.9
23.10.2011;5.9
24.10.2011;5.9
25.10.2011;5.67
26.10.2011;5.67
27.10.2011;5.67
28.10.2011;5.67
29.10.2011;5.67
30.10.2011;5.67
31.10.2011;5.67
1.11.2011;5.67
2.11.2011;5.44
3.11.2011;5.44
4.11.2011;5.44
5.11.2011;5.44
6.11.2011;5.44
7.11.2011;5.21
8.11.2011;5.21
9.11.2011;5.21
10.11.2011;5.21
11.11.2011;4.98
12.11.2011;4.98
13.11.2011;4.98
14.11.2011;4.98
15.11.2011;4.98
16.11.2011;4.75
17.11.2011;4.75
18.11.2011;4.75
19.11.2011;4.75
20.11.2011;4.52
21.11.2011;4.52
22.11.2011;4.52
23.11.2011;4.52
24.11.2011;4.29
25.11.2011;4.29
26.11.2011;4.29
27.11.2011;4.29
28.11.2011;4.06
29.11.2011;4.06
30.11.2011;4.06
1.12.2011;4.06
2.12.2011;4.06
3.12.2011;4.06
4.12.2011;3.83
5.12.2011;3.83
6.12.2011;3.83
7.12.2011;3.83
8.12.2011;3.83
9.12.2011;3.83
10.12.2011;3.6
11.12.2011;3.6
12.12.2011;3.6
13.12.2011;3.6
14.12.2011;3.6
15.12.2011;3.6
16.12.2011;3.6
17.12.2011;3.6
18.12.2011;3.6
19.12.2011;3.6
20.12.2011;3.6
21.12.2011;3.6
22.12.2011;3.6
23.12.2011;3.6
24.12.2011;4.29
25.12.2011;4.06
26.12.2011;3.83
27.12.2011;3.83
28.12.2011;3.6
29.12.2011;3.6
30.12.2011;3.6
31.12.2011;3.6
1.01.2012;3.6
2.01.2012;3.34
3.01.2012;3.34
4.01.2012;3.34
5.01.2012;3.34
6.01.2012;3.34
7.01.2012;3.34
8.01.2012;3.83
9.01.2012;4.06
10.01.2012;4.29
11.01.2012;4.75
12.01.2012;4.52
13.01.2012;4.29
14.01.2012;4.06
15.01.2012;3.83
16.01.2012;4.75
17.01.2012;4.75
18.01.2012;4.52
19.01.2012;4.29
20.01.2012;4.06
21.01.2012;4.06
22.01.2012;3.83
23.01.2012;3.83
24.01.2012;3.83
25.01.2012;3.83
26.01.2012;3.83
27.01.2012;4.75
28.01.2012;4.75
29.01.2012;4.52
30.01.2012;4.52
31.01.2012;4.29
1.02.2012;4.06
2.02.2012;4.06
3.02.2012;4.06
4.02.2012;4.06
5.02.2012;4.06
6.02.2012;4.29
7.02.2012;4.29
8.02.2012;4.52
9.02.2012;4.75
10.02.2012;4.75
11.02.2012;4.75
12.02.2012;4.52
13.02.2012;4.52
14.02.2012;4.52
15.02.2012;4.98
16.02.2012;5.21
17.02.2012;5.21
18.02.2012;5.21
19.02.2012;4.98
20.02.2012;4.98
21.02.2012;4.75
22.02.2012;4.75
23.02.2012;4.75
24.02.2012;4.52
25.02.2012;4.75
26.02.2012;4.75
27.02.2012;4.98
28.02.2012;6.14
29.02.2012;6.86
1.03.2012;6.38
2.03.2012;6.14
3.03.2012;5.9
4.03.2012;5.9
5.03.2012;5.67
6.03.2012;5.67
7.03.2012;5.44
8.03.2012;5.44
9.03.2012;5.67
10.03.2012;5.9
11.03.2012;7.1
12.03.2012;7.34
13.03.2012;7.82
14.03.2012;11
15.03.2012;10.7
16.03.2012;9.65
17.03.2012;8.57
18.03.2012;8.06
19.03.2012;8.06
20.03.2012;9.38
21.03.2012;10.5
22.03.2012;11
23.03.2012;11.3
24.03.2012;11.3
25.03.2012;11.6
26.03.2012;11.9
27.03.2012;11.9
28.03.2012;11.3
29.03.2012;10.5
30.03.2012;9.92
31.03.2012;9.65
1.04.2012;10.2
2.04.2012;11.6
3.04.2012;12.8
4.04.2012;13.7
5.04.2012;14.9
6.04.2012;15.5
7.04.2012;16.4
8.04.2012;16.1
9.04.2012;15.2
10.04.2012;13.4
11.04.2012;13.1
12.04.2012;12.2
13.04.2012;11.9
14.04.2012;12.2
15.04.2012;13.1
16.04.2012;14.6
17.04.2012;14
18.04.2012;13.4
19.04.2012;13.4
20.04.2012;13.1
21.04.2012;13.1
22.04.2012;12.8
23.04.2012;12.8
24.04.2012;12.5
25.04.2012;12.5
26.04.2012;12.8
27.04.2012;13.1
28.04.2012;13.1
29.04.2012;13.1
30.04.2012;13.1
1.05.2012;12.8
2.05.2012;12.8
3.05.2012;13.1
4.05.2012;13.4
5.05.2012;13.4
6.05.2012;13.1
7.05.2012;13.1
8.05.2012;13.4
9.05.2012;13.4
10.05.2012;13.7
11.05.2012;14
12.05.2012;14
13.05.2012;14.3
14.05.2012;13.7
15.05.2012;13.7
16.05.2012;13.7
17.05.2012;14
18.05.2012;14
19.05.2012;14
20.05.2012;14
21.05.2012;14
22.05.2012;13.7
23.05.2012;13.7
24.05.2012;14
25.05.2012;14.9
26.05.2012;15.2
27.05.2012;14.3
28.05.2012;14.3
29.05.2012;14
30.05.2012;14.3
31.05.2012;14.6
1.06.2012;14.9
2.06.2012;14.9
3.06.2012;14.9
4.06.2012;14.9
5.06.2012;14.9
6.06.2012;14.9
7.06.2012;14.9
8.06.2012;14.9
9.06.2012;14.9
10.06.2012;14.9
11.06.2012;14.9
12.06.2012;15.2
13.06.2012;15.2
14.06.2012;15.2
15.06.2012;15.2
16.06.2012;15.2
17.06.2012;15.2
18.06.2012;15.2
19.06.2012;15.2
20.06.2012;14.9
21.06.2012;14.9
22.06.2012;14.9
23.06.2012;14.9
24.06.2012;14.9
25.06.2012;14.9
26.06.2012;14.9
27.06.2012;14.9
28.06.2012;14.9
29.06.2012;14.9
30.06.2012;14.6
1.07.2012;14.9
2.07.2012;14.6
3.07.2012;14.3
4.07.2012;14.3
5.07.2012;14.3
6.07.2012;14
7.07.2012;14
8.07.2012;14
9.07.2012;14
10.07.2012;13.7
11.07.2012;13.7
12.07.2012;13.4
13.07.2012;13.4
14.07.2012;13.1
15.07.2012;13.1
16.07.2012;13.1
17.07.2012;13.1
18.07.2012;13.1
19.07.2012;12.8
20.07.2012;12.8
21.07.2012;12.8
22.07.2012;12.5
23.07.2012;12.5
24.07.2012;12.2
25.07.2012;12.2
26.07.2012;11.9
27.07.2012;11.6
28.07.2012;11.6
29.07.2012;11.6
30.07.2012;11.3
31.07.2012;11.6
1.08.2012;11.6
2.08.2012;11.3
3.08.2012;11
4.08.2012;11
5.08.2012;10.7
6.08.2012;10.7
7.08.2012;10.7
8.08.2012;10.7
9.08.2012;10.5
10.08.2012;10.5
11.08.2012;10.5
12.08.2012;10.5
13.08.2012;10.5
14.08.2012;10.2
15.08.2012;10.2
16.08.2012;10.2
17.08.2012;9.92
18.08.2012;9.92
19.08.2012;9.92
20.08.2012;9.65
21.08.2012;9.65
22.08.2012;9.38
23.08.2012;9.38
24.08.2012;9.38
25.08.2012;9.11
26.08.2012;8.84
27.08.2012;8.84
28.08.2012;8.84
29.08.2012;8.3
30.08.2012;8.3
31.08.2012;8.3
1.09.2012;7.82
2.09.2012;7.82
3.09.2012;7.82
4.09.2012;7.82
5.09.2012;7.58
6.09.2012;7.58
7.09.2012;7.58
8.09.2012;7.34
9.09.2012;7.34
10.09.2012;7.34
11.09.2012;7.1
12.09.2012;7.1
13.09.2012;6.62
14.09.2012;6.62
15.09.2012;6.62
16.09.2012;6.38
17.09.2012;6.38
18.09.2012;6.38
19.09.2012;6.38
20.09.2012;6.14
21.09.2012;6.14
22.09.2012;6.14
23.09.2012;5.9
24.09.2012;5.9
25.09.2012;5.9
26.09.2012;5.9
27.09.2012;5.67
28.09.2012;5.67
29.09.2012;5.67
30.09.2012;5.44
1.10.2012;5.44
2.10.2012;5.44
3.10.2012;5.44
4.10.2012;5.44
5.10.2012;5.44
6.10.2012;5.21
7.10.2012;5.21
8.10.2012;5.21
9.10.2012;5.21
10.10.2012;4.98
11.10.2012;7.34
12.10.2012;7.34
13.10.2012;6.38
14.10.2012;6.14
15.10.2012;6.14
16.10.2012;5.9
17.10.2012;5.9
18.10.2012;5.67
19.10.2012;5.67
20.10.2012;5.44
21.10.2012;5.21
22.10.2012;5.44
23.10.2012;5.44
24.10.2012;5.44
25.10.2012;5.44
26.10.2012;5.44
27.10.2012;5.21
28.10.2012;5.21
29.10.2012;4.98
30.10.2012;4.98
31.10.2012;4.98
1.11.2012;4.75
2.11.2012;4.75
3.11.2012;4.75
4.11.2012;4.52
5.11.2012;4.52
6.11.2012;4.52
7.11.2012;4.52
8.11.2012;4.52
9.11.2012;9.11
10.11.2012;12.2
11.11.2012;11.9
12.11.2012;9.65
13.11.2012;8.57
14.11.2012;7.82
15.11.2012;7.34
16.11.2012;6.86
17.11.2012;6.62
18.11.2012;6.38
19.11.2012;6.14
20.11.2012;6.14
21.11.2012;5.9
22.11.2012;5.9
23.11.2012;5.67
24.11.2012;5.67
25.11.2012;5.44
26.11.2012;5.44
27.11.2012;5.21
28.11.2012;5.21
29.11.2012;4.98
30.11.2012;4.98
1.12.2012;4.75
2.12.2012;4.75
3.12.2012;4.75
4.12.2012;5.67
5.12.2012;5.67
6.12.2012;5.44
7.12.2012;5.9
8.12.2012;6.14
9.12.2012;6.14
10.12.2012;6.38
11.12.2012;9.65
12.12.2012;8.84
13.12.2012;8.06
14.12.2012;7.58
15.12.2012;6.86
16.12.2012;6.62
17.12.2012;6.14
18.12.2012;6.62
19.12.2012;9.92
20.12.2012;13.4
21.12.2012;12.8
22.12.2012;11
23.12.2012;10.5
24.12.2012;11.3
25.12.2012;10.7
26.12.2012;9.92
27.12.2012;9.38
28.12.2012;9.11
29.12.2012;8.57
30.12.2012;8.06
31.12.2012;7.82
1.01.2013;7.58
2.01.2013;7.34
3.01.2013;7.1
4.01.2013;7.1
5.01.2013;6.86
6.01.2013;6.38
7.01.2013;6.38
8.01.2013;6.14
9.01.2013;5.9
10.01.2013;5.9
11.01.2013;5.67
12.01.2013;5.44
13.01.2013;5.44
14.01.2013;5.44
15.01.2013;5.21
16.01.2013;5.21
17.01.2013;5.21
18.01.2013;4.98
19.01.2013;4.98
20.01.2013;4.98
21.01.2013;4.98
22.01.2013;4.98
23.01.2013;4.98
24.01.2013;5.21
25.01.2013;5.44
26.01.2013;5.9
27.01.2013;7.1
28.01.2013;7.34
29.01.2013;6.86
30.01.2013;6.62
31.01.2013;6.38
1.02.2013;6.14
2.02.2013;5.9
3.02.2013;5.9
4.02.2013;5.9
5.02.2013;6.14
6.02.2013;6.14
7.02.2013;6.14
8.02.2013;6.14
9.02.2013;7.58
10.02.2013;7.82
11.02.2013;8.06
12.02.2013;7.82
13.02.2013;7.58
14.02.2013;7.34
15.02.2013;7.34
16.02.2013;7.58
17.02.2013;7.34
18.02.2013;7.34
19.02.2013;7.1
20.02.2013;7.1
21.02.2013;7.1
22.02.2013;6.86
23.02.2013;7.34
24.02.2013;7.58
25.02.2013;8.06
26.02.2013;8.57
27.02.2013;9.11
28.02.2013;9.38
1.03.2013;8.57
2.03.2013;7.82
3.03.2013;7.58
4.03.2013;7.82
5.03.2013;7.58
6.03.2013;7.1
7.03.2013;6.86
8.03.2013;6.86
9.03.2013;6.62
10.03.2013;6.62
11.03.2013;6.86
12.03.2013;7.82
13.03.2013;9.92
14.03.2013;10.5
15.03.2013;10.2
16.03.2013;11.6
17.03.2013;11
18.03.2013;9.65
19.03.2013;8.84
20.03.2013;8.3
21.03.2013;8.3
22.03.2013;8.57
23.03.2013;10.5
24.03.2013;9.65
25.03.2013;9.11
26.03.2013;9.11
27.03.2013;8.57
28.03.2013;9.38
29.03.2013;9.92
30.03.2013;9.92
31.03.2013;9.92
1.04.2013;10.2
2.04.2013;11
3.04.2013;11
4.04.2013;11
5.04.2013;11
6.04.2013;11
7.04.2013;11
8.04.2013;11.3
9.04.2013;11
10.04.2013;10.7
11.04.2013;10.2
12.04.2013;10.2
13.04.2013;9.92
14.04.2013;9.65
15.04.2013;9.65
16.04.2013;9.92
17.04.2013;9.92
18.04.2013;9.92
19.04.2013;9.92
20.04.2013;10.7
21.04.2013;11.6
22.04.2013;11.6
23.04.2013;11.3
24.04.2013;10.7
25.04.2013;10.5
26.04.2013;10.2
27.04.2013;10.2
28.04.2013;10.5
29.04.2013;10.5
30.04.2013;11
1.05.2013;11.6
2.05.2013;11.6
3.05.2013;11.6
4.05.2013;12.5
5.05.2013;12.8
6.05.2013;12.5
7.05.2013;12.8
8.05.2013;12.8
