Region;Taurus
Country;Turkey
#;4
Spring Name/Station Name;Þekerpýnarý
Literature;"Günay (2010); Kacar et al. (2025)"
Lat;37.468
Lon;34.863
Elev (m);840
Recharge Area (km2);140
Start Date;1.10.2006
End Date;31.12.2017
Resolution;Daily
Data Source;www.dsi.gov.tr
Data License;CC BY NC
Contact For License;Selim Çallý
Spring ID;TAU_02_TR
Date;Discharge m^3/s
1.10.2006;0.777
2.10.2006;0.713
3.10.2006;0.713
4.10.2006;0.713
5.10.2006;0.648
6.10.2006;0.648
7.10.2006;0.648
8.10.2006;0.648
9.10.2006;0.648
10.10.2006;0.648
11.10.2006;0.648
12.10.2006;0.648
13.10.2006;0.648
14.10.2006;0.713
15.10.2006;0.907
16.10.2006;1.42
17.10.2006;1.42
18.10.2006;1.32
19.10.2006;1.53
20.10.2006;2.41
21.10.2006;2.41
22.10.2006;2.18
23.10.2006;1.95
24.10.2006;1.84
25.10.2006;1.95
26.10.2006;2.07
27.10.2006;3.33
28.10.2006;4.52
29.10.2006;3.95
30.10.2006;3.49
31.10.2006;10.7
1.11.2006;27.3
2.11.2006;23
3.11.2006;11.5
4.11.2006;8.39
5.11.2006;7.44
6.11.2006;5.46
7.11.2006;4.71
8.11.2006;4.14
9.11.2006;3.64
10.11.2006;3.33
11.11.2006;3.18
12.11.2006;2.87
13.11.2006;2.72
14.11.2006;2.41
15.11.2006;2.3
16.11.2006;2.18
17.11.2006;1.95
18.11.2006;1.95
19.11.2006;1.84
20.11.2006;1.74
21.11.2006;1.63
22.11.2006;1.63
23.11.2006;1.53
24.11.2006;1.42
25.11.2006;1.42
26.11.2006;1.42
27.11.2006;1.32
28.11.2006;1.32
29.11.2006;1.24
30.11.2006;1.24
1.12.2006;1.16
2.12.2006;1.16
3.12.2006;1.16
4.12.2006;0.99
5.12.2006;0.907
6.12.2006;0.842
7.12.2006;0.777
8.12.2006;0.777
9.12.2006;0.713
10.12.2006;0.713
11.12.2006;0.713
12.12.2006;0.648
13.12.2006;0.648
14.12.2006;0.583
15.12.2006;0.583
16.12.2006;0.583
17.12.2006;0.583
18.12.2006;0.536
19.12.2006;0.536
20.12.2006;0.536
21.12.2006;0.536
22.12.2006;0.536
23.12.2006;0.536
24.12.2006;0.489
25.12.2006;0.489
26.12.2006;0.489
27.12.2006;0.489
28.12.2006;0.442
29.12.2006;0.442
30.12.2006;0.442
31.12.2006;0.442
1.01.2007;0.442
2.01.2007;0.442
3.01.2007;0.442
4.01.2007;0.442
5.01.2007;0.442
6.01.2007;0.442
7.01.2007;0.442
8.01.2007;0.442
9.01.2007;0.395
10.01.2007;0.395
11.01.2007;0.395
12.01.2007;0.395
13.01.2007;0.395
14.01.2007;0.395
15.01.2007;0.395
16.01.2007;0.395
17.01.2007;0.348
18.01.2007;0.348
19.01.2007;0.348
20.01.2007;0.395
21.01.2007;0.442
22.01.2007;0.395
23.01.2007;0.395
24.01.2007;0.395
25.01.2007;0.395
26.01.2007;0.395
27.01.2007;0.395
28.01.2007;0.395
29.01.2007;0.395
30.01.2007;0.348
31.01.2007;0.395
1.02.2007;0.348
2.02.2007;0.395
3.02.2007;0.395
4.02.2007;0.395
5.02.2007;0.395
6.02.2007;0.395
7.02.2007;0.395
8.02.2007;0.395
9.02.2007;0.489
10.02.2007;0.536
11.02.2007;0.583
12.02.2007;0.648
13.02.2007;0.648
14.02.2007;0.713
15.02.2007;1.42
16.02.2007;1.63
17.02.2007;1.42
18.02.2007;1.32
19.02.2007;1.24
20.02.2007;1.16
21.02.2007;1.16
22.02.2007;1.16
23.02.2007;1.16
24.02.2007;1.16
25.02.2007;1.16
26.02.2007;1.07
27.02.2007;0.907
28.02.2007;0.907
1.03.2007;0.842
2.03.2007;0.842
3.03.2007;0.907
4.03.2007;0.99
5.03.2007;1.07
6.03.2007;1.07
7.03.2007;0.99
8.03.2007;0.907
9.03.2007;0.907
10.03.2007;0.907
11.03.2007;0.99
12.03.2007;0.907
13.03.2007;0.348
14.03.2007;0.106
15.03.2007;0.086
16.03.2007;0.064
17.03.2007;0.064
18.03.2007;0.053
19.03.2007;0.053
20.03.2007;0.053
21.03.2007;0.064
22.03.2007;0.075
23.03.2007;0.146
24.03.2007;1.32
25.03.2007;1.84
26.03.2007;1.42
27.03.2007;1.16
28.03.2007;0.907
29.03.2007;0.713
30.03.2007;0.648
31.03.2007;0.777
1.04.2007;0.777
2.04.2007;0.777
3.04.2007;0.583
4.04.2007;0.251
5.04.2007;0.251
6.04.2007;0.395
7.04.2007;0.536
8.04.2007;0.648
9.04.2007;0.583
10.04.2007;0.536
