Region;Zagros
Country;Iran
#;2
Spring Name/Station Name;Poto
Literature;Kalantari and Rouhi (2019)
Lat;31.256
Lon;49.968
Elev (m);675
Recharge Area (km2);
Start Date;4.02.2010
End Date;18.03.2017
Resolution;Daily
Data Source;WOKAS (obtained from Rouhollah Adinedvand)
Data License;CC BY 4.0
Contact For License;
Spring ID;ZAG_02_IR
Date;Discharge m^3/s
4.02.2010;0.561
5.02.2010;0.579
6.02.2010;0.597
7.02.2010;0.612
8.02.2010;0.627
9.02.2010;0.643
11.02.2010;0.66
12.02.2010;0.677
13.02.2010;0.693
14.02.2010;0.708
15.02.2010;0.724
16.02.2010;0.74
18.02.2010;0.758
19.02.2010;0.774
20.02.2010;0.788
21.02.2010;0.801
22.02.2010;0.815
23.02.2010;0.83
25.02.2010;0.845
26.02.2010;0.859
27.02.2010;0.874
28.02.2010;0.89
1.03.2010;0.906
2.03.2010;0.922
4.03.2010;0.938
5.03.2010;0.953
6.03.2010;0.968
7.03.2010;0.982
8.03.2010;0.996
9.03.2010;1.012
10.03.2010;1.028
12.03.2010;1.043
13.03.2010;1.058
14.03.2010;1.073
15.03.2010;1.088
16.03.2010;1.101
17.03.2010;1.111
19.03.2010;1.117
20.03.2010;1.119
21.03.2010;1.118
22.03.2010;1.116
23.03.2010;1.113
24.03.2010;1.109
26.03.2010;1.106
27.03.2010;1.102
28.03.2010;1.099
29.03.2010;1.095
30.03.2010;1.092
31.03.2010;1.088
2.04.2010;1.085
3.04.2010;1.081
4.04.2010;1.077
5.04.2010;1.074
6.04.2010;1.071
7.04.2010;1.069
8.04.2010;1.065
10.04.2010;1.062
11.04.2010;1.058
12.04.2010;1.054
13.04.2010;1.051
14.04.2010;1.049
15.04.2010;1.046
17.04.2010;1.043
18.04.2010;1.041
19.04.2010;1.039
20.04.2010;1.037
21.04.2010;1.037
22.04.2010;1.036
24.04.2010;1.034
25.04.2010;1.032
26.04.2010;1.031
27.04.2010;1.03
28.04.2010;1.029
29.04.2010;1.029
1.05.2010;1.027
2.05.2010;1.025
3.05.2010;1.024
4.05.2010;1.023
5.05.2010;1.022
6.05.2010;1.021
7.05.2010;1.02
9.05.2010;1.019
10.05.2010;1.018
11.05.2010;1.018
12.05.2010;1.017
13.05.2010;1.015
14.05.2010;1.014
16.05.2010;1.012
17.05.2010;1.011
18.05.2010;1.01
19.05.2010;1.01
20.05.2010;1.009
21.05.2010;1.007
23.05.2010;1.005
24.05.2010;1.005
25.05.2010;1.005
26.05.2010;1.004
27.05.2010;1.002
28.05.2010;1
30.05.2010;0.999
31.05.2010;0.999
1.06.2010;0.998
2.06.2010;0.997
3.06.2010;0.996
4.06.2010;0.995
5.06.2010;0.994
7.06.2010;0.993
8.06.2010;0.992
9.06.2010;0.99
10.06.2010;0.989
11.06.2010;0.988
12.06.2010;0.987
14.06.2010;0.986
15.06.2010;0.985
16.06.2010;0.984
17.06.2010;0.983
18.06.2010;0.982
19.06.2010;0.982
21.06.2010;0.981
22.06.2010;0.982
23.06.2010;0.982
24.06.2010;0.982
25.06.2010;0.981
26.06.2010;0.979
28.06.2010;0.977
29.06.2010;0.977
30.06.2010;0.978
1.07.2010;0.978
2.07.2010;0.978
3.07.2010;0.978
4.07.2010;0.978
6.07.2010;0.978
7.07.2010;0.978
8.07.2010;0.978
9.07.2010;0.978
10.07.2010;0.977
11.07.2010;0.975
13.07.2010;0.974
14.07.2010;0.974
15.07.2010;0.974
16.07.2010;0.972
17.07.2010;0.968
18.07.2010;0.962
20.07.2010;0.955
21.07.2010;0.947
22.07.2010;0.936
23.07.2010;0.925
24.07.2010;0.914
25.07.2010;0.902
27.07.2010;0.891
28.07.2010;0.879
29.07.2010;0.867
30.07.2010;0.856
31.07.2010;0.846
1.08.2010;0.835
2.08.2010;0.823
4.08.2010;0.812
5.08.2010;0.801
6.08.2010;0.79
