Region;Zagros
Country;Iran
#;5
Spring Name/Station Name;Pirghar
Literature;Mohammadi-Ahmadmahmoudi  et al. (2025)
Lat;32.217
Lon;50.544
Elev (m);2016
Recharge Area (km2);
Start Date;1.10.1998
End Date;1.09.2014
Resolution;Monthly
Data Source;WOKAS (obtained from Rouhollah Adinedvand)
Data License;CC BY 4.0
Contact For License;
Spring ID;ZAG_03_IR
Date;Discharge m^3/s
1.10.1998;0.587
1.11.1998;0.388
1.12.1998;0.495
1.01.1999;0.726
1.02.1999;0.681
1.03.1999;1.519
1.04.1999;4.721
1.05.1999;4.033
1.06.1999;2.683
1.07.1999;1.568
1.08.1999;0.518
1.09.1999;0.554
1.10.1999;0.523
1.11.1999;0.476
1.12.1999;0.555
1.01.2000;0.651
1.02.2000;1.27
1.03.2000;3.193
1.04.2000;3.481
1.05.2000;3.491
1.06.2000;1.756
1.07.2000;0.74
1.08.2000;0.639
1.09.2000;0.55
1.10.2000;0.503
1.11.2000;0.405
1.12.2000;0.857
1.01.2001;1.756
1.02.2001;1.586
1.03.2001;3.34
1.04.2001;7.432
1.05.2001;7.297
1.06.2001;4.014
1.07.2001;1.774
1.08.2001;1.137
1.09.2001;0.669
1.10.2001;0.698
1.11.2001;0.625
1.12.2001;0.665
1.01.2002;0.808
1.02.2002;0.907
1.03.2002;2.564
1.04.2002;6.372
1.05.2002;6.2
1.06.2002;3.236
1.07.2002;1.497
1.08.2002;0.903
1.09.2002;0.758
1.10.2002;0.658
1.11.2002;0.619
1.12.2002;0.74
1.01.2003;0.717
1.02.2003;0.867
1.03.2003;1.93
1.04.2003;3.128
1.05.2003;5.705
1.06.2003;2.304
1.07.2003;1.425
1.08.2003;1.03
1.09.2003;0.789
1.10.2003;0.607
1.11.2003;0.771
1.12.2003;1.215
1.01.2004;0.838
1.02.2004;1.032
1.03.2004;3.046
1.04.2004;5.7
1.05.2004;6.067
1.06.2004;2.651
1.07.2004;1.474
1.08.2004;1.212
1.09.2004;1.025
1.10.2004;0.819
1.11.2004;0.789
1.12.2004;0.821
1.01.2005;0.805
1.02.2005;1.982
1.03.2005;3.525
1.04.2005;7.238
1.05.2005;8.609
1.06.2005;4.378
1.07.2005;2.381
1.08.2005;1.597
1.09.2005;1.36
1.10.2005;1.076
1.11.2005;1.057
1.12.2005;0.776
1.01.2006;0.726
1.02.2006;0.708
1.03.2006;1.849
1.04.2006;5.617
1.05.2006;6.192
1.06.2006;2.774
1.07.2006;1.378
1.08.2006;1.059
1.09.2006;0.865
1.10.2006;0.699
1.11.2006;0.659
1.12.2006;0.858
1.01.2007;0.843
1.02.2007;1.016
1.03.2007;1.664
1.04.2007;2.836
1.05.2007;1.912
1.06.2007;0.848
1.07.2007;0.618
1.08.2007;0.576
1.09.2007;0.812
1.10.2007;0.867
1.11.2007;0.803
1.12.2007;0.805
1.01.2008;0.953
1.02.2008;1.588
1.03.2008;3.082
1.04.2008;6.319
1.05.2008;5.94
1.06.2008;2.516
1.07.2008;1.368
1.08.2008;1.218
1.09.2008;0.961
1.10.2008;0.475
1.11.2008;0.467
1.12.2008;0.542
1.01.2009;0.566
1.02.2009;0.728
1.03.2009;2.006
1.04.2009;3.414
1.05.2009;4.325
1.06.2009;2.04
1.07.2009;0.877
1.08.2009;0.682
1.09.2009;0.664
1.10.2009;1.053
1.11.2009;0.887
1.12.2009;0.666
1.01.2010;0.724
1.02.2010;0.67
1.03.2010;2.022
1.04.2010;4.869
1.05.2010;3.629
1.06.2010;1.928
1.07.2010;1.062
1.08.2010;0.816
1.09.2010;0.815
1.10.2010;0.575
1.11.2010;0.863
1.12.2010;1.31
1.01.2011;0.715
1.02.2011;1.012
1.03.2011;1.485
1.04.2011;4.354
1.05.2011;3.262
1.06.2011;1.428
1.07.2011;0.874
1.08.2011;0.795
1.09.2011;0.615
1.10.2011;0.616
1.11.2011;0.802
1.12.2011;1.456
1.01.2012;1.308
1.02.2012;1.371
1.03.2012;2.857
1.04.2012;4.452
1.05.2012;3.881
1.06.2012;1.877
1.07.2012;0.94
1.08.2012;0.894
1.09.2012;0.785
1.10.2012;0.794
1.11.2012;0.832
1.12.2012;0.823
1.01.2013;0.943
1.02.2013;1.042
1.03.2013;1.35
1.04.2013;3.708
1.05.2013;4.18
1.06.2013;1.999
1.07.2013;1.132
1.08.2013;0.931
1.09.2013;0.685
1.10.2013;0.703
1.11.2013;0.703
1.12.2013;0.896
1.01.2014;0.825
1.02.2014;1.096
1.03.2014;2.463
1.04.2014;5.459
1.05.2014;3.98
1.06.2014;1.582
1.07.2014;1.182
1.08.2014;0.993
1.09.2014;0.789
