Region;Zagros
Country;Iran
#;3
Spring Name/Station Name;Biston
Literature;Behrouj Peely et al. (2024)
Lat;34.39
Lon;47.437
Elev (m);1290
Recharge Area (km2);
Start Date;1.04.1970
End Date;1.03.2009
Resolution;Monthly
Data Source;WOKAS (obtained from Rouhollah Adinedvand)
Data License;CC BY 4.0
Contact For License;
Spring ID;ZAG_04_IR
Date;Discharge m^3/s
1.04.1970;1.577
1.05.1970;0.853
1.06.1970;0.467
1.07.1970;0.34
1.08.1970;0.18
1.09.1970;0.099
1.10.1970;0.088
1.11.1970;0.065
1.12.1970;0.641
1.01.1971;0.169
1.02.1971;0.4
1.03.1971;0.952
1.04.1971;3.06
1.05.1971;2.075
1.06.1971;0.761
1.07.1971;0.392
1.08.1971;0.241
1.09.1971;0.089
1.10.1971;0.07
1.11.1971;0.078
1.12.1971;0.281
1.01.1972;0.606
1.02.1972;0.413
1.03.1972;1.103
1.04.1972;4.886
1.05.1972;4.351
1.06.1972;4.211
1.07.1972;0.95
1.08.1972;0.53
1.09.1972;0.383
1.10.1972;0.287
1.11.1972;0.148
1.12.1972;0.375
1.01.1973;0.181
1.02.1973;0.95
1.03.1973;1.434
1.04.1973;1.034
1.05.1973;0.621
1.06.1973;0.251
1.07.1973;0.162
1.08.1973;0.057
1.09.1973;0.044
1.10.1973;0.045
1.11.1973;0.032
1.12.1973;0.072
1.01.1974;0.161
1.02.1974;0.203
1.03.1974;0.731
1.04.1974;3.684
1.05.1974;2.947
1.06.1974;1.872
1.07.1974;0.852
1.08.1974;0.699
1.09.1974;0.365
1.10.1974;0.264
1.11.1974;0.228
1.12.1974;0.21
1.01.1975;0.364
1.02.1975;0.683
1.03.1975;1.551
1.04.1975;1.756
1.05.1975;1.315
1.06.1975;0.789
1.07.1975;0.354
1.08.1975;0.299
1.09.1975;0.145
1.10.1975;0.092
1.11.1975;0.062
1.12.1975;0.088
1.01.1976;0.506
1.02.1976;0.759
1.03.1976;0.978
1.04.1976;3.988
1.05.1976;3.346
1.06.1976;0.952
1.07.1976;0.485
1.08.1976;0.273
1.09.1976;0.156
1.10.1976;0.065
1.11.1976;0.037
1.12.1976;0.071
1.01.1977;0.575
1.02.1977;0.906
1.03.1977;1.1
1.04.1977;1.364
1.05.1977;0.363
1.06.1977;0.246
1.07.1977;0.119
1.08.1977;0.073
1.09.1977;0.039
1.10.1977;0.027
1.11.1977;0.074
1.12.1977;0.118
1.01.1978;0.147
1.02.1978;1.663
1.03.1978;2.118
1.04.1978;0.976
1.05.1978;0.774
1.06.1978;0.455
1.07.1978;0.207
1.08.1978;0.169
1.09.1978;0.039
1.10.1978;0.071
1.11.1978;0.062
1.12.1978;0.212
1.01.1979;0.307
1.02.1979;0.574
1.03.1979;1.702
1.04.1979;2.055
1.05.1979;0.97
1.06.1979;0.607
1.07.1979;0.304
1.08.1979;0.132
1.09.1979;0.076
1.10.1979;0.053
1.11.1979;0.063
1.12.1979;0.305
1.01.1980;0.454
1.02.1980;1.275
1.03.1980;1.352
1.04.1980;4.151
1.05.1980;1.229
1.06.1980;0.618
1.07.1980;0.524
1.08.1980;0.269
1.09.1980;0.177
1.10.1980;0.152
1.11.1980;0.21
1.12.1980;0.147
1.01.1981;0.621
1.02.1981;0.765
1.03.1981;3.038
1.04.1981;4.516
1.05.1981;1.867
1.06.1981;0.892
1.07.1981;0.557
1.08.1981;0.342
1.09.1981;0.263
1.10.1981;0.216
1.11.1981;0.391
1.12.1981;0.168
1.01.1982;0.72
1.02.1982;0.567
1.03.1982;2.205
1.04.1982;3.239
1.05.1982;0.889
1.06.1982;0.669
1.07.1982;0.278
1.08.1982;0.202
1.09.1982;0.15
1.10.1982;0.194
1.11.1982;0.31
1.12.1982;0.423
1.01.1983;0.62
1.02.1983;0.448
1.03.1983;0.807
1.04.1983;2.026
1.05.1983;3.943
1.06.1983;0.472
1.07.1983;0.374
1.08.1983;0.178
1.09.1983;0.103
1.10.1983;0.095
1.11.1983;0.056
1.12.1983;1.651
1.01.1984;0.352
1.02.1984;0.607
1.03.1984;0.436
1.04.1984;1.312
1.05.1984;0.684
1.06.1984;0.597
1.07.1984;0.119
1.08.1984;0.107
1.09.1984;0.036
1.10.1984;0.071
1.11.1984;0.881
1.12.1984;1.125
1.01.1985;2.404
1.02.1985;0.608
1.03.1985;0.811
1.04.1985;2.027
1.05.1985;1.195
1.06.1985;0.85
1.07.1985;0.349
1.08.1985;0.224
1.09.1985;0.134
1.10.1985;0.097
1.11.1985;0.073
1.12.1985;1.143
1.01.1986;0.59
1.02.1986;1.18
1.03.1986;1.254
1.04.1986;1.61
1.05.1986;1.026
1.06.1986;0.816
1.07.1986;0.451
1.08.1986;0.316
1.09.1986;0.101
1.10.1986;0.108
1.11.1986;0.402
1.12.1986;0.461
1.01.1987;0.63
1.02.1987;1.294
1.03.1987;1.577
1.04.1987;1.934
1.05.1987;1.204
1.06.1987;0.764
1.07.1987;0.478
1.08.1987;0.276
1.09.1987;0.161
1.10.1987;0.094
1.11.1987;0.584
1.12.1987;1.082
1.01.1988;0.73
1.02.1988;1.978
1.03.1988;2.292
1.04.1988;3.103
1.05.1988;1.477
1.06.1988;0.721
1.07.1988;0.552
1.08.1988;0.325
1.09.1988;0.165
1.10.1988;0.139
1.11.1988;0.137
1.12.1988;1.871
1.01.1989;1.98
1.02.1989;2.296
1.03.1989;2.356
1.04.1989;2.415
1.05.1989;1.25
1.06.1989;0.68
1.07.1989;0.429
1.08.1989;0.216
1.09.1989;0.161
1.10.1989;0.12
1.11.1989;0.108
1.12.1989;0.451
1.01.1990;0.864
1.02.1990;0.892
1.03.1990;1.529
1.04.1990;1.905
1.05.1990;1.158
1.06.1990;0.331
1.07.1990;0.198
1.08.1990;0.225
1.09.1990;0.098
1.10.1990;0.055
1.11.1990;0.043
1.12.1990;0.041
1.01.1991;0.291
1.02.1991;0.358
1.03.1991;1.222
1.04.1991;1.264
1.05.1991;1.062
1.06.1991;0.696
1.07.1991;0.18
1.08.1991;0.14
1.09.1991;0.06
1.10.1991;0.052
1.11.1991;0.19
1.12.1991;0.37
1.01.1992;0.491
1.02.1992;0.935
1.03.1992;1.494
1.04.1992;1.796
1.05.1992;3.483
1.06.1992;1.152
1.07.1992;0.285
1.08.1992;0.285
1.09.1992;0.286
1.10.1992;0.15
1.11.1992;0.162
1.12.1992;0.532
1.01.1993;0.485
1.02.1993;0.462
1.03.1993;0.895
1.04.1993;2.435
1.05.1993;3.2
1.06.1993;0.421
1.07.1993;0.212
1.08.1993;0.125
1.09.1993;0.062
1.10.1993;0.075
1.11.1993;1.348
1.12.1993;0.566
1.01.1994;1.347
1.02.1994;1.594
1.03.1994;1.628
1.04.1994;1.819
1.05.1994;0.67
1.06.1994;0.322
1.07.1994;0.269
1.08.1994;0.155
1.09.1994;0.088
1.10.1994;0.165
1.11.1994;1.479
1.12.1994;1.485
1.01.1995;1.499
1.02.1995;1.39
1.03.1995;1.377
1.04.1995;2.576
1.05.1995;1.21
1.06.1995;0.58
1.07.1995;0.391
1.08.1995;0.201
1.09.1995;0.134
1.10.1995;0.077
1.11.1995;0.062
1.12.1995;0.044
1.01.1996;0.275
1.02.1996;1.287
1.03.1996;2.618
1.04.1996;3.308
1.05.1996;2.275
1.06.1996;0.701
1.07.1996;0.893
1.08.1996;0.351
1.09.1996;0.144
1.10.1996;0.12
1.11.1996;0.058
1.12.1996;0.048
1.01.1997;0.06
1.02.1997;0.075
1.03.1997;0.009
1.04.1997;1.341
1.05.1997;1.301
1.06.1997;0.6
1.07.1997;0.242
1.08.1997;0.119
1.09.1997;0.076
1.10.1997;0.018
1.11.1997;0.178
1.12.1997;1.95
1.01.1998;1.053
1.02.1998;2.637
1.03.1998;2.928
1.04.1998;3.833
1.05.1998;1.917
1.06.1998;0.675
1.07.1998;0.43
1.08.1998;0.222
1.09.1998;0.157
1.10.1998;0.097
1.11.1998;0.054
1.12.1998;0.046
1.01.1999;0.063
1.02.1999;0.336
1.03.1999;0.984
1.04.1999;0.447
1.05.1999;0.325
1.06.1999;0.098
1.07.1999;0.061
1.08.1999;0.015
1.09.1999;0.041
1.10.1999;0.024
1.11.1999;0.071
1.12.1999;0.228
1.01.2000;0.28
1.02.2000;0.32
1.03.2000;0.4
1.04.2000;0
1.05.2000;0.216
1.06.2000;0.216
1.07.2000;0
1.08.2000;0
1.09.2000;0
1.10.2000;0
1.11.2000;0
1.12.2000;0.943
1.01.2001;0
1.02.2001;0
1.03.2001;1.088
1.04.2001;3.932
1.05.2001;0.656
1.06.2001;0.253
1.07.2001;0.1
1.08.2001;0.025
1.09.2001;0.02
1.10.2001;0.01
1.11.2001;0.005
1.12.2001;0.072
1.01.2002;0.274
1.02.2002;0.641
1.03.2002;1.035
1.04.2002;1.438
1.05.2002;0.54
1.06.2002;0.443
1.07.2002;0.206
1.08.2002;0.055
1.09.2002;0.04
1.10.2002;0.042
1.11.2002;0.094
1.12.2002;0.167
1.01.2003;1.369
1.02.2003;1.643
1.03.2003;2.044
1.04.2003;1.544
1.05.2003;1.435
1.06.2003;0.7
1.07.2003;0.129
1.08.2003;0.08
1.09.2003;0.056
1.10.2003;0.027
1.11.2003;0.052
1.12.2003;0.433
1.01.2004;0.556
1.02.2004;1.235
1.03.2004;1.02
1.04.2004;1.359
1.05.2004;1.115
1.06.2004;0.792
1.07.2004;0.232
1.08.2004;0.086
1.09.2004;0.052
1.10.2004;0.07
1.11.2004;0.08
1.12.2004;0.182
1.01.2005;0.153
1.02.2005;0.336
1.03.2005;2.23
1.04.2005;1.136
1.05.2005;0.519
1.06.2005;0.32
1.07.2005;0.165
1.08.2005;0.032
1.09.2005;0.066
1.10.2005;0.023
1.11.2005;0.028
1.12.2005;0.036
