Region;Zagros
Country;Iran
#;6
Spring Name/Station Name;Sasan
Literature;Dashti Barmaki et al. (2016)
Lat;29.783
Lon;51.583
Elev (m);820
Recharge Area (km2);
Start Date;1.10.1984
End Date;1.09.2000
Resolution;Monthly
Data Source;WOKAS (obtained from Rouhollah Adinedvand)
Data License;Available upon request
Contact For License;
Spring ID;ZAG_06_IR
Date;Discharge m^3/s
1.10.1984;0.326
1.11.1984;0.396
1.12.1984;0.739
1.01.1985;2.556
1.02.1985;3.935
1.03.1985;1.827
1.04.1985;1.547
1.05.1985;0.501
1.06.1985;0.742
1.07.1985;0.205
1.08.1985;0.09
1.09.1985;0.325
1.10.1985;2.205
1.11.1985;2.089
1.12.1985;2.054
1.01.1986;2.153
1.02.1986;2.838
1.03.1986;4.71
1.04.1986;4.339
1.05.1986;3.387
1.06.1986;2.833
1.07.1986;2.464
1.08.1986;2.303
1.09.1986;2.161
1.10.1986;2.103
1.11.1986;2.19
1.12.1986;2.321
1.01.1987;3.078
1.02.1987;6.699
1.03.1987;6.803
1.04.1987;8.074
1.05.1987;4.652
1.06.1987;3.04
1.07.1987;2.491
1.08.1987;2.262
1.09.1987;1.966
1.10.1987;1.863
1.11.1987;1.92
1.12.1987;1.815
1.01.1988;1.676
1.02.1988;1.676
1.03.1988;1.774
1.04.1988;2.3
1.05.1988;1.862
1.06.1988;1.668
1.07.1988;1.654
1.08.1988;1.667
1.09.1988;1.652
1.10.1988;1.72
1.11.1988;1.834
1.12.1988;1.825
1.01.1989;3.279
1.02.1989;12.383
1.03.1989;11.244
1.04.1989;7.622
1.05.1989;4.231
1.06.1989;2.421
1.07.1989;2.417
1.08.1989;2.646
1.09.1989;2.617
1.10.1989;2.243
1.11.1989;2.316
1.12.1989;1.965
1.01.1990;1.797
1.02.1990;2.984
1.03.1990;7.859
1.04.1990;4.081
1.05.1990;1.851
1.06.1990;1.594
1.07.1990;1.64
1.08.1990;1.903
1.09.1990;2.067
1.10.1990;1.482
1.11.1990;1.236
1.12.1990;1.314
1.01.1991;1.846
1.02.1991;6.361
1.03.1991;3.3
1.04.1991;2.13
1.05.1991;1.779
1.06.1991;1.55
1.07.1991;1.343
1.08.1991;1.269
1.09.1991;1.26
1.10.1991;0.946
1.11.1991;0.81
1.12.1991;0.586
1.01.1992;0.537
1.02.1992;0.578
1.03.1992;0.576
1.04.1992;0.515
1.05.1992;0.481
1.06.1992;0.583
1.07.1992;0.479
1.08.1992;0.461
1.09.1992;0.475
1.10.1992;0.478
1.11.1992;0.52
1.12.1992;0.746
1.01.1993;1.781
1.02.1993;2.922
1.03.1993;2.895
1.04.1993;2.257
1.05.1993;1.596
1.06.1993;1.086
1.07.1993;0.888
1.08.1993;0.764
1.09.1993;0.658
1.10.1993;0.612
1.11.1993;0.569
1.12.1993;0.644
1.01.1994;0.842
1.02.1994;2.862
1.03.1994;3.012
1.04.1994;1.771
1.05.1994;0.993
1.06.1994;0.616
1.07.1994;0.59
1.08.1994;0.663
1.09.1994;0.653
1.10.1994;0.588
1.11.1994;0.645
1.12.1994;0.751
1.01.1995;0.788
1.02.1995;0.819
1.03.1995;0.85
1.04.1995;0.881
1.05.1995;0.834
1.06.1995;0.622
1.07.1995;0.556
1.08.1995;0.514
1.09.1995;0.417
1.10.1995;0.334
1.11.1995;0.397
1.12.1995;1.527
1.01.1996;3.431
1.02.1996;3.983
1.03.1996;4.076
1.04.1996;2.974
1.05.1996;1.829
1.06.1996;0.99
1.07.1996;0.667
1.08.1996;0.57
1.09.1996;0.513
1.10.1996;0.512
1.11.1996;0.546
1.12.1996;0.643
1.01.1997;1.598
1.02.1997;1.811
1.03.1997;3.008
1.04.1997;1.957
1.05.1997;0.776
1.06.1997;0.552
1.07.1997;0.503
1.08.1997;0.475
1.09.1997;0.476
1.10.1997;0.505
1.11.1997;0.503
1.12.1997;0.533
1.01.1998;0.608
1.02.1998;0.737
1.03.1998;0.866
1.04.1998;3.354
1.05.1998;2.103
1.06.1998;0.596
1.07.1998;0.61
1.08.1998;0.599
1.09.1998;0.523
1.10.1998;0.502
1.11.1998;0.489
1.12.1998;0.47
1.01.1999;0.513
1.02.1999;0.572
1.03.1999;0.497
1.04.1999;0.566
1.05.1999;0.526
1.06.1999;0.46
1.07.1999;0.486
1.08.1999;0.464
1.09.1999;0.656
1.10.1999;1.25
1.11.1999;1.117
1.12.1999;1.14
1.01.2000;1.231
1.02.2000;1.096
1.03.2000;1.145
1.04.2000;1.512
1.05.2000;1.503
1.06.2000;1.333
1.07.2000;1.211
1.08.2000;0.989
1.09.2000;0.814
