Region;Zagros
Country;Iraq
#;7
Spring Name/Station Name;Sarchinar
Literature;Ali et al. (2009)
Lat;35.6
Lon;45.4
Elev (m);1625
Recharge Area (km2);
Start Date;2.01.2002
End Date;3.09.2003
Resolution;Daily
Data Source;WOKAS
Data License;CC BY 4.0
Contact For License;Tunde Olarinoye
Spring ID;ZAG_07_IQ
Date;Discharge m^3/s
2.01.2002;5.610131
3.01.2002;5.100602
4.01.2002;4.24176
5.01.2002;4.885573
6.01.2002;4.141578
7.01.2002;3.600901
8.01.2002;4.20826
9.01.2002;3.574148
10.01.2002;3.163899
11.01.2002;2.860254
12.01.2002;2.657389
13.01.2002;2.309809
14.01.2002;1.91644
15.01.2002;2.32802
16.01.2002;1.869658
17.01.2002;1.933924
18.01.2002;2.072958
19.01.2002;2.072958
20.01.2002;2.247576
21.01.2002;2.717192
22.01.2002;2.463141
23.01.2002;3.029529
24.01.2002;4.909997
25.01.2002;5.369312
26.01.2002;5.201487
27.01.2002;4.285543
28.01.2002;5.865186
29.01.2002;5.082725
30.01.2002;5.173819
31.01.2002;5.315549
1.02.2002;5.014028
2.02.2002;4.616303
3.02.2002;4.86255
4.02.2002;4.809074
5.02.2002;5.319825
6.02.2002;4.666245
7.02.2002;5.977974
8.02.2002;6.762887
9.02.2002;5.049964
10.02.2002;6.162354
11.02.2002;5.894405
12.02.2002;5.266218
13.02.2002;5.150866
14.02.2002;5.831291
15.02.2002;5.489171
16.02.2002;5.38415
17.02.2002;5.497455
18.02.2002;5.429562
19.02.2002;4.879061
20.02.2002;4.707521
21.02.2002;4.863242
22.02.2002;4.632367
23.02.2002;4.200155
24.02.2002;4.465055
25.02.2002;4.13756
26.02.2002;4.329722
27.02.2002;4.067653
28.02.2002;4.16219
1.03.2002;3.938111
2.03.2002;3.938111
3.03.2002;4.075873
4.03.2002;3.761585
5.03.2002;3.930261
6.03.2002;4.01924
7.03.2002;3.894974
8.03.2002;3.605704
9.03.2002;3.697989
10.03.2002;3.533336
11.03.2002;4.181295
12.03.2002;3.929312
13.03.2002;3.781687
14.03.2002;4.693493
15.03.2002;4.484319
16.03.2002;5.253724
17.03.2002;5.552203
18.03.2002;5.769113
19.03.2002;6.271893
20.03.2002;6.628003
21.03.2002;6.760951
22.03.2002;6.290443
23.03.2002;5.561288
24.03.2002;5.320751
25.03.2002;6.441538
26.03.2002;4.81259
27.03.2002;5.877837
28.03.2002;4.378233
29.03.2002;5.151351
30.03.2002;5.284811
31.03.2002;5.651902
1.04.2002;6.566837
2.04.2002;6.853263
3.04.2002;6.992287
4.04.2002;6.2571
5.04.2002;6.355349
6.04.2002;6.134086
7.04.2002;6.269997
8.04.2002;6.24863
9.04.2002;6.24863
10.04.2002;5.404981
11.04.2002;5.531028
12.04.2002;5.932383
13.04.2002;5.17313
14.04.2002;5.63107
15.04.2002;6.285518
16.04.2002;5.612453
17.04.2002;5.695862
18.04.2002;5.926661
19.04.2002;6.682165
20.04.2002;6.350028
21.04.2002;6.144415
22.04.2002;6.585661
23.04.2002;5.746655
24.04.2002;5.59366
25.04.2002;5.450867
26.04.2002;5.628829
27.04.2002;4.434312
28.04.2002;5.00579
29.04.2002;4.265987
30.04.2002;4.416142
1.05.2002;4.334069
2.05.2002;4.17761
3.05.2002;4.427165
4.05.2002;4.290882
5.05.2002;4.191914
6.05.2002;4.243527
7.05.2002;4.171184
8.05.2002;3.839279
9.05.2002;3.929176
10.05.2002;3.989389
11.05.2002;3.721903
12.05.2002;3.857946
13.05.2002;3.770508
14.05.2002;3.643952
15.05.2002;3.643952
16.05.2002;3.772263
17.05.2002;3.584291
18.05.2002;3.68692
19.05.2002;3.454397
20.05.2002;3.670179
21.05.2002;3.528316
22.05.2002;3.410565
23.05.2002;3.636106
