Region;Zagros
Country;Iraq
#;8
Spring Name/Station Name;Sarchawi Saraw
Literature;Stevanovic (2016)
Lat;35.38
Lon;45.83
Elev (m);515
Recharge Area (km2);
Start Date;1.10.2004
End Date;30.06.2006
Resolution;Daily
Data Source;WOKAS
Data License;CC BY 4.0
Contact For License;Tunde Olarinoye
Spring ID;ZAG_08_IQ
Date;Discharge m^3/s
1.10.2004;0.831215
2.10.2004;0.83095
3.10.2004;0.842409
4.10.2004;0.860633
5.10.2004;0.865099
6.10.2004;0.861198
7.10.2004;0.857258
8.10.2004;0.849683
9.10.2004;0.841094
10.10.2004;0.836331
11.10.2004;0.835181
12.10.2004;0.835485
13.10.2004;0.835208
14.10.2004;0.836196
15.10.2004;0.83602
16.10.2004;0.828416
17.10.2004;0.820139
18.10.2004;0.816323
19.10.2004;0.811938
20.10.2004;0.808328
21.10.2004;0.808329
22.10.2004;0.808786
23.10.2004;0.808646
24.10.2004;0.808763
25.10.2004;0.808335
26.10.2004;0.808436
27.10.2004;0.810691
28.10.2004;0.80545
29.10.2004;0.791347
30.10.2004;0.784599
31.10.2004;0.780607
1.11.2004;0.771206
2.11.2004;0.767056
3.11.2004;0.768423
4.11.2004;0.768276
5.11.2004;0.769296
6.11.2004;0.774324
7.11.2004;0.783044
8.11.2004;0.790335
9.11.2004;0.790215
10.11.2004;0.779303
11.11.2004;0.766526
12.11.2004;0.758871
13.11.2004;0.745575
14.11.2004;0.727307
15.11.2004;0.713044
16.11.2004;0.705043
17.11.2004;0.707071
18.11.2004;0.72418
19.11.2004;0.75138
20.11.2004;0.781629
21.11.2004;0.810002
22.11.2004;0.832673
23.11.2004;0.846525
24.11.2004;0.850531
25.11.2004;0.863998
26.11.2004;0.901852
27.11.2004;0.9184
28.11.2004;0.903894
29.11.2004;0.89253
30.11.2004;0.887867
1.12.2004;0.883773
2.12.2004;0.87609
3.12.2004;0.867395
4.12.2004;0.862541
5.12.2004;0.863672
6.12.2004;0.861733
7.12.2004;0.850322
8.12.2004;0.854504
9.12.2004;0.874565
10.12.2004;0.885631
11.12.2004;0.891342
12.12.2004;0.895832
13.12.2004;0.893535
14.12.2004;0.898893
15.12.2004;0.918183
16.12.2004;0.922772
17.12.2004;0.907604
18.12.2004;0.885654
19.12.2004;0.867258
20.12.2004;0.856072
21.12.2004;0.850168
22.12.2004;0.848973
23.12.2004;0.849297
24.12.2004;0.846121
25.12.2004;0.85218
26.12.2004;0.871405
27.12.2004;0.87642
28.12.2004;0.868289
29.12.2004;0.863433
30.12.2004;0.861497
31.12.2004;0.86219
1.01.2005;0.868251
2.01.2005;0.882101
3.01.2005;0.899853
4.01.2005;0.911065
5.01.2005;0.917531
6.01.2005;0.922329
7.01.2005;0.920948
8.01.2005;0.915407
9.01.2005;0.908493
10.01.2005;0.892579
11.01.2005;0.876012
12.01.2005;0.875428
13.01.2005;0.873271
14.01.2005;0.87265
15.01.2005;0.904425
16.01.2005;0.92176
17.01.2005;0.923175
18.01.2005;1.03666
19.01.2005;1.19186
20.01.2005;1.26245
21.01.2005;1.32502
22.01.2005;1.39153
23.01.2005;1.41861
24.01.2005;1.49975
25.01.2005;1.65169
26.01.2005;1.76174
27.01.2005;1.80974
28.01.2005;1.82077
29.01.2005;1.82436
30.01.2005;1.81135
31.01.2005;1.78791
1.02.2005;1.85538
2.02.2005;1.9688
3.02.2005;2.00025
4.02.2005;2.04623
5.02.2005;2.1446
6.02.2005;2.20696
7.02.2005;2.25244
8.02.2005;2.3068
9.02.2005;2.5406
10.02.2005;2.32241
11.02.2005;2.29727
12.02.2005;2.2684
13.02.2005;2.24445
14.02.2005;2.214
15.02.2005;2.09943
16.02.2005;1.93764
17.02.2005;1.88547
18.02.2005;1.8873
19.02.2005;1.86746
20.02.2005;1.85296
21.02.2005;1.82926
22.02.2005;1.77908
23.02.2005;1.748
24.02.2005;1.7412
25.02.2005;1.7303
26.02.2005;1.71291
27.02.2005;1.69591
28.02.2005;1.68671
1.03.2005;1.67737
2.03.2005;1.67516
3.03.2005;1.7142
4.03.2005;1.75972
5.03.2005;1.7686
6.03.2005;1.77185
7.03.2005;1.81738
8.03.2005;1.92701
9.03.2005;2.01304
10.03.2005;2.04135
11.03.2005;2.05769
12.03.2005;2.18544
13.03.2005;2.049
14.03.2005;2.02174
15.03.2005;1.98118
16.03.2005;1.9265
17.03.2005;1.86372
18.03.2005;1.81376
19.03.2005;1.79485
20.03.2005;1.77933
21.03.2005;1.75666
22.03.2005;1.7408
23.03.2005;1.71859
24.03.2005;1.68691
25.03.2005;1.66949
26.03.2005;1.65783
27.03.2005;1.6393
28.03.2005;1.63
29.03.2005;1.62691
30.03.2005;1.61542
31.03.2005;1.59921
1.04.2005;1.58744
2.04.2005;1.58697
